Time;Host memory usage
2019-03-01T00:00:00+01:00;6257936520
2019-03-01T01:00:00+01:00;6258251093
2019-03-01T02:00:00+01:00;6258268569
2019-03-01T03:00:00+01:00;6257062707
2019-03-01T04:00:00+01:00;6258688000
2019-03-01T05:00:00+01:00;6259002572
2019-03-01T06:00:00+01:00;6258635571
2019-03-01T07:00:00+01:00;6257656900
2019-03-01T08:00:00+01:00;6258950144
2019-03-01T09:00:00+01:00;6258653047
2019-03-01T10:00:00+01:00;6258006425
2019-03-01T11:00:00+01:00;6258146235
2019-03-01T12:00:00+01:00;6258565666
2019-03-01T13:00:00+01:00;6258111283
2019-03-01T14:00:00+01:00;6258373427
2019-03-01T15:00:00+01:00;6258670523
2019-03-01T16:00:00+01:00;6258932667
2019-03-01T17:00:00+01:00;6258950144
2019-03-01T18:00:00+01:00;6259439479
2019-03-01T19:00:00+01:00;6260994867
2019-03-01T20:00:00+01:00;6261047296
2019-03-01T21:00:00+01:00;6260697770
2019-03-01T22:00:00+01:00;6260313292
2019-03-01T23:00:00+01:00;6260645341
2019-03-02T00:00:00+01:00;6260697770
2019-03-02T01:00:00+01:00;6260697770
2019-03-02T02:00:00+01:00;6260610389
2019-03-02T03:00:00+01:00;6259509384
2019-03-02T04:00:00+01:00;6260278340
2019-03-02T05:00:00+01:00;6261047296
2019-03-02T06:00:00+01:00;6260767675
2019-03-02T07:00:00+01:00;6261047296
2019-03-02T08:00:00+01:00;6260313292
2019-03-02T09:00:00+01:00;6260540484
2019-03-02T10:00:00+01:00;6260907485
2019-03-02T11:00:00+01:00;6260138530
2019-03-02T12:00:00+01:00;6259684147
2019-03-02T13:00:00+01:00;6260785152
2019-03-02T14:00:00+01:00;6260802628
2019-03-02T15:00:00+01:00;6260855057
2019-03-02T16:00:00+01:00;6261047296
2019-03-02T17:00:00+01:00;6261047296
2019-03-02T18:00:00+01:00;6260785152
2019-03-02T19:00:00+01:00;6260959914
2019-03-02T20:00:00+01:00;6261047296
2019-03-02T21:00:00+01:00;6260575436
2019-03-02T22:00:00+01:00;6260924962
2019-03-02T23:00:00+01:00;6261047296
2019-03-03T00:00:00+01:00;6260662818
2019-03-03T01:00:00+01:00;6260697770
2019-03-03T02:00:00+01:00;6260575436
2019-03-03T03:00:00+01:00;6260313292
2019-03-03T04:00:00+01:00;6260942438
2019-03-03T05:00:00+01:00;6261047296
2019-03-03T06:00:00+01:00;6260750199
2019-03-03T07:00:00+01:00;6260924962
2019-03-03T08:00:00+01:00;6261047296
2019-03-03T09:00:00+01:00;6260802628
2019-03-03T10:00:00+01:00;6260173482
2019-03-03T11:00:00+01:00;6259928814
2019-03-03T12:00:00+01:00;6260173482
2019-03-03T13:00:00+01:00;6260942438
2019-03-03T14:00:00+01:00;6260610389
2019-03-03T15:00:00+01:00;6260872533
2019-03-03T16:00:00+01:00;6261029819
2019-03-03T17:00:00+01:00;6261047296
2019-03-03T18:00:00+01:00;6260750199
2019-03-03T19:00:00+01:00;6261047296
2019-03-03T20:00:00+01:00;6261047296
2019-03-03T21:00:00+01:00;6260855057
2019-03-03T22:00:00+01:00;6261047296
2019-03-03T23:00:00+01:00;6261047296
2019-03-04T00:00:00+01:00;6260767675
2019-03-04T01:00:00+01:00;6260890009
2019-03-04T02:00:00+01:00;6260470579
2019-03-04T03:00:00+01:00;6260488055
2019-03-04T04:00:00+01:00;6260890009
2019-03-04T05:00:00+01:00;6261134677
2019-03-04T06:00:00+01:00;6260959914
2019-03-04T07:00:00+01:00;6260767675
2019-03-04T08:00:00+01:00;6260959914
2019-03-04T09:00:00+01:00;6202536755
2019-03-04T10:00:00+01:00;6239324296
2019-03-04T11:00:00+01:00;6238852437
2019-03-04T12:00:00+01:00;6242714692
2019-03-04T13:00:00+01:00;6247415808
2019-03-04T14:00:00+01:00;6247153664
2019-03-04T15:00:00+01:00;6247642999
2019-03-04T16:00:00+01:00;6247415808
2019-03-04T17:00:00+01:00;6247398331
2019-03-04T18:00:00+01:00;6247485713
2019-03-04T19:00:00+01:00;6248342050
2019-03-04T20:00:00+01:00;6248429431
2019-03-04T21:00:00+01:00;6248097382
2019-03-04T22:00:00+01:00;6248184763
2019-03-04T23:00:00+01:00;6247835238
2019-03-05T00:00:00+01:00;6248184763
2019-03-05T01:00:00+01:00;6251033395
2019-03-05T02:00:00+01:00;6252379067
2019-03-05T03:00:00+01:00;6254611208
2019-03-05T04:00:00+01:00;6255577224
2019-03-05T05:00:00+01:00;6255804416
2019-03-05T06:00:00+01:00;6255402461
2019-03-05T07:00:00+01:00;6255384985
2019-03-05T08:00:00+01:00;6255542272
2019-03-05T09:00:00+01:00;6255419938
2019-03-05T10:00:00+01:00;6255699558
2019-03-05T11:00:00+01:00;6255751987
2019-03-05T12:00:00+01:00;6255891797
2019-03-05T13:00:00+01:00;6256573371
2019-03-05T14:00:00+01:00;6256660753
2019-03-05T15:00:00+01:00;6255961702
2019-03-05T16:00:00+01:00;6256014131
2019-03-05T17:00:00+01:00;6256485990
2019-03-05T18:00:00+01:00;6256276275
2019-03-05T19:00:00+01:00;6256153941
2019-03-05T20:00:00+01:00;6256783086
2019-03-05T21:00:00+01:00;6256503466
2019-03-05T22:00:00+01:00;6256713181
2019-03-05T23:00:00+01:00;6256783086
2019-03-06T00:00:00+01:00;6256381132
2019-03-06T01:00:00+01:00;6256608324
2019-03-06T02:00:00+01:00;6256573371
2019-03-06T03:00:00+01:00;6256276275
2019-03-06T04:00:00+01:00;6256625800
2019-03-06T05:00:00+01:00;6256870468
2019-03-06T06:00:00+01:00;6256555895
2019-03-06T07:00:00+01:00;6256713181
2019-03-06T08:00:00+01:00;6256818039
2019-03-06T09:00:00+01:00;6256451037
2019-03-06T10:00:00+01:00;6255874321
2019-03-06T11:00:00+01:00;6255996654
2019-03-06T12:00:00+01:00;6256241322
2019-03-06T13:00:00+01:00;6256014131
2019-03-06T14:00:00+01:00;6255804416
2019-03-06T15:00:00+01:00;6255804416
2019-03-06T16:00:00+01:00;6256433561
2019-03-06T17:00:00+01:00;6256468514
2019-03-06T18:00:00+01:00;6256118988
2019-03-06T19:00:00+01:00;6256800563
2019-03-06T20:00:00+01:00;6256852992
2019-03-06T21:00:00+01:00;6256451037
2019-03-06T22:00:00+01:00;6256258798
2019-03-06T23:00:00+01:00;6256538419
2019-03-07T00:00:00+01:00;6256468514
2019-03-07T01:00:00+01:00;6255979178
2019-03-07T02:00:00+01:00;6256258798
2019-03-07T03:00:00+01:00;6255961702
2019-03-07T04:00:00+01:00;6256643276
2019-03-07T05:00:00+01:00;6256852992
2019-03-07T06:00:00+01:00;6256451037
2019-03-07T07:00:00+01:00;6255909273
2019-03-07T08:00:00+01:00;6256153941
2019-03-07T09:00:00+01:00;6256451037
2019-03-07T10:00:00+01:00;6256084036
2019-03-07T11:00:00+01:00;6256678229
2019-03-07T12:00:00+01:00;6256328704
2019-03-07T13:00:00+01:00;6257534566
2019-03-07T14:00:00+01:00;6256573371
2019-03-07T15:00:00+01:00;6256381132
2019-03-07T16:00:00+01:00;6256695705
