Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-09-07T00:00:00+02:00;3336000000;75607572480;992256;249856;1
2019-09-07T00:02:00+02:00;2204500000;75633262592;960512;248832;1
2019-09-07T00:04:00+02:00;2156000000;75604951040;1046528;254464;1
2019-09-07T00:06:00+02:00;2358000000;75584503808;761344;488448;1
2019-09-07T00:08:00+02:00;2702000000;75656331264;4247552;512512;1
2019-09-07T00:10:00+02:00;2904500000;75705614336;1056256;287232;1
2019-09-07T00:12:00+02:00;1964000000;75611242496;804352;292864;1
2019-09-07T00:14:00+02:00;2115500000;75589222400;1266176;294400;1
2019-09-07T00:16:00+02:00;3303500000;75629068288;899584;249344;1
2019-09-07T00:18:00+02:00;2130000000;75635359744;854016;404480;1
2019-09-07T00:20:00+02:00;3181500000;75606523904;1125888;287232;1
2019-09-07T00:22:00+02:00;2589500000;75623825408;870400;313344;1
2019-09-07T00:24:00+02:00;3193500000;75680448512;859136;249344;1
2019-09-07T00:26:00+02:00;2216000000;75559337984;879104;322048;1
2019-09-07T00:28:00+02:00;3256500000;75575066624;735744;223744;1
2019-09-07T00:30:00+02:00;2901500000;75621728256;790528;315904;1
2019-09-07T00:32:00+02:00;3487500000;75620679680;915456;257536;1
2019-09-07T00:34:00+02:00;2325000000;75604951040;769024;262144;1
2019-09-07T00:36:00+02:00;2759500000;75566153728;844288;253952;1
2019-09-07T00:38:00+02:00;2242500000;75595513856;772096;246272;1
2019-09-07T00:40:00+02:00;2994000000;75630641152;839168;368128;1
2019-09-07T00:42:00+02:00;2321000000;75580309504;955904;372224;1
2019-09-07T00:44:00+02:00;1937500000;75588698112;1085952;285184;1
2019-09-07T00:46:00+02:00;3145000000;75596038144;866304;330240;1
2019-09-07T00:48:00+02:00;2517500000;75631689728;847872;246272;1
2019-09-07T00:50:00+02:00;2961500000;75599708160;867840;373760;1
2019-09-07T00:52:00+02:00;2388000000;75537842176;721920;280576;1
2019-09-07T00:54:00+02:00;2940500000;75629068288;900096;316928;1
2019-09-07T00:56:00+02:00;3144000000;75675729920;975872;687104;1
2019-09-07T00:58:00+02:00;3779500000;75658952704;855040;252928;1
2019-09-07T01:00:00+02:00;2711000000;75535220736;1072128;392192;1
2019-09-07T01:02:00+02:00;2814500000;75576115200;926208;270336;1
2019-09-07T01:04:00+02:00;2233500000;75618058240;936960;697344;1
2019-09-07T01:06:00+02:00;2848500000;75633786880;815104;403968;1
2019-09-07T01:08:00+02:00;2341000000;75604951040;3987968;514048;1
2019-09-07T01:10:00+02:00;2725500000;75643224064;1053184;296960;1
2019-09-07T01:12:00+02:00;2653000000;75612291072;877056;343552;1
2019-09-07T01:14:00+02:00;2582500000;75663671296;816640;298496;1
2019-09-07T01:16:00+02:00;3069000000;75553570816;936448;283648;1
2019-09-07T01:18:00+02:00;2280500000;75572969472;742912;276480;1
2019-09-07T01:20:00+02:00;3063500000;75611766784;797696;267776;1
2019-09-07T01:22:00+02:00;3311500000;75622252544;819200;281600;1
2019-09-07T01:24:00+02:00;2030500000;75572445184;874496;299520;1
2019-09-07T01:26:00+02:00;4157000000;75576639488;844288;319488;1
2019-09-07T01:28:00+02:00;2328500000;75591843840;836608;342016;1
2019-09-07T01:30:00+02:00;3072000000;75635884032;1202688;317952;1
2019-09-07T01:32:00+02:00;2215500000;75572445184;1056256;346624;1
2019-09-07T01:34:00+02:00;2120000000;75679399936;927744;1186816;1
2019-09-07T01:36:00+02:00;2284000000;75645845504;754176;328192;1
2019-09-07T01:38:00+02:00;2351000000;75653709824;817152;341504;1
2019-09-07T01:40:00+02:00;2909000000;75566678016;896512;228864;1
2019-09-07T01:42:00+02:00;2476500000;75586076672;813056;520704;1
2019-09-07T01:44:00+02:00;3054500000;75612815360;9010176;220226560;1
2019-09-07T01:46:00+02:00;2994500000;75632214016;809984;260096;1
2019-09-07T01:48:00+02:00;2002500000;75559862272;834560;375808;1
2019-09-07T01:50:00+02:00;3799000000;75582930944;3297792;224963072;1
2019-09-07T01:52:00+02:00;2639500000;75625922560;825856;339968;1
2019-09-07T01:54:00+02:00;3406500000;75641651200;2801152;224564736;1
2019-09-07T01:56:00+02:00;2117000000;75571920896;1005056;444416;1
2019-09-07T01:58:00+02:00;2098500000;75603902464;854016;315904;1
2019-09-07T02:00:00+02:00;3257000000;75640078336;3107840;204439552;1
2019-09-07T02:02:00+02:00;2691500000;75683594240;992768;461824;1
2019-09-07T02:04:00+02:00;2828000000;75589746688;3127296;226246656;1
2019-09-07T02:06:00+02:00;2164500000;75584503808;1030144;544768;1
2019-09-07T02:08:00+02:00;3020500000;75747033088;967168;360448;1
2019-09-07T02:10:00+02:00;2994500000;75617009664;2955776;227590144;1
2019-09-07T02:12:00+02:00;2315000000;75535745024;819712;676864;1
2019-09-07T02:14:00+02:00;3342500000;75600756736;3088384;226689024;1
2019-09-07T02:16:00+02:00;3120500000;75570872320;2245632;441856;1
2019-09-07T02:18:00+02:00;2438500000;75615436800;867840;364544;1
2019-09-07T02:20:00+02:00;3547000000;75530502144;3036672;226367488;1
2019-09-07T02:22:00+02:00;2166000000;75564056576;856576;339968;1
2019-09-07T02:24:00+02:00;3297500000;75588173824;2904064;226190336;1
2019-09-07T02:26:00+02:00;2514500000;75622776832;1019392;449024;1
2019-09-07T02:28:00+02:00;2318500000;75588173824;849920;435200;1
2019-09-07T02:30:00+02:00;3024000000;75574542336;3577344;226849792;1
2019-09-07T02:32:00+02:00;2496500000;75569823744;862720;374784;1
2019-09-07T02:34:00+02:00;3092000000;75599708160;2831360;227383296;1
2019-09-07T02:36:00+02:00;2342500000;75531550720;993280;398848;1
