Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-29T00:00:00+02:00;3413000000;75518443520;2820096;169923072;1
2019-08-29T00:02:00+02:00;2940000000;75543609344;793088;284160;1
2019-08-29T00:04:00+02:00;2677000000;75464441856;2964480;239238656;1
2019-08-29T00:06:00+02:00;3110000000;75486986240;980480;458752;1
2019-08-29T00:08:00+02:00;3619000000;75587649536;837632;308736;1
2019-08-29T00:10:00+02:00;3280500000;75563008000;3185664;247578112;1
2019-08-29T00:12:00+02:00;2713500000;75505860608;806400;283136;1
2019-08-29T00:14:00+02:00;3418500000;75516346368;3276288;224053248;1
2019-08-29T00:16:00+02:00;3379500000;75520540672;1032192;542208;1
2019-08-29T00:18:00+02:00;3715000000;75550949376;898560;302080;1
2019-08-29T00:20:00+02:00;3189000000;75499044864;3142656;246999040;1
2019-08-29T00:22:00+02:00;2760500000;75485937664;786432;337920;1
2019-08-29T00:24:00+02:00;2642000000;75511627776;3147776;245838848;1
2019-08-29T00:26:00+02:00;3198000000;75589746688;887296;438784;1
2019-08-29T00:28:00+02:00;2851000000;75517919232;790016;422912;1
2019-08-29T00:30:00+02:00;2982500000;75499044864;3208704;248889856;1
2019-08-29T00:32:00+02:00;2807500000;75506909184;1032704;445440;1
2019-08-29T00:34:00+02:00;2749500000;75556716544;3128320;246184448;1
2019-08-29T00:36:00+02:00;3058000000;75551473664;1011712;310272;1
2019-08-29T00:38:00+02:00;3344500000;75513724928;913920;267264;1
2019-08-29T00:40:00+02:00;3265000000;75538890752;3239424;242540032;1
2019-08-29T00:42:00+02:00;3708500000;75569823744;1144320;276480;1
2019-08-29T00:44:00+02:00;2963500000;75539939328;8824832;238080512;1
2019-08-29T00:46:00+02:00;3419000000;75493277696;888832;362496;1
2019-08-29T00:48:00+02:00;2580000000;75505336320;1399808;277504;1
2019-08-29T00:50:00+02:00;3385000000;75537317888;3348480;248954368;1
2019-08-29T00:52:00+02:00;2849500000;75530502144;2832896;265728;1
2019-08-29T00:54:00+02:00;2369500000;75493801984;3264000;247360512;1
2019-08-29T00:56:00+02:00;3282500000;75495374848;862720;410112;1
2019-08-29T00:58:00+02:00;2733000000;75534172160;2763264;370688;1
2019-08-29T01:00:00+02:00;3178000000;75553046528;3296256;248920064;1
2019-08-29T01:02:00+02:00;2374000000;75492753408;1292288;367104;1
2019-08-29T01:04:00+02:00;2984500000;75510579200;3155456;250311680;1
2019-08-29T01:06:00+02:00;3046500000;75553570816;824832;407552;1
2019-08-29T01:08:00+02:00;3950500000;75616485376;875008;329728;1
2019-08-29T01:10:00+02:00;2850000000;75516870656;3175424;248597504;1
2019-08-29T01:12:00+02:00;3265500000;75494326272;766464;666624;1
2019-08-29T01:14:00+02:00;2984000000;75521589248;3494400;248900096;1
2019-08-29T01:16:00+02:00;2564500000;75587125248;872960;418304;1
2019-08-29T01:18:00+02:00;2357500000;75513724928;786432;301056;1
2019-08-29T01:20:00+02:00;3021500000;75508482048;3138048;249025536;1
2019-08-29T01:22:00+02:00;2624500000;75538890752;801792;311296;1
2019-08-29T01:24:00+02:00;2714500000;75574018048;2947584;236767232;1
2019-08-29T01:26:00+02:00;3046000000;75569823744;2169856;498688;1
2019-08-29T01:28:00+02:00;2576000000;75506384896;786432;292352;1
2019-08-29T01:30:00+02:00;3430500000;75557765120;3479552;236297216;1
2019-08-29T01:32:00+02:00;3750500000;75580833792;911360;247296;1
2019-08-29T01:34:00+02:00;2482500000;75526832128;2983936;230222848;1
2019-08-29T01:36:00+02:00;3675500000;75489083392;865792;346624;1
2019-08-29T01:38:00+02:00;2788500000;75512152064;854528;998912;1
2019-08-29T01:40:00+02:00;2660000000;75550949376;3092992;218202112;1
2019-08-29T01:42:00+02:00;2725000000;75520540672;945664;260608;1
2019-08-29T01:44:00+02:00;2353500000;75484364800;8453632;225311232;1
2019-08-29T01:46:00+02:00;3503500000;75523162112;1086976;375808;1
2019-08-29T01:48:00+02:00;3085500000;75560910848;1010176;390144;1
2019-08-29T01:50:00+02:00;3172500000;75539939328;3374592;235810816;1
2019-08-29T01:52:00+02:00;2210500000;75484889088;1339904;727552;1
2019-08-29T01:54:00+02:00;2947000000;75534696448;3251712;240305664;1
2019-08-29T01:56:00+02:00;3337500000;75567726592;5538304;476160;1
2019-08-29T01:58:00+02:00;2668000000;75471257600;936448;250880;1
2019-08-29T02:00:00+02:00;3998500000;75505336320;8268288;222746624;1
2019-08-29T02:02:00+02:00;3238500000;75537842176;1033216;309760;1
2019-08-29T02:04:00+02:00;2949000000;75579785216;3073536;231519744;1
2019-08-29T02:06:00+02:00;2241000000;75460247552;924672;477184;1
2019-08-29T02:08:00+02:00;3081000000;75542560768;1081344;352768;1
2019-08-29T02:10:00+02:00;3531000000;75525783552;5001728;240191488;1
2019-08-29T02:12:00+02:00;2805000000;75551473664;758272;391680;1
2019-08-29T02:14:00+02:00;3226000000;75493801984;3136000;239070208;1
2019-08-29T02:16:00+02:00;2497500000;75509006336;947712;415232;1
2019-08-29T02:18:00+02:00;2760000000;75535745024;770048;243200;1
2019-08-29T02:20:00+02:00;3582500000;75580833792;3469312;239363072;1
2019-08-29T02:22:00+02:00;3740500000;75565629440;787456;1333760;1
2019-08-29T02:24:00+02:00;3316000000;75516346368;3151872;240288256;1
2019-08-29T02:26:00+02:00;3777000000;75522113536;840192;498176;1
2019-08-29T02:28:00+02:00;3025000000;75559862272;756224;287232;1
2019-08-29T02:30:00+02:00;3525500000;75543085056;3546624;243223040;1
2019-08-29T02:32:00+02:00;2851000000;75497996288;746496;298496;1
2019-08-29T02:34:00+02:00;3531000000;75535745024;930304;8118784;1
2019-08-29T02:36:00+02:00;2627500000;75554095104;896000;449024;1
2019-08-29T02:38:00+02:00;2971000000;75554619392;1359872;354816;1
2019-08-29T02:40:00+02:00;2936500000;75524734976;1192960;7814656;1
2019-08-29T02:42:00+02:00;2783500000;75534696448;5948416;1903616;1
2019-08-29T02:44:00+02:00;2820500000;75587649536;1712128;7366144;1
2019-08-29T02:46:00+02:00;3809500000;75567726592;909312;395776;1
2019-08-29T02:48:00+02:00;3130500000;75533123584;1412096;344064;1
2019-08-29T02:50:00+02:00;3509500000;75544133632;878080;6995456;1
2019-08-29T02:52:00+02:00;3565500000;75577688064;828416;335360;1
2019-08-29T02:54:00+02:00;2847500000;75541512192;1781248;6630912;1
2019-08-29T02:56:00+02:00;3826500000;75506384896;827392;398336;1
2019-08-29T02:58:00+02:00;2734500000;75540987904;778240;407040;1
2019-08-29T03:00:00+02:00;3407000000;75574542336;982016;6482944;1
2019-08-29T03:02:00+02:00;2976500000;75544133632;894464;368128;1
2019-08-29T03:04:00+02:00;2773500000;75499569152;1122304;5778432;1
2019-08-29T03:06:00+02:00;2914500000;75535745024;842240;313344;1
2019-08-29T03:08:00+02:00;3084000000;75624349696;4082176;3910656;1
2019-08-29T03:10:00+02:00;3447000000;75588698112;1384960;10529792;1
2019-08-29T03:12:00+02:00;2719500000;75521064960;769024;350208;1
2019-08-29T03:14:00+02:00;2795500000;75553046528;1328128;5173248;1
2019-08-29T03:16:00+02:00;4286000000;75548327936;980992;384000;1
2019-08-29T03:18:00+02:00;2976000000;75549376512;934912;379904;1
2019-08-29T03:20:00+02:00;4266000000;75523686400;1723392;4528128;1
2019-08-29T03:22:00+02:00;2734000000;75533123584;1080832;400896;1
2019-08-29T03:24:00+02:00;2977500000;75550425088;1456640;4328448;1
2019-08-29T03:26:00+02:00;3531500000;75566153728;5756416;301056;1
2019-08-29T03:28:00+02:00;2677000000;75494850560;1050112;388096;1
2019-08-29T03:30:00+02:00;3084500000;75529453568;1513984;7168000;1
2019-08-29T03:32:00+02:00;2729500000;75561959424;1145856;417280;1
2019-08-29T03:34:00+02:00;2859500000;75600232448;2953728;3453952;1
2019-08-29T03:36:00+02:00;3430000000;75521064960;1138176;363520;1
2019-08-29T03:38:00+02:00;2326000000;75528929280;1046528;374784;1
2019-08-29T03:40:00+02:00;3357000000;75578736640;1432064;3278336;1
2019-08-29T03:42:00+02:00;4335000000;75574018048;1102336;353280;1
2019-08-29T03:44:00+02:00;2649500000;75478073344;6134784;510976;1
2019-08-29T03:46:00+02:00;3540500000;75500617728;1037824;360448;1
2019-08-29T03:48:00+02:00;2788000000;75527880704;896000;466944;1
2019-08-29T03:50:00+02:00;3360000000;75561435136;1551360;2161152;1
2019-08-29T03:52:00+02:00;2534500000;75554095104;863744;343552;1
2019-08-29T03:54:00+02:00;2629000000;75501142016;1330176;461824;1
2019-08-29T03:56:00+02:00;2946000000;75527356416;889344;2666496;1
2019-08-29T03:58:00+02:00;2901000000;75574542336;772608;325120;1
2019-08-29T04:00:00+02:00;3392500000;75549376512;1571328;1275392;1
2019-08-29T04:02:00+02:00;2480500000;75571920896;822272;340992;1
2019-08-29T04:04:00+02:00;3009000000;75554095104;1708544;516096;1
2019-08-29T04:06:00+02:00;4077000000;75562483712;877056;845312;1
2019-08-29T04:08:00+02:00;2934500000;75579785216;4052480;4040192;1
2019-08-29T04:10:00+02:00;4318000000;75557240832;1238528;769024;1
2019-08-29T04:12:00+02:00;2930500000;75567202304;855552;302080;1
2019-08-29T04:14:00+02:00;2859500000;75530502144;1250304;420352;1
2019-08-29T04:16:00+02:00;3165500000;75565629440;873472;313344;1
2019-08-29T04:18:00+02:00;2349500000;75494850560;853504;316928;1
2019-08-29T04:20:00+02:00;3221000000;75532599296;1445376;436736;1
2019-08-29T04:22:00+02:00;2659000000;75600232448;883712;660480;1
2019-08-29T04:24:00+02:00;2466000000;75566153728;1611264;469504;1
2019-08-29T04:26:00+02:00;2939000000;75504812032;957440;351744;1
2019-08-29T04:28:00+02:00;2718000000;75536269312;879104;270848;1
2019-08-29T04:30:00+02:00;3291500000;75569299456;1671168;517632;1
2019-08-29T04:32:00+02:00;3335500000;75604951040;1133056;340992;1
2019-08-29T04:34:00+02:00;2404000000;75507957760;6139904;531968;1
2019-08-29T04:36:00+02:00;3501000000;75512676352;1083392;405504;1
2019-08-29T04:38:00+02:00;3228000000;75576115200;997376;357888;1
2019-08-29T04:40:00+02:00;3264500000;75624349696;1432064;450560;1
2019-08-29T04:42:00+02:00;2313500000;75512152064;1162752;335360;1
2019-08-29T04:44:00+02:00;3464000000;75543085056;1847808;492544;1
2019-08-29T04:46:00+02:00;2832000000;75575590912;1212416;14333440;1
2019-08-29T04:48:00+02:00;2455500000;75539415040;936448;345600;1
2019-08-29T04:50:00+02:00;2912000000;75543609344;1320960;13677568;1
2019-08-29T04:52:00+02:00;2547500000;75553046528;841216;292352;1
2019-08-29T04:54:00+02:00;3195500000;75564580864;1592832;413184;1
2019-08-29T04:56:00+02:00;3087500000;75535745024;1017344;12727808;1
2019-08-29T04:58:00+02:00;2482000000;75498520576;860672;310272;1
2019-08-29T05:00:00+02:00;4633500000;75567726592;1612288;13684736;1
2019-08-29T05:02:00+02:00;2705000000;75534696448;799232;264192;1
