Time;Guest memory usage
2019-03-01T00:00:00+01:00;8615240226
2019-03-01T01:00:00+01:00;4486297463
2019-03-01T02:00:00+01:00;4469153245
2019-03-01T03:00:00+01:00;4071026414
2019-03-01T04:00:00+01:00;3295167556
2019-03-01T05:00:00+01:00;2911493597
2019-03-01T06:00:00+01:00;3031660407
2019-03-01T07:00:00+01:00;3089000038
2019-03-01T08:00:00+01:00;3527042662
2019-03-01T09:00:00+01:00;3297963758
2019-03-01T10:00:00+01:00;3429734809
2019-03-01T11:00:00+01:00;3343873911
2019-03-01T12:00:00+01:00;3610054929
2019-03-01T13:00:00+01:00;3478476117
2019-03-01T14:00:00+01:00;3535606033
2019-03-01T15:00:00+01:00;3449710182
2019-03-01T16:00:00+01:00;3403974792
2019-03-01T17:00:00+01:00;3518461815
2019-03-01T18:00:00+01:00;3180645580
2019-03-01T19:00:00+01:00;2934335078
2019-03-01T20:00:00+01:00;3386795622
2019-03-01T21:00:00+01:00;3157681766
2019-03-01T22:00:00+01:00;3172117162
2019-03-01T23:00:00+01:00;2954415308
2019-03-02T00:00:00+01:00;9437009237
2019-03-02T01:00:00+01:00;4758402935
2019-03-02T02:00:00+01:00;3409689531
2019-03-02T03:00:00+01:00;4340213350
2019-03-02T04:00:00+01:00;3217852552
2019-03-02T05:00:00+01:00;2788233489
2019-03-02T06:00:00+01:00;3481219891
2019-03-02T07:00:00+01:00;3129038165
2019-03-02T08:00:00+01:00;3169233578
2019-03-02T09:00:00+01:00;2871333137
2019-03-02T10:00:00+01:00;2879948936
2019-03-02T11:00:00+01:00;2920109397
2019-03-02T12:00:00+01:00;3137688917
2019-03-02T13:00:00+01:00;3212120337
2019-03-02T14:00:00+01:00;2988738696
2019-03-02T15:00:00+01:00;3166280089
2019-03-02T16:00:00+01:00;3257978060
2019-03-02T17:00:00+01:00;2965722453
2019-03-02T18:00:00+01:00;2914324753
2019-03-02T19:00:00+01:00;2991622280
2019-03-02T20:00:00+01:00;3189226427
2019-03-02T21:00:00+01:00;3043159790
2019-03-02T22:00:00+01:00;3152019456
2019-03-02T23:00:00+01:00;3395254135
2019-03-03T00:00:00+01:00;7813429111
2019-03-03T01:00:00+01:00;4391820765
2019-03-03T02:00:00+01:00;3572917862
2019-03-03T03:00:00+01:00;4334498611
2019-03-03T04:00:00+01:00;3363884236
2019-03-03T05:00:00+01:00;2942915925
2019-03-03T06:00:00+01:00;3174843460
2019-03-03T07:00:00+01:00;3223532339
2019-03-03T08:00:00+01:00;3157734195
2019-03-03T09:00:00+01:00;2965827310
2019-03-03T10:00:00+01:00;3180610628
2019-03-03T11:00:00+01:00;3000238080
2019-03-03T12:00:00+01:00;3240728985
2019-03-03T13:00:00+01:00;3031782741
2019-03-03T14:00:00+01:00;3117608686
2019-03-03T15:00:00+01:00;2848439227
2019-03-03T16:00:00+01:00;3249379737
2019-03-03T17:00:00+01:00;3017382297
2019-03-03T18:00:00+01:00;3091866146
2019-03-03T19:00:00+01:00;2934317602
2019-03-03T20:00:00+01:00;3174895889
2019-03-03T21:00:00+01:00;3017312392
2019-03-03T22:00:00+01:00;2977291741
2019-03-03T23:00:00+01:00;3043124838
2019-03-04T00:00:00+01:00;7684646502
2019-03-04T01:00:00+01:00;4025273548
2019-03-04T02:00:00+01:00;3621659170
2019-03-04T03:00:00+01:00;4053847244
2019-03-04T04:00:00+01:00;3721850606
2019-03-04T05:00:00+01:00;2879913984
2019-03-04T06:00:00+01:00;3146217335
2019-03-04T07:00:00+01:00;3667289702
2019-03-04T08:00:00+01:00;5016020582
2019-03-04T09:00:00+01:00;3905106739
2019-03-04T10:00:00+01:00;3747488290
2019-03-04T11:00:00+01:00;3750459255
2019-03-04T12:00:00+01:00;3870695970
2019-03-04T13:00:00+01:00;3890653866
2019-03-04T14:00:00+01:00;3475575057
2019-03-04T15:00:00+01:00;3684643635
2019-03-04T16:00:00+01:00;3693189529
2019-03-04T17:00:00+01:00;3690218564
2019-03-04T18:00:00+01:00;3615839573
2019-03-04T19:00:00+01:00;3329508420
2019-03-04T20:00:00+01:00;3031730312
2019-03-04T21:00:00+01:00;3257960584
2019-03-04T22:00:00+01:00;3051828019
2019-03-04T23:00:00+01:00;3200568524
2019-03-05T00:00:00+01:00;7919405192
2019-03-05T01:00:00+01:00;4454770278
2019-03-05T02:00:00+01:00;3885078937
2019-03-05T03:00:00+01:00;4221673610
2019-03-05T04:00:00+01:00;3303748403
2019-03-05T05:00:00+01:00;3810595089
2019-03-05T06:00:00+01:00;3103348053
2019-03-05T07:00:00+01:00;3226398446
2019-03-05T08:00:00+01:00;4099722444
2019-03-05T09:00:00+01:00;3472691473
2019-03-05T10:00:00+01:00;3581481233
2019-03-05T11:00:00+01:00;3761906210
2019-03-05T12:00:00+01:00;3821919709
2019-03-05T13:00:00+01:00;3904949452
2019-03-05T14:00:00+01:00;3933680435
2019-03-05T15:00:00+01:00;3590044603
2019-03-05T16:00:00+01:00;3675888025
2019-03-05T17:00:00+01:00;3509828539
2019-03-05T18:00:00+01:00;3801961813
2019-03-05T19:00:00+01:00;3561488384
2019-03-05T20:00:00+01:00;3103208243
2019-03-05T21:00:00+01:00;3807694028
2019-03-05T22:00:00+01:00;4921508932
2019-03-05T23:00:00+01:00;3532827306
2019-03-06T00:00:00+01:00;7936584362
2019-03-06T01:00:00+01:00;5419739818
2019-03-06T02:00:00+01:00;7578652945
2019-03-06T03:00:00+01:00;6828466722
2019-03-06T04:00:00+01:00;7054679517
2019-03-06T05:00:00+01:00;6527822506
2019-03-06T06:00:00+01:00;6522107767
2019-03-06T07:00:00+01:00;6324538572
2019-03-06T08:00:00+01:00;6533642103
2019-03-06T09:00:00+01:00;6602393736
2019-03-06T10:00:00+01:00;6192872379
2019-03-06T11:00:00+01:00;5886478472
2019-03-06T12:00:00+01:00;4285914589
2019-03-06T13:00:00+01:00;4016657749
2019-03-06T14:00:00+01:00;5013102045
2019-03-06T15:00:00+01:00;5013136998
2019-03-06T16:00:00+01:00;4414784580
2019-03-06T17:00:00+01:00;3764649984
2019-03-06T18:00:00+01:00;4374728977
2019-03-06T19:00:00+01:00;3833349188
2019-03-06T20:00:00+01:00;3163448934
2019-03-06T21:00:00+01:00;2356010461
2019-03-06T22:00:00+01:00;3819106030
2019-03-06T23:00:00+01:00;3492719274
2019-03-07T00:00:00+01:00;8045356646
2019-03-07T01:00:00+01:00;3040363588
2019-03-07T02:00:00+01:00;4638008934
2019-03-07T03:00:00+01:00;4764082722
2019-03-07T04:00:00+01:00;2894349380
2019-03-07T05:00:00+01:00;2052570043
2019-03-07T06:00:00+01:00;3464093149
2019-03-07T07:00:00+01:00;3681602764
2019-03-07T08:00:00+01:00;3375366144
2019-03-07T09:00:00+01:00;3532757401
2019-03-07T10:00:00+01:00;4136964369
2019-03-07T11:00:00+01:00;4059631889
2019-03-07T12:00:00+01:00;2983076386
2019-03-07T13:00:00+01:00;3152019456
2019-03-07T14:00:00+01:00;3544204356
2019-03-07T15:00:00+01:00;3756086613
2019-03-07T16:00:00+01:00;3209324134
2019-03-07T17:00:00+01:00;3063274973
2019-03-07T18:00:00+01:00;3401091208
2019-03-07T19:00:00+01:00;3667342131
2019-03-07T20:00:00+01:00;2625162444
2019-03-07T21:00:00+01:00;2487764036
2019-03-07T22:00:00+01:00;3260791739
2019-03-07T23:00:00+01:00;3758935244
2019-03-08T00:00:00+01:00;7862117990
2019-03-08T01:00:00+01:00;3495515477
2019-03-08T02:00:00+01:00;4511987575
2019-03-08T03:00:00+01:00;4786994107
2019-03-08T04:00:00+01:00;2544998809
2019-03-08T05:00:00+01:00;2227122995
2019-03-08T06:00:00+01:00;3192022630
2019-03-08T07:00:00+01:00;3681672669
2019-03-08T08:00:00+01:00;3378144870
2019-03-08T09:00:00+01:00;2965792358
2019-03-08T10:00:00+01:00;3567168170
2019-03-08T11:00:00+01:00;3948010973
