"Time	CPU usage	ANB_read	ANB_write	AN_read	AN_write	Free_disk	B_rec	B_trans	P_rec	P_trans	Host_memory	Guest_memory	Com_storage"
"2019-03-01T13:00:00+01:00	3064150000	16537	666828	0	28	2,58255E+11	132113	155596	24009	27001	17201871803	3478476117	4,93181E+11"
"2019-03-01T14:00:00+01:00	3446116666	27033	724275	1	27	2,58186E+11	121907	141841	21518	24143	17201749469	3535606033	4,93181E+11"
"2019-03-01T15:00:00+01:00	3038100000	11861	820923	0	31	2,58186E+11	109687	130594	20044	22464	17201749469	3449710182	4,93181E+11"
"2019-03-01T16:00:00+01:00	3424016666	94907	1235899	2	39	2,58186E+11	114210	135867	21101	23743	17201487325	3403974792	4,93181E+11"
"2019-03-01T17:00:00+01:00	2473833333	18756	1398698	0	42	2,58172E+11	85179	101939	15917	17595	17200840704	3518461815	4,93181E+11"
"2019-03-01T18:00:00+01:00	2414466666	7918	1091310	0	36	2,58081E+11	96273	113902	17315	19309	17200840704	3180645580	4,93181E+11"
"2019-03-01T19:00:00+01:00	2035900000	12646	1186901	0	41	2,58081E+11	89361	104806	16597	18696	17200910609	2934335078	4,93181E+11"
"2019-03-01T20:00:00+01:00	2468616666	3635	1174562	0	40	2,58081E+11	103697	123289	19306	21772	17201277610	3386795622	4,93181E+11"
"2019-03-01T21:00:00+01:00	1923783333	2440	1372928	0	44	2,58081E+11	73642	87244	13634	15178	17200963037	3157681766	4,93181E+11"
"2019-03-01T22:00:00+01:00	2258083333	6263	1144149	0	38	2,58081E+11	90009	108458	16935	18739	17200928085	3172117162	4,93181E+11"
"2019-03-01T23:00:00+01:00	2201416666	29064	1206272	1	42	2,58062E+11	88456	92433	14901	16502	17200980514	2954415308	4,93181E+11"
"2019-03-02T00:00:00+01:00	4593250000	32264089	19306325	334	254	2,28044E+11	97536	109806	16749	18766	17199844556	9437009237	4,93181E+11"
"2019-03-02T01:00:00+01:00	3048600000	471483	1475310	28	40	2,48811E+11	85196	98269	15527	17216	17199774651	4758402935	4,93184E+11"
"2019-03-02T02:00:00+01:00	2243066666	215244	1208354	10	37	2,48811E+11	80896	97280	14821	16792	17199599889	3409689531	4,93184E+11"
"2019-03-02T03:00:00+01:00	2499350000	420454	2529109	19	53	2,48762E+11	89036	105932	16666	18561	17200176605	4340213350	4,93184E+11"
"2019-03-02T04:00:00+01:00	2563466666	273629	1223150	5	38	2,48745E+11	419498	298990	22724	24749	17200194082	3217852552	4,93184E+11"
"2019-03-02T05:00:00+01:00	1795866666	5734	1225881	0	41	2,48745E+11	68608	80418	12884	14189	17196436684	2788233489	4,93184E+11"
"2019-03-02T06:00:00+01:00	2551416666	97450	2093329	1	50	2,48713E+11	682973	122675	23162	24619	17198743552	3481219891	4,93184E+11"
"2019-03-02T07:00:00+01:00	1990450000	10820	1158297	0	40	2,48716E+11	74222	87603	13780	15426	17197048354	3129038165	4,93184E+11"
"2019-03-02T08:00:00+01:00	2738516666	179217	1027549	1	35	2,48716E+11	105028	296277	18911	23503	17198603741	3169233578	4,93184E+11"
"2019-03-02T09:00:00+01:00	2077116666	6297	1273531	0	43	2,48716E+11	73676	86220	13712	15106	17197572642	2871333137	4,93184E+11"
"2019-03-02T10:00:00+01:00	2446116666	14762	1098018	0	37	2,48716E+11	99635	116394	18420	20397	17198621218	2879948936	4,93184E+11"
"2019-03-02T11:00:00+01:00	2228600000	13380	1106534	0	38	2,48683E+11	89531	107281	16890	19133	17197485260	2920109397	4,93227E+11"
"2019-03-02T12:00:00+01:00	2688250000	114346	986009	1	33	2,48611E+11	110540	123904	19508	21397	17198044501	3137688917	4,93231E+11"
"2019-03-02T13:00:00+01:00	1964916666	5068	1178862	0	37	2,48611E+11	73181	86886	13639	15276	17198708599	3212120337	4,93429E+11"
"2019-03-02T14:00:00+01:00	2320533333	6758	1176883	0	38	2,48611E+11	74274	88166	13338	14860	17198778504	2988738696	4,93504E+11"
"2019-03-02T15:00:00+01:00	2256783333	5358	1045998	0	37	2,48611E+11	93900	112657	17259	19346	17199460078	3166280089	4,94041E+11"
"2019-03-02T16:00:00+01:00	2605883333	26316	857088	1	32	2,4861E+11	120268	139400	21505	25044	17199792128	3257978060	4,9431E+11"
"2019-03-02T17:00:00+01:00	1939350000	2525	1083204	0	36	2,48506E+11	70331	82414	13255	15284	17199792128	2965722453	4,94743E+11"
"2019-03-02T18:00:00+01:00	2546116666	11520	1111398	0	36	2,48506E+11	87057	104840	15566	17475	17199809604	2914324753	4,94863E+11"
"2019-03-02T19:00:00+01:00	2197966666	3310	1156181	0	39	2,48506E+11	84172	96273	15523	17138	17199547460	2991622280	4,95169E+11"
"2019-03-02T20:00:00+01:00	2514183333	4338	902109	0	33	2,48506E+11	110199	128426	20094	22839	17199809604	3189226427	4,94674E+11"
"2019-03-02T21:00:00+01:00	1924150000	5102	1130496	0	38	2,48506E+11	73659	88576	13878	15765	17199792128	3043159790	4,93184E+11"
"2019-03-02T22:00:00+01:00	2266316666	100556	1704977	1	49	2,48506E+11	75366	89344	14074	15037	17200124177	3152019456	4,93184E+11"
"2019-03-02T23:00:00+01:00	2140733333	2184	1389789	0	42	2,48471E+11	86169	80622	13058	14365	17201574707	3395254135	4,93184E+11"
"2019-03-03T00:00:00+01:00	4479316666	21984136	16924040	277	238	2,27046E+11	114124	120627	18679	20699	17199984366	7813429111	4,93184E+11"
"2019-03-03T01:00:00+01:00	3076766666	372019	1552332	20	44	2,48805E+11	66679	78336	12617	13966	17200089224	4391820765	4,93184E+11"
"2019-03-03T02:00:00+01:00	2155066666	167372	1097523	8	37	2,48805E+11	88166	103082	16052	17644	17200858180	3572917862	4,93184E+11"
"2019-03-03T03:00:00+01:00	2421866666	392038	2474513	18	50	2,48766E+11	86937	102195	15863	17844	17200823227	4334498611	4,93184E+11"
"2019-03-03T04:00:00+01:00	2605483333	131771	1306521	6	43	2,48753E+11	94839	107093	17364	18906	17200840704	3363884236	4,93252E+11"
"2019-03-03T05:00:00+01:00	1960983333	5888	1256157	0	42	2,48753E+11	79086	92945	14804	16574	17200665941	2942915925	4,93184E+11"
"2019-03-03T06:00:00+01:00	2342600000	20377	1156044	0	38	2,48753E+11	89565	107383	16783	19090	17200700893	3174843460	4,93184E+11"
"2019-03-03T07:00:00+01:00	1956166666	11520	1655637	0	41	2,48754E+11	506248	110950	20362	21755	17200840704	3223532339	4,93184E+11"
"2019-03-03T08:00:00+01:00	2700316666	10410	778274	0	29	2,48878E+11	89958	106461	16412	18746	17200840704	3157734195	4,93184E+11"
"2019-03-03T09:00:00+01:00	1986100000	9403	1187413	0	39	2,48878E+11	76339	91050	14022	15669	17200928085	2965827310	4,93184E+11"
"2019-03-03T10:00:00+01:00	2358633333	10188	973260	0	33	2,48878E+11	87244	104704	16061	17525	17200421273	3180610628	4,93184E+11"
"2019-03-03T11:00:00+01:00	1947633333	11980	1138670	0	38	2,48847E+11	77619	90880	14387	16054	17199023172	3000238080	4,93184E+11"
"2019-03-03T12:00:00+01:00	2735466666	21230	1024426	0	36	2,48773E+11	106410	126873	19120	21801	17197642547	3240728985	4,93184E+11"
"2019-03-03T13:00:00+01:00	1957966666	3123	1125785	0	39	2,48773E+11	72738	85913	13660	14966	17198743552	3031782741	4,93184E+11"
"2019-03-03T14:00:00+01:00	2368950000	26487	1208132	0	39	2,48773E+11	81408	112384	14959	16496	17192120046	3117608686	4,93184E+11"
"2019-03-03T15:00:00+01:00	2143383333	3976	1035246	0	35	2,48773E+11	81851	97024	15134	17083	17196506589	2848439227	4,93184E+11"
"2019-03-03T16:00:00+01:00	2760150000	15223	851046	0	32	2,48773E+11	118852	140782	21737	24774	17199407650	3249379737	4,93184E+11"
"2019-03-03T17:00:00+01:00	2053250000	4334	1377416	0	44	2,48758E+11	75298	85930	13588	15145	17198691123	3017382297	4,93184E+11"
