Time;Number of bytes transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;122487
2019-03-01T01:00:00+01:00;102997
2019-03-01T02:00:00+01:00;103236
2019-03-01T03:00:00+01:00;114073
2019-03-01T04:00:00+01:00;125696
2019-03-01T05:00:00+01:00;97467
2019-03-01T06:00:00+01:00;107468
2019-03-01T07:00:00+01:00;148992
2019-03-01T08:00:00+01:00;339899
2019-03-01T09:00:00+01:00;227345
2019-03-01T10:00:00+01:00;150104
2019-03-01T11:00:00+01:00;242346
2019-03-01T12:00:00+01:00;352409
2019-03-01T13:00:00+01:00;155596
2019-03-01T14:00:00+01:00;141841
2019-03-01T15:00:00+01:00;130594
2019-03-01T16:00:00+01:00;135867
2019-03-01T17:00:00+01:00;101939
2019-03-01T18:00:00+01:00;113902
2019-03-01T19:00:00+01:00;104806
2019-03-01T20:00:00+01:00;123289
2019-03-01T21:00:00+01:00;87244
2019-03-01T22:00:00+01:00;108458
2019-03-01T23:00:00+01:00;92433
2019-03-02T00:00:00+01:00;109806
2019-03-02T01:00:00+01:00;98269
2019-03-02T02:00:00+01:00;97280
2019-03-02T03:00:00+01:00;105932
2019-03-02T04:00:00+01:00;298990
2019-03-02T05:00:00+01:00;80418
2019-03-02T06:00:00+01:00;122675
2019-03-02T07:00:00+01:00;87603
2019-03-02T08:00:00+01:00;296277
2019-03-02T09:00:00+01:00;86220
2019-03-02T10:00:00+01:00;116394
2019-03-02T11:00:00+01:00;107281
2019-03-02T12:00:00+01:00;123904
2019-03-02T13:00:00+01:00;86886
2019-03-02T14:00:00+01:00;88166
2019-03-02T15:00:00+01:00;112657
2019-03-02T16:00:00+01:00;139400
2019-03-02T17:00:00+01:00;82414
2019-03-02T18:00:00+01:00;104840
2019-03-02T19:00:00+01:00;96273
2019-03-02T20:00:00+01:00;128426
2019-03-02T21:00:00+01:00;88576
2019-03-02T22:00:00+01:00;89344
2019-03-02T23:00:00+01:00;80622
2019-03-03T00:00:00+01:00;120627
2019-03-03T01:00:00+01:00;78336
2019-03-03T02:00:00+01:00;103082
2019-03-03T03:00:00+01:00;102195
2019-03-03T04:00:00+01:00;107093
2019-03-03T05:00:00+01:00;92945
2019-03-03T06:00:00+01:00;107383
2019-03-03T07:00:00+01:00;110950
2019-03-03T08:00:00+01:00;106461
2019-03-03T09:00:00+01:00;91050
2019-03-03T10:00:00+01:00;104704
2019-03-03T11:00:00+01:00;90880
2019-03-03T12:00:00+01:00;126873
2019-03-03T13:00:00+01:00;85913
2019-03-03T14:00:00+01:00;112384
