Time;Number of bytes received
2019-03-07T07:00:00+01:00;8910489
2019-03-07T08:00:00+01:00;9494442
2019-03-07T09:00:00+01:00;7491003
2019-03-07T10:00:00+01:00;8481262
2019-03-07T11:00:00+01:00;7730414
2019-03-07T12:00:00+01:00;12426847
2019-03-07T13:00:00+01:00;24209237
2019-03-07T14:00:00+01:00;23314739
2019-03-07T15:00:00+01:00;20199065
2019-03-07T16:00:00+01:00;23663513
2019-03-07T17:00:00+01:00;23354743
2019-03-07T18:00:00+01:00;19269632
2019-03-07T19:00:00+01:00;24576068
2019-03-07T20:00:00+01:00;31444923
2019-03-07T21:00:00+01:00;28784571
2019-03-07T22:00:00+01:00;28211763
2019-03-07T23:00:00+01:00;19356791
2019-03-08T00:00:00+01:00;11482743
2019-03-08T01:00:00+01:00;7018427
2019-03-08T02:00:00+01:00;4529220
2019-03-08T03:00:00+01:00;2751163
2019-03-08T04:00:00+01:00;1968742
2019-03-08T05:00:00+01:00;1668784
2019-03-08T06:00:00+01:00;2238203
2019-03-08T07:00:00+01:00;6940115
2019-03-08T08:00:00+01:00;6551449
2019-03-08T09:00:00+01:00;12491980
2019-03-08T10:00:00+01:00;11406148
2019-03-08T11:00:00+01:00;9259789
2019-03-08T12:00:00+01:00;19661303
2019-03-08T13:00:00+01:00;21324936
2019-03-08T14:00:00+01:00;9815710
2019-03-08T15:00:00+01:00;7557768
2019-03-08T16:00:00+01:00;5928635
2019-03-08T17:00:00+01:00;6854246
2019-03-08T18:00:00+01:00;16433322
2019-03-08T19:00:00+01:00;19282090
2019-03-08T20:00:00+01:00;23221490
2019-03-08T21:00:00+01:00;24235841
2019-03-08T22:00:00+01:00;26906077
2019-03-08T23:00:00+01:00;21841416
2019-03-09T00:00:00+01:00;13298410
2019-03-09T01:00:00+01:00;7092138
2019-03-09T02:00:00+01:00;4639317
2019-03-09T03:00:00+01:00;4276258
2019-03-09T04:00:00+01:00;2101855
2019-03-09T05:00:00+01:00;2117545
2019-03-09T06:00:00+01:00;2033305
2019-03-09T07:00:00+01:00;2740432
2019-03-09T08:00:00+01:00;8886391
2019-03-09T09:00:00+01:00;10172450
2019-03-09T10:00:00+01:00;15520853
2019-03-09T11:00:00+01:00;19568554
2019-03-09T12:00:00+01:00;17711086
2019-03-09T13:00:00+01:00;22461474
2019-03-09T14:00:00+01:00;24188791
2019-03-09T15:00:00+01:00;18972177
2019-03-09T16:00:00+01:00;22001595
2019-03-09T17:00:00+01:00;22615756
2019-03-09T18:00:00+01:00;26307584
2019-03-09T19:00:00+01:00;25838216
2019-03-09T20:00:00+01:00;25737949
2019-03-09T21:00:00+01:00;24939997
2019-03-09T22:00:00+01:00;27020339
2019-03-09T23:00:00+01:00;22228531
2019-03-10T00:00:00+01:00;17740373
2019-03-10T01:00:00+01:00;11817557
2019-03-10T02:00:00+01:00;8307370
2019-03-10T03:00:00+01:00;6466150
2019-03-10T04:00:00+01:00;6303761
2019-03-10T05:00:00+01:00;8270743
2019-03-10T06:00:00+01:00;5695078
2019-03-10T07:00:00+01:00;4773819
2019-03-10T08:00:00+01:00;5743633
2019-03-10T09:00:00+01:00;11409595
2019-03-10T10:00:00+01:00;16197068
2019-03-10T11:00:00+01:00;20009659
2019-03-10T12:00:00+01:00;21319497
2019-03-10T13:00:00+01:00;24979916
2019-03-10T14:00:00+01:00;30838391
2019-03-10T15:00:00+01:00;27014041
2019-03-10T16:00:00+01:00;25127830
2019-03-10T17:00:00+01:00;27690922
2019-03-10T18:00:00+01:00;22873600
2019-03-10T19:00:00+01:00;26739916
2019-03-10T20:00:00+01:00;32122602
2019-03-10T21:00:00+01:00;33082658
2019-03-10T22:00:00+01:00;33373678
2019-03-10T23:00:00+01:00;21505757
2019-03-11T00:00:00+01:00;10797107
2019-03-11T01:00:00+01:00;5815938
2019-03-11T02:00:00+01:00;3822557
2019-03-11T03:00:00+01:00;3994282
2019-03-11T04:00:00+01:00;5486745
2019-03-11T05:00:00+01:00;5836676
2019-03-11T06:00:00+01:00;2615261
2019-03-11T07:00:00+01:00;6939266
2019-03-11T08:00:00+01:00;7541572
2019-03-11T09:00:00+01:00;6431302
