Time;Number of bytes transmitted
2019-03-07T07:00:00+01:00;7992200
2019-03-07T08:00:00+01:00;10998732
2019-03-07T09:00:00+01:00;7898777
2019-03-07T10:00:00+01:00;10751556
2019-03-07T11:00:00+01:00;9211460
2019-03-07T12:00:00+01:00;12204032
2019-03-07T13:00:00+01:00;31120042
2019-03-07T14:00:00+01:00;29714193
2019-03-07T15:00:00+01:00;20170973
2019-03-07T16:00:00+01:00;25013674
2019-03-07T17:00:00+01:00;23628305
2019-03-07T18:00:00+01:00;24789486
2019-03-07T19:00:00+01:00;24346897
2019-03-07T20:00:00+01:00;31310865
2019-03-07T21:00:00+01:00;28492339
2019-03-07T22:00:00+01:00;27805388
2019-03-07T23:00:00+01:00;18829397
2019-03-08T00:00:00+01:00;10890803
2019-03-08T01:00:00+01:00;30021597
2019-03-08T02:00:00+01:00;20426325
2019-03-08T03:00:00+01:00;14524893
2019-03-08T04:00:00+01:00;5413956
2019-03-08T05:00:00+01:00;1237256
2019-03-08T06:00:00+01:00;1768500
2019-03-08T07:00:00+01:00;6433774
2019-03-08T08:00:00+01:00;17005704
2019-03-08T09:00:00+01:00;12568081
2019-03-08T10:00:00+01:00;12452300
2019-03-08T11:00:00+01:00;13935858
2019-03-08T12:00:00+01:00;19854613
2019-03-08T13:00:00+01:00;29025809
2019-03-08T14:00:00+01:00;9117505
2019-03-08T15:00:00+01:00;6486272
2019-03-08T16:00:00+01:00;4951210
2019-03-08T17:00:00+01:00;6073873
2019-03-08T18:00:00+01:00;17692689
2019-03-08T19:00:00+01:00;18565341
2019-03-08T20:00:00+01:00;22478292
2019-03-08T21:00:00+01:00;27059460
2019-03-08T22:00:00+01:00;26216311
2019-03-08T23:00:00+01:00;20830103
2019-03-09T00:00:00+01:00;12242371
2019-03-09T01:00:00+01:00;29079176
2019-03-09T02:00:00+01:00;17768209
2019-03-09T03:00:00+01:00;14329992
2019-03-09T04:00:00+01:00;3543595
2019-03-09T05:00:00+01:00;1122911
2019-03-09T06:00:00+01:00;1549943
2019-03-09T07:00:00+01:00;1948099
2019-03-09T08:00:00+01:00;4595985
2019-03-09T09:00:00+01:00;9273446
2019-03-09T10:00:00+01:00;14538990
2019-03-09T11:00:00+01:00;35917141
2019-03-09T12:00:00+01:00;39662387
2019-03-09T13:00:00+01:00;41239756
2019-03-09T14:00:00+01:00;25300002
2019-03-09T15:00:00+01:00;22815931
2019-03-09T16:00:00+01:00;21432593
2019-03-09T17:00:00+01:00;22079897
2019-03-09T18:00:00+01:00;29824426
2019-03-09T19:00:00+01:00;25156573
2019-03-09T20:00:00+01:00;24874257
2019-03-09T21:00:00+01:00;24623086
2019-03-09T22:00:00+01:00;26197196
2019-03-09T23:00:00+01:00;21323281
2019-03-10T00:00:00+01:00;16916718
2019-03-10T01:00:00+01:00;29954884
2019-03-10T02:00:00+01:00;20629879
2019-03-10T03:00:00+01:00;7089920
2019-03-10T04:00:00+01:00;6786013
2019-03-10T05:00:00+01:00;5371435
2019-03-10T06:00:00+01:00;5122594
2019-03-10T07:00:00+01:00;3991040
2019-03-10T08:00:00+01:00;4971980
2019-03-10T09:00:00+01:00;10553173
2019-03-10T10:00:00+01:00;19333205
2019-03-10T11:00:00+01:00;35876249
2019-03-10T12:00:00+01:00;53965320
2019-03-10T13:00:00+01:00;29195400
2019-03-10T14:00:00+01:00;30359005
2019-03-10T15:00:00+01:00;26701038
2019-03-10T16:00:00+01:00;25952979
2019-03-10T17:00:00+01:00;26888140
2019-03-10T18:00:00+01:00;24626978
2019-03-10T19:00:00+01:00;26132582
2019-03-10T20:00:00+01:00;31488468
2019-03-10T21:00:00+01:00;32510890
2019-03-10T22:00:00+01:00;32805146
2019-03-10T23:00:00+01:00;20650120
2019-03-11T00:00:00+01:00;9972838
2019-03-11T01:00:00+01:00;27750191
2019-03-11T02:00:00+01:00;15737548
2019-03-11T03:00:00+01:00;6556296
2019-03-11T04:00:00+01:00;9020740
2019-03-11T05:00:00+01:00;3541451
2019-03-11T06:00:00+01:00;1783131
2019-03-11T07:00:00+01:00;16244701
2019-03-11T08:00:00+01:00;7475609
2019-03-11T09:00:00+01:00;14506107
2019-03-11T10:00:00+01:00;26730683
2019-03-11T11:00:00+01:00;11267328
2019-03-11T12:00:00+01:00;22898858
2019-03-11T13:00:00+01:00;19259221
2019-03-11T14:00:00+01:00;5752797
2019-03-11T15:00:00+01:00;5247863
2019-03-11T16:00:00+01:00;7252087
2019-03-11T17:00:00+01:00;5990826
2019-03-11T18:00:00+01:00;15976089
2019-03-11T19:00:00+01:00;21778449
2019-03-11T20:00:00+01:00;35661994
2019-03-11T21:00:00+01:00;34659089
2019-03-11T22:00:00+01:00;32049954
2019-03-11T23:00:00+01:00;20988262
2019-03-12T00:00:00+01:00;10708480
2019-03-12T01:00:00+01:00;33537843
2019-03-12T02:00:00+01:00;11377578
2019-03-12T03:00:00+01:00;2659875
2019-03-12T04:00:00+01:00;5163827
2019-03-12T05:00:00+01:00;1154713
2019-03-12T06:00:00+01:00;1696247
2019-03-12T07:00:00+01:00;6178542
2019-03-12T08:00:00+01:00;2921659
2019-03-12T09:00:00+01:00;3606528
2019-03-12T10:00:00+01:00;19720356
2019-03-12T11:00:00+01:00;7801429
2019-03-12T12:00:00+01:00;15533687
2019-03-12T13:00:00+01:00;18971357
2019-03-12T14:00:00+01:00;8110455
2019-03-12T15:00:00+01:00;6212078
2019-03-12T16:00:00+01:00;6319257
2019-03-12T17:00:00+01:00;19901856
2019-03-12T18:00:00+01:00;21182702
2019-03-12T19:00:00+01:00;23170874
2019-03-12T20:00:00+01:00;30764544
2019-03-12T21:00:00+01:00;35803306
2019-03-12T22:00:00+01:00;35567720
2019-03-12T23:00:00+01:00;24896563
2019-03-13T00:00:00+01:00;12814978
2019-03-13T01:00:00+01:00;24704904
2019-03-13T02:00:00+01:00;4175650
2019-03-13T03:00:00+01:00;5817820
2019-03-13T04:00:00+01:00;10084659
2019-03-13T05:00:00+01:00;8939673
2019-03-13T06:00:00+01:00;1159936
2019-03-13T07:00:00+01:00;9345447
2019-03-13T08:00:00+01:00;3370018
2019-03-13T09:00:00+01:00;3811584
2019-03-13T10:00:00+01:00;8026597
2019-03-13T11:00:00+01:00;7156940
2019-03-13T12:00:00+01:00;17459370
2019-03-13T13:00:00+01:00;23089946
2019-03-13T14:00:00+01:00;15109649
2019-03-13T15:00:00+01:00;9958170
2019-03-13T16:00:00+01:00;14670233
2019-03-13T17:00:00+01:00;18000236
2019-03-13T18:00:00+01:00;25568204
2019-03-13T19:00:00+01:00;21135907
2019-03-13T20:00:00+01:00;27649365
2019-03-13T21:00:00+01:00;28697388
2019-03-13T22:00:00+01:00;29327793
2019-03-13T23:00:00+01:00;19053841
2019-03-14T00:00:00+01:00;12632098
2019-03-14T01:00:00+01:00;24432957
2019-03-14T02:00:00+01:00;3877751
2019-03-14T03:00:00+01:00;5617834
2019-03-14T04:00:00+01:00;3605196
2019-03-14T05:00:00+01:00;1863936
2019-03-14T06:00:00+01:00;2451251
2019-03-14T07:00:00+01:00;5723340
2019-03-14T08:00:00+01:00;4619673
2019-03-14T09:00:00+01:00;6197830
2019-03-14T10:00:00+01:00;6680940
2019-03-14T11:00:00+01:00;5746210
2019-03-14T12:00:00+01:00;12061166
2019-03-14T13:00:00+01:00;25344887
2019-03-14T14:00:00+01:00;19500902
2019-03-14T15:00:00+01:00;19737105
2019-03-14T16:00:00+01:00;20616140
2019-03-14T17:00:00+01:00;26746077
2019-03-14T18:00:00+01:00;32884701
2019-03-14T19:00:00+01:00;31305949
2019-03-14T20:00:00+01:00;37514427
2019-03-14T21:00:00+01:00;44874803
2019-03-14T22:00:00+01:00;31555020
2019-03-14T23:00:00+01:00;23916151
2019-03-15T00:00:00+01:00;13749966
2019-03-15T01:00:00+01:00;33874636
2019-03-15T02:00:00+01:00;19891524
2019-03-15T03:00:00+01:00;14886673
2019-03-15T04:00:00+01:00;4961006
2019-03-15T05:00:00+01:00;2386184
2019-03-15T06:00:00+01:00;1035952
2019-03-15T07:00:00+01:00;7018376
2019-03-15T08:00:00+01:00;10804650
2019-03-15T09:00:00+01:00;10600004
2019-03-15T10:00:00+01:00;16699630
2019-03-15T11:00:00+01:00;12174592
2019-03-15T12:00:00+01:00;17796386
2019-03-15T13:00:00+01:00;21556070
2019-03-15T14:00:00+01:00;11771067
2019-03-15T15:00:00+01:00;8255914
2019-03-15T16:00:00+01:00;13147306
2019-03-15T17:00:00+01:00;19904633
2019-03-15T18:00:00+01:00;32259720
2019-03-15T19:00:00+01:00;18024311
2019-03-15T20:00:00+01:00;20564462
2019-03-15T21:00:00+01:00;27319296
2019-03-15T22:00:00+01:00;31225924
2019-03-15T23:00:00+01:00;23772620
2019-03-16T00:00:00+01:00;14453865
2019-03-16T01:00:00+01:00;37887180
2019-03-16T02:00:00+01:00;20412468
2019-03-16T03:00:00+01:00;15452706
2019-03-16T04:00:00+01:00;5528298
2019-03-16T05:00:00+01:00;2456610
2019-03-16T06:00:00+01:00;2178013
2019-03-16T07:00:00+01:00;5834564
2019-03-16T08:00:00+01:00;6401501
2019-03-16T09:00:00+01:00;17023573
2019-03-16T10:00:00+01:00;41700812
2019-03-16T11:00:00+01:00;41304251
2019-03-16T12:00:00+01:00;20789504
2019-03-16T13:00:00+01:00;25868373
2019-03-16T14:00:00+01:00;29321833
2019-03-16T15:00:00+01:00;24090777
2019-03-16T16:00:00+01:00;21891319
2019-03-16T17:00:00+01:00;23174468
2019-03-16T18:00:00+01:00;29548629
2019-03-16T19:00:00+01:00;22107835
2019-03-16T20:00:00+01:00;20858214
2019-03-16T21:00:00+01:00;23412906
2019-03-16T22:00:00+01:00;26092032
2019-03-16T23:00:00+01:00;20885862
2019-03-17T00:00:00+01:00;15201024
2019-03-17T01:00:00+01:00;22449800
2019-03-17T02:00:00+01:00;17368046
2019-03-17T03:00:00+01:00;9922952
2019-03-17T04:00:00+01:00;5975022
2019-03-17T05:00:00+01:00;2153318
2019-03-17T06:00:00+01:00;1604642
2019-03-17T07:00:00+01:00;3198276
2019-03-17T08:00:00+01:00;7011601
2019-03-17T09:00:00+01:00;9558391
2019-03-17T10:00:00+01:00;25320482
2019-03-17T11:00:00+01:00;22148590
2019-03-17T12:00:00+01:00;21299575
2019-03-17T13:00:00+01:00;22611336
2019-03-17T14:00:00+01:00;25144934
2019-03-17T15:00:00+01:00;25279709
2019-03-17T16:00:00+01:00;26889198
2019-03-17T17:00:00+01:00;34872234
2019-03-17T18:00:00+01:00;29645312
2019-03-17T19:00:00+01:00;24732142
2019-03-17T20:00:00+01:00;32603596
2019-03-17T21:00:00+01:00;40106171
2019-03-17T22:00:00+01:00;37935342
2019-03-17T23:00:00+01:00;28854792
2019-03-18T00:00:00+01:00;14008064
2019-03-18T01:00:00+01:00;16272878
2019-03-18T02:00:00+01:00;14243753
2019-03-18T03:00:00+01:00;20803805
2019-03-18T04:00:00+01:00;22048091
2019-03-18T05:00:00+01:00;1702707
2019-03-18T06:00:00+01:00;1725644
2019-03-18T07:00:00+01:00;6679449
2019-03-18T08:00:00+01:00;13392725
2019-03-18T09:00:00+01:00;8459332
2019-03-18T10:00:00+01:00;7452313
2019-03-18T11:00:00+01:00;12508364
2019-03-18T12:00:00+01:00;17954833
2019-03-18T13:00:00+01:00;24930577
2019-03-18T14:00:00+01:00;11641432
2019-03-18T15:00:00+01:00;11853482
2019-03-18T16:00:00+01:00;15302707
2019-03-18T17:00:00+01:00;9310378
2019-03-18T18:00:00+01:00;31540466
2019-03-18T19:00:00+01:00;25064396
2019-03-18T20:00:00+01:00;26925653
2019-03-18T21:00:00+01:00;31583146
2019-03-18T22:00:00+01:00;27944277
2019-03-18T23:00:00+01:00;20376029
2019-03-19T00:00:00+01:00;11723298
2019-03-19T01:00:00+01:00;32833518
2019-03-19T02:00:00+01:00;21270146
2019-03-19T03:00:00+01:00;4659588
2019-03-19T04:00:00+01:00;4338705
2019-03-19T05:00:00+01:00;1227588
2019-03-19T06:00:00+01:00;1326011
2019-03-19T07:00:00+01:00;6694997
2019-03-19T08:00:00+01:00;6961902
2019-03-19T09:00:00+01:00;7225634
2019-03-19T10:00:00+01:00;10280157
2019-03-19T11:00:00+01:00;7408136
2019-03-19T12:00:00+01:00;16549614
2019-03-19T13:00:00+01:00;25578513
2019-03-19T14:00:00+01:00;16362274
2019-03-19T15:00:00+01:00;12080554
2019-03-19T16:00:00+01:00;15986792
2019-03-19T17:00:00+01:00;9845060
2019-03-19T18:00:00+01:00;26798489
2019-03-19T19:00:00+01:00;21140237
2019-03-19T20:00:00+01:00;27046297
