Time	CPU usage
2019-03-01T00:00:00+01:00	10144100000
2019-03-01T01:00:00+01:00	10260416666
2019-03-01T02:00:00+01:00	8396933333
2019-03-01T03:00:00+01:00	8504783333
2019-03-01T04:00:00+01:00	8670983333
2019-03-01T05:00:00+01:00	8188816666
2019-03-01T06:00:00+01:00	8215350000
2019-03-01T07:00:00+01:00	10024166666
2019-03-01T08:00:00+01:00	10538533333
2019-03-01T09:00:00+01:00	10420433333
2019-03-01T10:00:00+01:00	12635933333
2019-03-01T11:00:00+01:00	13232200000
2019-03-01T12:00:00+01:00	14843150000
2019-03-01T13:00:00+01:00	13710300000
2019-03-01T14:00:00+01:00	11808633333
2019-03-01T15:00:00+01:00	13363133333
2019-03-01T16:00:00+01:00	12483800000
2019-03-01T17:00:00+01:00	13220150000
2019-03-01T18:00:00+01:00	12805633333
2019-03-01T19:00:00+01:00	14799350000
2019-03-01T20:00:00+01:00	15839283333
2019-03-01T21:00:00+01:00	16507016666
2019-03-01T22:00:00+01:00	16564683333
2019-03-01T23:00:00+01:00	13900783333
2019-03-02T00:00:00+01:00	9496000000
2019-03-02T01:00:00+01:00	11737283333
2019-03-02T02:00:00+01:00	10624500000
2019-03-02T03:00:00+01:00	8518566666
2019-03-02T04:00:00+01:00	7716666666
2019-03-02T05:00:00+01:00	8573133333
2019-03-02T06:00:00+01:00	8869500000
2019-03-02T07:00:00+01:00	8212350000
2019-03-02T08:00:00+01:00	8680750000
2019-03-02T09:00:00+01:00	11053850000
2019-03-02T10:00:00+01:00	12024416666
2019-03-02T11:00:00+01:00	14062683333
2019-03-02T12:00:00+01:00	13942600000
2019-03-02T13:00:00+01:00	13764433333
2019-03-02T14:00:00+01:00	12891083333
2019-03-02T15:00:00+01:00	13021050000
2019-03-02T16:00:00+01:00	11467250000
2019-03-02T17:00:00+01:00	13274033333
2019-03-02T18:00:00+01:00	14040266666
2019-03-02T19:00:00+01:00	13466583333
2019-03-02T20:00:00+01:00	12998750000
2019-03-02T21:00:00+01:00	12062233333
2019-03-02T22:00:00+01:00	11670116666
2019-03-02T23:00:00+01:00	11368033333
2019-03-03T00:00:00+01:00	11478600000
2019-03-03T01:00:00+01:00	11160183333
2019-03-03T02:00:00+01:00	9684916666
2019-03-03T03:00:00+01:00	9971833333
2019-03-03T04:00:00+01:00	9778366666
2019-03-03T05:00:00+01:00	8239716666
2019-03-03T06:00:00+01:00	8567783333
2019-03-03T07:00:00+01:00	9163816666
2019-03-03T08:00:00+01:00	10363500000
2019-03-03T09:00:00+01:00	9948700000
2019-03-03T10:00:00+01:00	11831650000
2019-03-03T11:00:00+01:00	13951083333
2019-03-03T12:00:00+01:00	14233916666
2019-03-03T13:00:00+01:00	13498800000
2019-03-03T14:00:00+01:00	14939083333
2019-03-03T15:00:00+01:00	14315716666
2019-03-03T16:00:00+01:00	12760900000
2019-03-03T17:00:00+01:00	12650216666
2019-03-03T18:00:00+01:00	14566533333
2019-03-03T19:00:00+01:00	14418116666
2019-03-03T20:00:00+01:00	13979450000
2019-03-03T21:00:00+01:00	14606383333
2019-03-03T22:00:00+01:00	15113750000
2019-03-03T23:00:00+01:00	12395516666
2019-03-04T00:00:00+01:00	9641666666
2019-03-04T01:00:00+01:00	8942683333
2019-03-04T02:00:00+01:00	9087616666
2019-03-04T03:00:00+01:00	10033916666
2019-03-04T04:00:00+01:00	8425183333
2019-03-04T05:00:00+01:00	8562200000
2019-03-04T06:00:00+01:00	9018266666
2019-03-04T07:00:00+01:00	9877966666
2019-03-04T08:00:00+01:00	12298616666
2019-03-04T09:00:00+01:00	13273533333
2019-03-04T10:00:00+01:00	17929516666
2019-03-04T11:00:00+01:00	15907266666
2019-03-04T12:00:00+01:00	12544616666
2019-03-04T13:00:00+01:00	13981200000
2019-03-04T14:00:00+01:00	12518150000
2019-03-04T15:00:00+01:00	11373783333
2019-03-04T16:00:00+01:00	13604633333
2019-03-04T17:00:00+01:00	14159600000
2019-03-04T18:00:00+01:00	14503333333
2019-03-04T19:00:00+01:00	18277566666
2019-03-04T20:00:00+01:00	18213616666
2019-03-04T21:00:00+01:00	19370250000
2019-03-04T22:00:00+01:00	19009666666
2019-03-04T23:00:00+01:00	16732883333
2019-03-05T00:00:00+01:00	14143216666
2019-03-05T01:00:00+01:00	12755766666
2019-03-05T02:00:00+01:00	11903100000
2019-03-05T03:00:00+01:00	12306050847
2019-03-05T04:00:00+01:00	12952016666
2019-03-05T05:00:00+01:00	11358266666
2019-03-05T06:00:00+01:00	11992333333
2019-03-05T07:00:00+01:00	13307716666
2019-03-05T08:00:00+01:00	15492916666
2019-03-05T09:00:00+01:00	14239183333
2019-03-05T10:00:00+01:00	16103450000
2019-03-05T11:00:00+01:00	16601483333
2019-03-05T12:00:00+01:00	15902100000
2019-03-05T13:00:00+01:00	16548216666
2019-03-05T14:00:00+01:00	15644116666
