Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-01-04T05:00:00+01:00;7158516666;2,41E+11;834993;351023;5;3
2019-01-04T06:00:00+01:00;7331433333;2,44E+11;912554;508142;7;4
2019-01-04T07:00:00+01:00;7273183333;2,44E+11;1019153;742638;10;6
2019-01-04T08:00:00+01:00;8149766666;2,44E+11;1389499;2647261;12;3
2019-01-04T09:00:00+01:00;9721400000;2,44E+11;2222301;2565358;10;5
2019-01-04T10:00:00+01:00;10774983333;2,44E+11;1971916;3488477;10;8
2019-01-04T11:00:00+01:00;12769533333;2,41E+11;2510694;10020164;11;5
2019-01-04T12:00:00+01:00;12704333333;2,40E+11;1449489;6201617;10;18
2019-01-04T13:00:00+01:00;12587616666;2,40E+11;1632631;1945292;12;4
2019-01-04T14:00:00+01:00;12074033333;2,40E+11;2079539;2777395;11;8
2019-01-04T15:00:00+01:00;13182666666;2,40E+11;1693627;1493111;11;5
2019-01-04T16:00:00+01:00;13141866666;2,40E+11;2755089;1810670;8;14
2019-01-04T17:00:00+01:00;12306000000;2,40E+11;1768396;2049587;9;7
2019-01-04T18:00:00+01:00;11591183333;2,40E+11;1399961;1682688;9;5
2019-01-04T19:00:00+01:00;9180616666;2,40E+11;1230414;1803992;7;2
2019-01-04T20:00:00+01:00;10156100000;2,40E+11;1189905;1799424;9;13
2019-01-04T21:00:00+01:00;10896016666;2,40E+11;1775803;1736482;8;6
2019-01-04T22:00:00+01:00;12187016666;2,40E+11;1273497;9338709;7;4
2019-01-04T23:00:00+01:00;11729183333;2,40E+11;1203592;815445;8;4
2019-01-05T00:00:00+01:00;10782416666;2,40E+11;1042739;2882730;10;8
2019-01-05T01:00:00+01:00;10789350000;2,41E+11;4745915;29553868;12;10
2019-01-05T02:00:00+01:00;9134550000;2,47E+11;11148851;21813265;10;16
2019-01-05T03:00:00+01:00;8213966666;2,46E+11;1130849;16733625;7;8
2019-01-05T04:00:00+01:00;7688383333;2,46E+11;841011;617762;17;65
2019-01-05T05:00:00+01:00;7098866666;2,46E+11;813329;881339;5;1
2019-01-05T06:00:00+01:00;8088966666;2,46E+11;884957;727074;6;14
2019-01-05T07:00:00+01:00;7782650000;2,46E+11;821039;542928;9;8
2019-01-05T08:00:00+01:00;8669316666;2,46E+11;855466;1558852;10;3
2019-01-05T09:00:00+01:00;9932366666;2,40E+11;1086839;2654395;10;3
2019-01-05T10:00:00+01:00;11457250000;2,38E+11;1262882;1097762;12;8
2019-01-05T11:00:00+01:00;11694133333;2,38E+11;1087163;1593497;9;13
