Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-05-16T19:00:00+02:00;19784050000;2,48E+11;25438667;26810438;11;6
2019-05-16T20:00:00+02:00;20828166666;2,48E+11;27703603;27283285;8;1
2019-05-16T21:00:00+02:00;20779633333;2,48E+11;27221460;27576510;9;4
2019-05-16T22:00:00+02:00;19390900000;2,48E+11;26260650;26403601;9;10
2019-05-16T23:00:00+02:00;17569600000;2,48E+11;21156027;20876049;12;5
2019-05-17T00:00:00+02:00;15059750000;2,48E+11;10065288;9685026;13;19
2019-05-17T01:00:00+02:00;14422583333;2,48E+11;6327631;29017988;9;13
2019-05-17T02:00:00+02:00;13398316666;2,48E+11;4330240;21711581;10;17
2019-05-17T03:00:00+02:00;12643166666;2,48E+11;2630417;15115878;8;10
2019-05-17T04:00:00+02:00;13464400000;2,48E+11;1508228;1780312;15;64
2019-05-17T05:00:00+02:00;12620516666;2,48E+11;2103227;3168563;12;5
2019-05-17T06:00:00+02:00;12181350000;2,48E+11;2157141;1896328;10;12
2019-05-17T07:00:00+02:00;13394300000;2,48E+11;6334880;6170554;12;4
2019-05-17T08:00:00+02:00;14397116666;2,48E+11;4585130;7067067;11;5
2019-05-17T09:00:00+02:00;16708766666;2,48E+11;5936093;8660548;12;6
2019-05-17T10:00:00+02:00;17074883333;2,48E+11;7159415;11823018;11;7
2019-05-17T11:00:00+02:00;18088866666;2,48E+11;9556731;10062709;13;5
2019-05-17T12:00:00+02:00;17720866666;2,48E+11;17343982;17244791;13;1
2019-05-17T13:00:00+02:00;17559033333;2,48E+11;17582479;17474959;14;4
2019-05-17T14:00:00+02:00;16467566666;2,48E+11;9699592;12686795;11;21
2019-05-17T15:00:00+02:00;17161550000;2,46E+11;8971987;14666487;9;4
2019-05-17T16:00:00+02:00;15592050000;2,44E+11;9229797;10006389;11;8
2019-05-17T17:00:00+02:00;16565650000;2,44E+11;8831914;8738423;9;3
2019-05-17T18:00:00+02:00;19304033333;2,44E+11;16791483;19278045;9;8
2019-05-17T19:00:00+02:00;19476700000;2,44E+11;20910375;22701837;8;26
2019-05-17T20:00:00+02:00;19983416666;2,44E+11;28869102;28933666;8;1
2019-05-17T21:00:00+02:00;17909733333;2,44E+11;18682845;19496174;10;4
2019-05-17T22:00:00+02:00;18200516666;2,44E+11;13695641;13675127;9;10
2019-05-17T23:00:00+02:00;17310783333;2,44E+11;12178346;12103543;5;5
2019-05-18T00:00:00+02:00;16863733333;2,44E+11;10200985;10038033;12;12
2019-05-18T01:00:00+02:00;15293833333;2,44E+11;7723298;35720755;9;9
2019-05-18T02:00:00+02:00;16215150000;2,32E+11;6091093;31917789;12;17
2019-05-18T03:00:00+02:00;14218300000;2,27E+11;5012275;4841369;11;12
2019-05-18T04:00:00+02:00;13862683333;2,27E+11;3720499;4001553;15;58
2019-05-18T05:00:00+02:00;13934650000;2,27E+11;1536375;9569774;9;5
2019-05-18T06:00:00+02:00;13411083333;2,37E+11;7138099;1510792;6;6
2019-05-18T07:00:00+02:00;13664916666;2,45E+11;1029478;785271;5;2
2019-05-18T08:00:00+02:00;14137500000;2,45E+11;2223906;4087893;5;7
2019-05-18T09:00:00+02:00;13960750000;2,45E+11;5755835;5612629;9;3
2019-05-18T10:00:00+02:00;15186683333;2,45E+11;11530496;12100334;9;4
2019-05-18T11:00:00+02:00;18003500000;2,45E+11;17771468;19080857;8;16
2019-05-18T12:00:00+02:00;18790716666;2,45E+11;17832021;24723404;11;8
2019-05-18T13:00:00+02:00;19632283333;2,45E+11;19184049;45309396;13;13
2019-05-18T14:00:00+02:00;19633566666;2,45E+11;18653678;32686574;9;5
2019-05-18T15:00:00+02:00;18454716666;2,45E+11;15265399;15033361;7;1
2019-05-18T16:00:00+02:00;17852716666;2,45E+11;14278758;13909367;8;2
2019-05-18T17:00:00+02:00;18682133333;2,45E+11;17172224;16729736;10;9
2019-05-18T18:00:00+02:00;19688700000;2,45E+11;19572957;19332539;8;5
2019-05-18T19:00:00+02:00;19829466666;2,45E+11;19672064;19707579;7;7
2019-05-18T20:00:00+02:00;19600950000;2,45E+11;21654135;21884603;8;8
2019-05-18T21:00:00+02:00;19278350000;2,45E+11;18912529;18665830;7;3
2019-05-18T22:00:00+02:00;19270083333;2,45E+11;16084582;15822592;7;5
2019-05-18T23:00:00+02:00;18531450000;2,44E+11;12893132;12858129;7;3
2019-05-19T00:00:00+02:00;16654083333;2,44E+11;8205875;10152652;13;24
2019-05-19T01:00:00+02:00;14938700000;2,44E+11;6162773;28297728;8;7
2019-05-19T02:00:00+02:00;14318850000;2,44E+11;4710058;19697015;11;16
2019-05-19T03:00:00+02:00;14262933333;2,44E+11;3391965;4979507;11;15
2019-05-19T04:00:00+02:00;15294400000;2,44E+11;4722124;5538594;14;36
2019-05-19T05:00:00+02:00;13890816666;2,44E+11;3920774;4442615;10;2
2019-05-19T06:00:00+02:00;12886166666;2,44E+11;1681841;1344078;8;7
2019-05-19T07:00:00+02:00;12535500000;2,44E+11;2280772;1939148;5;6
2019-05-19T08:00:00+02:00;13440583333;2,44E+11;2021802;3184827;8;9
2019-05-19T09:00:00+02:00;12985200000;2,44E+11;3386862;10419217;6;6
2019-05-19T10:00:00+02:00;13858483333;2,44E+11;9234255;9117166;9;9
2019-05-19T11:00:00+02:00;15764266666;2,44E+11;11752174;12269670;8;13
