Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-04T06:00:00+02:00;9746466666;2,43E+11;487371;1212574;19;13
2019-07-04T07:00:00+02:00;9612316666;2,43E+11;494680;1025995;20;7
2019-07-04T08:00:00+02:00;11604516666;2,43E+11;1431978;2460364;16;3
2019-07-04T09:00:00+02:00;14021266666;2,43E+11;1180296;2570393;19;14
2019-07-04T10:00:00+02:00;15218450000;2,42E+11;879735;2054178;15;7
2019-07-04T11:00:00+02:00;11965800000;2,41E+11;751616;12867891;14;6
2019-07-04T12:00:00+02:00;11271066666;2,40E+11;694493;4148377;13;3
2019-07-04T13:00:00+02:00;10009266666;2,39E+11;441309;1878920;13;5
2019-07-04T14:00:00+02:00;10022033333;2,41E+11;3801992;6201907;23;25
2019-07-04T15:00:00+02:00;9367683333;2,43E+11;557513;1686710;15;8
2019-07-04T16:00:00+02:00;10310816666;2,42E+11;682513;2916215;15;11
2019-07-04T17:00:00+02:00;7411559322;2,47E+11;6854708;3431909;15;7
2019-07-04T18:00:00+02:00;7921633333;2,51E+11;2347281;6223138;11;5
2019-07-04T19:00:00+02:00;7993316666;2,45E+11;833483;6508067;12;9
2019-07-04T20:00:00+02:00;7807200000;2,29E+11;321297;993843;12;4
2019-07-04T21:00:00+02:00;7654316666;2,29E+11;356471;2531993;11;8
2019-07-04T22:00:00+02:00;8869383333;2,30E+11;499712;3390754;14;13
2019-07-04T23:00:00+02:00;9096583333;2,27E+11;413539;1357876;14;16
2019-07-05T00:00:00+02:00;8788916666;2,18E+11;363127;2895889;20;12
2019-07-05T01:00:00+02:00;9138183333;2,16E+11;625768;17769871;18;12
2019-07-05T02:00:00+02:00;10528516666;2,16E+11;4051551;23604814;15;29
2019-07-05T03:00:00+02:00;9428283333;2,16E+11;508962;12491912;16;18
2019-07-05T04:00:00+02:00;9580433333;2,16E+11;584140;18765260;19;32
2019-07-05T05:00:00+02:00;9907900000;2,16E+11;277162;7873177;13;6
2019-07-05T06:00:00+02:00;8619616666;2,16E+11;397721;3669213;14;12
2019-07-05T07:00:00+02:00;8186916666;2,16E+11;499643;868676;15;7
2019-07-05T08:00:00+02:00;9910933333;2,16E+11;830168;1457828;19;9
2019-07-05T09:00:00+02:00;10436800000;2,16E+11;769382;1623825;17;7
2019-07-05T10:00:00+02:00;9481066666;2,16E+11;834013;1410935;16;5
2019-07-05T11:00:00+02:00;9015383333;2,19E+11;3105245;7099511;18;18
2019-07-05T12:00:00+02:00;9429916666;2,18E+11;1938414;14237235;18;33
2019-07-05T13:00:00+02:00;8347283333;2,18E+11;2518323;3654434;14;16
2019-07-05T14:00:00+02:00;8642716666;2,18E+11;676505;1394705;18;7
2019-07-05T15:00:00+02:00;9186883333;2,18E+11;2769015;1572556;15;22
2019-07-05T16:00:00+02:00;10549700000;2,33E+11;3747481;2267238;19;20
2019-07-05T17:00:00+02:00;11857466666;2,35E+11;830720;2023321;17;5
2019-07-05T18:00:00+02:00;9295100000;2,36E+11;721885;1113787;15;5
2019-07-05T19:00:00+02:00;8754233333;2,36E+11;981469;2715818;15;13
2019-07-05T20:00:00+02:00;9810150000;2,36E+11;523177;811702;14;7
2019-07-05T21:00:00+02:00;9953833333;2,36E+11;824584;13439664;13;5
2019-07-05T22:00:00+02:00;12673466666;2,36E+11;713813;2683016;15;10
2019-07-05T23:00:00+02:00;10579216666;2,32E+11;648618;4755473;14;9
2019-07-06T00:00:00+02:00;10563333333;2,25E+11;308309;1176712;17;12
2019-07-06T01:00:00+02:00;9627816666;2,25E+11;604726;17578130;18;14
2019-07-06T02:00:00+02:00;11320600000;2,25E+11;4473480;23475404;22;24
2019-07-06T03:00:00+02:00;11401833333;2,25E+11;2473864;22623163;23;36
2019-07-06T04:00:00+02:00;11056850000;2,24E+11;4499985;16682410;15;30
2019-07-06T05:00:00+02:00;11263783333;2,23E+11;5016302;4643054;13;8
2019-07-06T06:00:00+02:00;10402316666;2,23E+11;3653649;1422097;13;10
2019-07-06T07:00:00+02:00;9717866666;2,23E+11;5913975;6330453;9;5
2019-07-06T08:00:00+02:00;9764100000;2,23E+11;7066658;5216733;18;4
2019-07-06T09:00:00+02:00;9939483333;2,23E+11;2836855;10070732;15;6
2019-07-06T10:00:00+02:00;9019200000;2,23E+11;5435921;19670988;12;10
2019-07-06T11:00:00+02:00;9085033333;2,23E+11;6087748;25826065;10;4
2019-07-06T12:00:00+02:00;9305850000;2,23E+11;17037897;25863149;13;3
2019-07-06T13:00:00+02:00;9487666666;2,23E+11;2521088;5088563;12;2
2019-07-06T14:00:00+02:00;8692000000;2,23E+11;9446724;8598135;11;6
2019-07-06T15:00:00+02:00;9351616666;2,23E+11;1014033;8740761;11;5
2019-07-06T16:00:00+02:00;14150500000;2,23E+11;572155;1707337;10;5
2019-07-06T17:00:00+02:00;12997516666;2,23E+11;364202;780424;10;4
2019-07-06T18:00:00+02:00;13137800000;2,23E+11;394888;3002419;11;9
2019-07-06T19:00:00+02:00;12715700000;2,23E+11;319641;822493;8;6
2019-07-06T20:00:00+02:00;13311850000;2,23E+11;365533;1835008;10;2
2019-07-06T21:00:00+02:00;13178516666;2,23E+11;376346;12108747;9;10
2019-07-06T22:00:00+02:00;13235096153;2,23E+11;377354;894694;11;14
2019-07-06T23:00:00+02:00;null;null;null;null;0;0
2019-07-07T00:00:00+02:00;null;null;null;null;0;0
2019-07-07T01:00:00+02:00;13263739130;2,23E+11;624733;22209442;14;15
2019-07-07T02:00:00+02:00;14857616666;2,21E+11;3096098;24550604;10;42
2019-07-07T03:00:00+02:00;13192283333;2,21E+11;541219;17597492;14;16
2019-07-07T04:00:00+02:00;13159950000;2,21E+11;318498;2902988;12;42
2019-07-07T05:00:00+02:00;9991766666;2,21E+11;230451;569275;9;3
2019-07-07T06:00:00+02:00;8102566666;2,21E+11;323515;862924;10;10
2019-07-07T07:00:00+02:00;7170083333;2,21E+11;270028;661794;9;4
2019-07-07T08:00:00+02:00;7508816666;2,21E+11;234649;583441;9;5
