Time;Number of bytes transmitted on interface Network adapter 1
2019-03-07T11:00:00+01:00;1593685
2019-03-07T12:00:00+01:00;2193015
2019-03-07T13:00:00+01:00;3772859
2019-03-07T14:00:00+01:00;5001335
2019-03-07T15:00:00+01:00;1918668
2019-03-07T16:00:00+01:00;6682180
2019-03-07T17:00:00+01:00;978892
2019-03-07T18:00:00+01:00;5096704
2019-03-07T19:00:00+01:00;3955899
2019-03-07T20:00:00+01:00;1570645
2019-03-07T21:00:00+01:00;1567027
2019-03-07T22:00:00+01:00;729548
2019-03-07T23:00:00+01:00;1192635
2019-03-08T00:00:00+01:00;85435
2019-03-08T01:00:00+01:00;1860300
2019-03-08T02:00:00+01:00;29508
2019-03-08T03:00:00+01:00;75366
2019-03-08T04:00:00+01:00;58880
2019-03-08T05:00:00+01:00;46933
2019-03-08T06:00:00+01:00;50449
2019-03-08T07:00:00+01:00;115114
2019-03-08T08:00:00+01:00;4114875
2019-03-08T09:00:00+01:00;317320
2019-03-08T10:00:00+01:00;515891
2019-03-08T11:00:00+01:00;2304648
2019-03-08T12:00:00+01:00;3666858
2019-03-08T13:00:00+01:00;6519773
2019-03-08T14:00:00+01:00;4897280
2019-03-08T15:00:00+01:00;329284
2019-03-08T16:00:00+01:00;1563716
2019-03-08T17:00:00+01:00;344251
2019-03-08T18:00:00+01:00;260864
2019-03-08T19:00:00+01:00;452676
2019-03-08T20:00:00+01:00;1276945
2019-03-08T21:00:00+01:00;662596
2019-03-08T22:00:00+01:00;691763
2019-03-08T23:00:00+01:00;349218
2019-03-09T00:00:00+01:00;622267
2019-03-09T01:00:00+01:00;39133
2019-03-09T02:00:00+01:00;43178
2019-03-09T03:00:00+01:00;10865476
2019-03-09T04:00:00+01:00;10527419
2019-03-09T05:00:00+01:00;4473565
2019-03-09T06:00:00+01:00;1853661
2019-03-09T07:00:00+01:00;7850444
2019-03-09T08:00:00+01:00;7360290
2019-03-09T09:00:00+01:00;2256384
2019-03-09T10:00:00+01:00;9160635
2019-03-09T11:00:00+01:00;4376797
2019-03-09T12:00:00+01:00;11321275
2019-03-09T13:00:00+01:00;3668667
2019-03-09T14:00:00+01:00;11250926
2019-03-09T15:00:00+01:00;2072866
2019-03-09T16:00:00+01:00;3793698
2019-03-09T17:00:00+01:00;2812450
2019-03-09T18:00:00+01:00;3136921
2019-03-09T19:00:00+01:00;160682
2019-03-09T20:00:00+01:00;2335590
2019-03-09T21:00:00+01:00;688264
2019-03-09T22:00:00+01:00;158634
2019-03-09T23:00:00+01:00;214135
2019-03-10T00:00:00+01:00;567637
2019-03-10T01:00:00+01:00;347835
2019-03-10T02:00:00+01:00;57975
2019-03-10T03:00:00+01:00;53640
2019-03-10T04:00:00+01:00;29986
2019-03-10T05:00:00+01:00;45568
2019-03-10T06:00:00+01:00;30617
2019-03-10T07:00:00+01:00;30566
2019-03-10T08:00:00+01:00;45738
2019-03-10T09:00:00+01:00;173892
2019-03-10T10:00:00+01:00;2844552
2019-03-10T11:00:00+01:00;1200622
2019-03-10T12:00:00+01:00;2078378
2019-03-10T13:00:00+01:00;447283
2019-03-10T14:00:00+01:00;7152913
2019-03-10T15:00:00+01:00;1522688
2019-03-10T16:00:00+01:00;9618722
2019-03-10T17:00:00+01:00;7291033
2019-03-10T18:00:00+01:00;3092548
2019-03-10T19:00:00+01:00;2060970
2019-03-10T20:00:00+01:00;6373973
2019-03-10T21:00:00+01:00;2188219
2019-03-10T22:00:00+01:00;2804633
2019-03-10T23:00:00+01:00;2586948
2019-03-11T00:00:00+01:00;133683
2019-03-11T01:00:00+01:00;93422
2019-03-11T02:00:00+01:00;21452
2019-03-11T03:00:00+01:00;33365
2019-03-11T04:00:00+01:00;25753
2019-03-11T05:00:00+01:00;47240
2019-03-11T06:00:00+01:00;49732
2019-03-11T07:00:00+01:00;254088
2019-03-11T08:00:00+01:00;1197192
2019-03-11T09:00:00+01:00;1983028
2019-03-11T10:00:00+01:00;2312977
2019-03-11T11:00:00+01:00;891272
2019-03-11T12:00:00+01:00;2061021
2019-03-11T13:00:00+01:00;1378884
2019-03-11T14:00:00+01:00;7355494
2019-03-11T15:00:00+01:00;2520354
2019-03-11T16:00:00+01:00;594414
2019-03-11T17:00:00+01:00;498944
2019-03-11T18:00:00+01:00;277555
2019-03-11T19:00:00+01:00;1069755
2019-03-11T20:00:00+01:00;1638229
2019-03-11T21:00:00+01:00;3100928
2019-03-11T22:00:00+01:00;1735987
2019-03-11T23:00:00+01:00;644522
2019-03-12T00:00:00+01:00;107400
2019-03-12T01:00:00+01:00;94003
2019-03-12T02:00:00+01:00;291857
2019-03-12T03:00:00+01:00;39070
2019-03-12T04:00:00+01:00;33570
2019-03-12T05:00:00+01:00;56746
2019-03-12T06:00:00+01:00;53504
2019-03-12T07:00:00+01:00;322713
2019-03-12T08:00:00+01:00;805017
2019-03-12T09:00:00+01:00;1007530
2019-03-12T10:00:00+01:00;957252
2019-03-12T11:00:00+01:00;1034240
2019-03-12T12:00:00+01:00;605457
2019-03-12T13:00:00+01:00;1369122
2019-03-12T14:00:00+01:00;3711812
2019-03-12T15:00:00+01:00;1897420
2019-03-12T16:00:00+01:00;1297271
2019-03-12T17:00:00+01:00;320921
2019-03-12T18:00:00+01:00;275029
2019-03-12T19:00:00+01:00;709495
2019-03-12T20:00:00+01:00;677495
2019-03-12T21:00:00+01:00;993177
2019-03-12T22:00:00+01:00;492288
2019-03-12T23:00:00+01:00;1515963
2019-03-13T00:00:00+01:00;290594
2019-03-13T01:00:00+01:00;44782
2019-03-13T02:00:00+01:00;12987
2019-03-13T03:00:00+01:00;30498
2019-03-13T04:00:00+01:00;22050
2019-03-13T05:00:00+01:00;21282
2019-03-13T06:00:00+01:00;1032345
2019-03-13T07:00:00+01:00;669405
2019-03-13T08:00:00+01:00;1258769
2019-03-13T09:00:00+01:00;1603020
2019-03-13T10:00:00+01:00;472422
2019-03-13T11:00:00+01:00;291566
2019-03-13T12:00:00+01:00;494540
2019-03-13T13:00:00+01:00;3351483
2019-03-13T14:00:00+01:00;590165
2019-03-13T15:00:00+01:00;388608
2019-03-13T16:00:00+01:00;623701
2019-03-13T17:00:00+01:00;610986
2019-03-13T18:00:00+01:00;1473041
2019-03-13T19:00:00+01:00;393813
2019-03-13T20:00:00+01:00;1769557
2019-03-13T21:00:00+01:00;1378628
2019-03-13T22:00:00+01:00;150289
2019-03-13T23:00:00+01:00;199236
2019-03-14T00:00:00+01:00;79513
2019-03-14T01:00:00+01:00;54169
2019-03-14T02:00:00+01:00;133256
2019-03-14T03:00:00+01:00;70092
2019-03-14T04:00:00+01:00;62958
2019-03-14T05:00:00+01:00;27084
2019-03-14T06:00:00+01:00;152934
2019-03-14T07:00:00+01:00;135458
2019-03-14T08:00:00+01:00;401271
2019-03-14T09:00:00+01:00;276189
2019-03-14T10:00:00+01:00;384409
2019-03-14T11:00:00+01:00;282487
2019-03-14T12:00:00+01:00;1271398
2019-03-14T13:00:00+01:00;684851
2019-03-14T14:00:00+01:00;590387
2019-03-14T15:00:00+01:00;1622835
2019-03-14T16:00:00+01:00;2645367
2019-03-14T17:00:00+01:00;8097280
2019-03-14T18:00:00+01:00;833092
2019-03-14T19:00:00+01:00;2105668
2019-03-14T20:00:00+01:00;2772343
2019-03-14T21:00:00+01:00;926532
2019-03-14T22:00:00+01:00;7306905
2019-03-14T23:00:00+01:00;121344
2019-03-15T00:00:00+01:00;673348
2019-03-15T01:00:00+01:00;1650432
2019-03-15T02:00:00+01:00;32716
2019-03-15T03:00:00+01:00;36266
2019-03-15T04:00:00+01:00;31146
2019-03-15T05:00:00+01:00;39901
2019-03-15T06:00:00+01:00;37768
2019-03-15T07:00:00+01:00;1029410
2019-03-15T08:00:00+01:00;3711692
2019-03-15T09:00:00+01:00;1295428
2019-03-15T10:00:00+01:00;2795417
2019-03-15T11:00:00+01:00;1519325
2019-03-15T12:00:00+01:00;213179
2019-03-15T13:00:00+01:00;2192145
2019-03-15T14:00:00+01:00;4027101
2019-03-15T15:00:00+01:00;1433992
2019-03-15T16:00:00+01:00;1245866
2019-03-15T17:00:00+01:00;236578
2019-03-15T18:00:00+01:00;327355
2019-03-15T19:00:00+01:00;431360
2019-03-15T20:00:00+01:00;252279
2019-03-15T21:00:00+01:00;3836535
2019-03-15T22:00:00+01:00;375808
2019-03-15T23:00:00+01:00;375842
2019-03-16T00:00:00+01:00;112059
2019-03-16T01:00:00+01:00;64017
2019-03-16T02:00:00+01:00;32614
2019-03-16T03:00:00+01:00;11829981
2019-03-16T04:00:00+01:00;5876206
2019-03-16T05:00:00+01:00;12163072
2019-03-16T06:00:00+01:00;3903692
2019-03-16T07:00:00+01:00;8072260
2019-03-16T08:00:00+01:00;4142370
2019-03-16T09:00:00+01:00;8302404
2019-03-16T10:00:00+01:00;6694929
2019-03-16T11:00:00+01:00;2949819
2019-03-16T12:00:00+01:00;8971502
2019-03-16T13:00:00+01:00;4070400
2019-03-16T14:00:00+01:00;8179541
2019-03-16T15:00:00+01:00;16206813
2019-03-16T16:00:00+01:00;9599624
2019-03-16T17:00:00+01:00;5232640
2019-03-16T18:00:00+01:00;15441169
2019-03-16T19:00:00+01:00;10632174
2019-03-16T20:00:00+01:00;111991
2019-03-16T21:00:00+01:00;117504
2019-03-16T22:00:00+01:00;1062024
2019-03-16T23:00:00+01:00;111718
2019-03-17T00:00:00+01:00;51763
2019-03-17T01:00:00+01:00;135714
2019-03-17T02:00:00+01:00;57685
2019-03-17T03:00:00+01:00;25190
2019-03-17T04:00:00+01:00;23347
2019-03-17T05:00:00+01:00;53828
2019-03-17T06:00:00+01:00;22033
2019-03-17T07:00:00+01:00;67106
2019-03-17T08:00:00+01:00;75656
2019-03-17T09:00:00+01:00;1690743
2019-03-17T10:00:00+01:00;507648
2019-03-17T11:00:00+01:00;1037073
2019-03-17T12:00:00+01:00;769740
2019-03-17T13:00:00+01:00;1302715
2019-03-17T14:00:00+01:00;985565
2019-03-17T15:00:00+01:00;651963
2019-03-17T16:00:00+01:00;867003
2019-03-17T17:00:00+01:00;2113706
2019-03-17T18:00:00+01:00;2236296
2019-03-17T19:00:00+01:00;567381
2019-03-17T20:00:00+01:00;484659
2019-03-17T21:00:00+01:00;1039701
2019-03-17T22:00:00+01:00;451925
2019-03-17T23:00:00+01:00;4718762
2019-03-18T00:00:00+01:00;976503
2019-03-18T01:00:00+01:00;51592
2019-03-18T02:00:00+01:00;31931
2019-03-18T03:00:00+01:00;55910
2019-03-18T04:00:00+01:00;25565
2019-03-18T05:00:00+01:00;23961
2019-03-18T06:00:00+01:00;28518
2019-03-18T07:00:00+01:00;146295
2019-03-18T08:00:00+01:00;2290636
2019-03-18T09:00:00+01:00;517051
2019-03-18T10:00:00+01:00;801177
2019-03-18T11:00:00+01:00;362222
2019-03-18T12:00:00+01:00;434824
2019-03-18T13:00:00+01:00;6933964
2019-03-18T14:00:00+01:00;1485414
2019-03-18T15:00:00+01:00;834594
2019-03-18T16:00:00+01:00;502596
2019-03-18T17:00:00+01:00;2145604
2019-03-18T18:00:00+01:00;517189
2019-03-18T19:00:00+01:00;508006
2019-03-18T20:00:00+01:00;972032
2019-03-18T21:00:00+01:00;1751995
2019-03-18T22:00:00+01:00;625800
2019-03-18T23:00:00+01:00;503057
2019-03-19T00:00:00+01:00;357068
2019-03-19T01:00:00+01:00;621141
2019-03-19T02:00:00+01:00;46353
2019-03-19T03:00:00+01:00;69512
2019-03-19T04:00:00+01:00;24388
2019-03-19T05:00:00+01:00;50517
2019-03-19T06:00:00+01:00;41147
2019-03-19T07:00:00+01:00;175650
2019-03-19T08:00:00+01:00;583304
2019-03-19T09:00:00+01:00;515089
2019-03-19T10:00:00+01:00;1518848
2019-03-19T11:00:00+01:00;901580
2019-03-19T12:00:00+01:00;6935210
2019-03-19T13:00:00+01:00;1905203
2019-03-19T14:00:00+01:00;1680520
2019-03-19T15:00:00+01:00;1158775
2019-03-19T16:00:00+01:00;502954
2019-03-19T17:00:00+01:00;2385254
2019-03-19T18:00:00+01:00;1020535
2019-03-19T19:00:00+01:00;1448891
2019-03-19T20:00:00+01:00;2319991
2019-03-19T21:00:00+01:00;597401
2019-03-19T22:00:00+01:00;625954
2019-03-19T23:00:00+01:00;459963
2019-03-20T00:00:00+01:00;282060
2019-03-20T01:00:00+01:00;58316
2019-03-20T02:00:00+01:00;31061
2019-03-20T03:00:00+01:00;37324
2019-03-20T04:00:00+01:00;23739
2019-03-20T05:00:00+01:00;27323
2019-03-20T06:00:00+01:00;59852
2019-03-20T07:00:00+01:00;172049
2019-03-20T08:00:00+01:00;816691
2019-03-20T09:00:00+01:00;1806421
2019-03-20T10:00:00+01:00;1924539
2019-03-20T11:00:00+01:00;768238
2019-03-20T12:00:00+01:00;2046907
2019-03-20T13:00:00+01:00;794743
2019-03-20T14:00:00+01:00;957593
2019-03-20T15:00:00+01:00;674457
2019-03-20T16:00:00+01:00;681932
2019-03-20T17:00:00+01:00;1257130
2019-03-20T18:00:00+01:00;465624
2019-03-20T19:00:00+01:00;344029
2019-03-20T20:00:00+01:00;3319415
2019-03-20T21:00:00+01:00;1046818
2019-03-20T22:00:00+01:00;318771
2019-03-20T23:00:00+01:00;1110988
2019-03-21T00:00:00+01:00;66338
2019-03-21T01:00:00+01:00;37819
2019-03-21T02:00:00+01:00;29934
2019-03-21T03:00:00+01:00;24388
2019-03-21T04:00:00+01:00;30788
2019-03-21T05:00:00+01:00;60108
2019-03-21T06:00:00+01:00;58368
2019-03-21T07:00:00+01:00;109670
2019-03-21T08:00:00+01:00;722278
