Time;Host memory usage
2019-03-01T00:00:00+01:00;17172529152
2019-03-01T01:00:00+01:00;17172599057
2019-03-01T02:00:00+01:00;17172529152
2019-03-01T03:00:00+01:00;17172529152
2019-03-01T04:00:00+01:00;17172529152
2019-03-01T05:00:00+01:00;17172564104
2019-03-01T06:00:00+01:00;17173647633
2019-03-01T07:00:00+01:00;17174888448
2019-03-01T08:00:00+01:00;17175133115
2019-03-01T09:00:00+01:00;17175168068
2019-03-01T10:00:00+01:00;17175010781
2019-03-01T11:00:00+01:00;17174748637
2019-03-01T12:00:00+01:00;17172703914
2019-03-01T13:00:00+01:00;17172389341
2019-03-01T14:00:00+01:00;17172476723
2019-03-01T15:00:00+01:00;17172441770
2019-03-01T16:00:00+01:00;17172441770
2019-03-01T17:00:00+01:00;17172424294
2019-03-01T18:00:00+01:00;17172529152
2019-03-01T19:00:00+01:00;17172529152
2019-03-01T20:00:00+01:00;17172529152
2019-03-01T21:00:00+01:00;17170921335
2019-03-01T22:00:00+01:00;17172249531
2019-03-01T23:00:00+01:00;17172476723
2019-03-02T00:00:00+01:00;17172529152
2019-03-02T01:00:00+01:00;17172529152
2019-03-02T02:00:00+01:00;17172336913
2019-03-02T03:00:00+01:00;17172564104
2019-03-02T04:00:00+01:00;17172721390
2019-03-02T05:00:00+01:00;17172301960
2019-03-02T06:00:00+01:00;17173962205
2019-03-02T07:00:00+01:00;17174486493
2019-03-02T08:00:00+01:00;17174364160
2019-03-02T09:00:00+01:00;17175657403
2019-03-02T10:00:00+01:00;17175517593
2019-03-02T11:00:00+01:00;17175604974
2019-03-02T12:00:00+01:00;17175639927
2019-03-02T13:00:00+01:00;17175604974
2019-03-02T14:00:00+01:00;17176041881
2019-03-02T15:00:00+01:00;17174975829
2019-03-02T16:00:00+01:00;17174014634
2019-03-02T17:00:00+01:00;17173280631
2019-03-02T18:00:00+01:00;17173595204
2019-03-02T19:00:00+01:00;17173630156
2019-03-02T20:00:00+01:00;17173700061
2019-03-02T21:00:00+01:00;17174259302
2019-03-02T22:00:00+01:00;17173804919
2019-03-02T23:00:00+01:00;17173839872
2019-03-03T00:00:00+01:00;17172616533
2019-03-03T01:00:00+01:00;17172581580
2019-03-03T02:00:00+01:00;17172529152
2019-03-03T03:00:00+01:00;17170781525
2019-03-03T04:00:00+01:00;17170886382
