Time;Guest memory usage
2019-03-06T10:00:00+01:00;1073287441
2019-03-06T11:00:00+01:00;1325260253
2019-03-06T12:00:00+01:00;867172352
2019-03-06T13:00:00+01:00;872939520
2019-03-06T14:00:00+01:00;1073304917
2019-03-06T15:00:00+01:00;990275174
2019-03-06T16:00:00+01:00;918657433
2019-03-06T17:00:00+01:00;829930427
2019-03-06T18:00:00+01:00;927360614
2019-03-06T19:00:00+01:00;1603080465
2019-03-06T20:00:00+01:00;1207802265
2019-03-06T21:00:00+01:00;1187791940
2019-03-06T22:00:00+01:00;870055936
2019-03-06T23:00:00+01:00;675247991
2019-03-07T00:00:00+01:00;649470498
2019-03-07T01:00:00+01:00;534896093
2019-03-07T02:00:00+01:00;448912861
2019-03-07T03:00:00+01:00;340018244
2019-03-07T04:00:00+01:00;454627601
2019-03-07T05:00:00+01:00;411670937
2019-03-07T06:00:00+01:00;400206506
2019-03-07T07:00:00+01:00;620896802
2019-03-07T08:00:00+01:00;738372266
2019-03-07T09:00:00+01:00;640942080
2019-03-07T10:00:00+01:00;778445346
2019-03-07T11:00:00+01:00;1070561143
2019-03-07T12:00:00+01:00;746848256
2019-03-07T13:00:00+01:00;1093297766
2019-03-07T14:00:00+01:00;1079037132
2019-03-07T15:00:00+01:00;1101861137
2019-03-07T16:00:00+01:00;1585831389
2019-03-07T17:00:00+01:00;1187722035
2019-03-07T18:00:00+01:00;1333876053
2019-03-07T19:00:00+01:00;1193594060
2019-03-07T20:00:00+01:00;1090466611
2019-03-07T21:00:00+01:00;1156387089
2019-03-07T22:00:00+01:00;1016070144
2019-03-07T23:00:00+01:00;775474380
2019-03-08T00:00:00+01:00;460377292
2019-03-08T01:00:00+01:00;775421952
2019-03-08T02:00:00+01:00;491921954
2019-03-08T03:00:00+01:00;500520277
2019-03-08T04:00:00+01:00;477591415
2019-03-08T05:00:00+01:00;414537045
2019-03-08T06:00:00+01:00;589264759
2019-03-08T07:00:00+01:00;895693619
2019-03-08T08:00:00+01:00;1262293265
2019-03-08T09:00:00+01:00;1070508714
2019-03-08T10:00:00+01:00;973148433
2019-03-08T11:00:00+01:00;1053312068
2019-03-08T12:00:00+01:00;858521600
2019-03-08T13:00:00+01:00;1348189115
2019-03-08T14:00:00+01:00;1299412855
2019-03-08T15:00:00+01:00;752650376
2019-03-08T16:00:00+01:00;895781000
2019-03-08T17:00:00+01:00;741238374
2019-03-08T18:00:00+01:00;563574647
2019-03-08T19:00:00+01:00;712559820
2019-03-08T20:00:00+01:00;698124424
2019-03-08T21:00:00+01:00;735401301
2019-03-08T22:00:00+01:00;574934220
2019-03-08T23:00:00+01:00;652389034
2019-03-09T00:00:00+01:00;526315246
2019-03-09T01:00:00+01:00;509118600
