Time;Number of packets transmitted on interface Network adapter 1
2019-03-07T15:00:00+01:00;12747
2019-03-07T16:00:00+01:00;15560
2019-03-07T17:00:00+01:00;12943
2019-03-07T18:00:00+01:00;8595
2019-03-07T19:00:00+01:00;10269
2019-03-07T20:00:00+01:00;10109
2019-03-07T21:00:00+01:00;9396
2019-03-07T22:00:00+01:00;5653
2019-03-07T23:00:00+01:00;3524
2019-03-08T00:00:00+01:00;3263
2019-03-08T01:00:00+01:00;3658
2019-03-08T02:00:00+01:00;2088
2019-03-08T03:00:00+01:00;2617
2019-03-08T04:00:00+01:00;2224
2019-03-08T05:00:00+01:00;3623
2019-03-08T06:00:00+01:00;3171
2019-03-08T07:00:00+01:00;4399
2019-03-08T08:00:00+01:00;12338
2019-03-08T09:00:00+01:00;8841
2019-03-08T10:00:00+01:00;10370
2019-03-08T11:00:00+01:00;10862
2019-03-08T12:00:00+01:00;9699
2019-03-08T13:00:00+01:00;12442
2019-03-08T14:00:00+01:00;16909
2019-03-08T15:00:00+01:00;9018
2019-03-08T16:00:00+01:00;9949
2019-03-08T17:00:00+01:00;4370
2019-03-08T18:00:00+01:00;5829
2019-03-08T19:00:00+01:00;4500
2019-03-08T20:00:00+01:00;4741
2019-03-08T21:00:00+01:00;5232
2019-03-08T22:00:00+01:00;3803
2019-03-08T23:00:00+01:00;4129
2019-03-09T00:00:00+01:00;2593
2019-03-09T01:00:00+01:00;1175
2019-03-09T02:00:00+01:00;2691
2019-03-09T03:00:00+01:00;47242
2019-03-09T04:00:00+01:00;56481
2019-03-09T05:00:00+01:00;53779
2019-03-09T06:00:00+01:00;41346
2019-03-09T07:00:00+01:00;36368
2019-03-09T08:00:00+01:00;38455
2019-03-09T09:00:00+01:00;31813
2019-03-09T10:00:00+01:00;46980
2019-03-09T11:00:00+01:00;47402
2019-03-09T12:00:00+01:00;59537
2019-03-09T13:00:00+01:00;38884
2019-03-09T14:00:00+01:00;46503
2019-03-09T15:00:00+01:00;10742
2019-03-09T16:00:00+01:00;10791
2019-03-09T17:00:00+01:00;11895
2019-03-09T18:00:00+01:00;10238
2019-03-09T19:00:00+01:00;5828
2019-03-09T20:00:00+01:00;5705
2019-03-09T21:00:00+01:00;4662
2019-03-09T22:00:00+01:00;4156
2019-03-09T23:00:00+01:00;4338
2019-03-10T00:00:00+01:00;2407
2019-03-10T01:00:00+01:00;3409
2019-03-10T02:00:00+01:00;3750
2019-03-10T03:00:00+01:00;2297
2019-03-10T04:00:00+01:00;1740
2019-03-10T05:00:00+01:00;2836
2019-03-10T06:00:00+01:00;2181
2019-03-10T07:00:00+01:00;1821
2019-03-10T08:00:00+01:00;2235
2019-03-10T09:00:00+01:00;4253
2019-03-10T10:00:00+01:00;9255
2019-03-10T11:00:00+01:00;9649
2019-03-10T12:00:00+01:00;10764
2019-03-10T13:00:00+01:00;7894
2019-03-10T14:00:00+01:00;16687
2019-03-10T15:00:00+01:00;15535
2019-03-10T16:00:00+01:00;17718
2019-03-10T17:00:00+01:00;21438
2019-03-10T18:00:00+01:00;11671
2019-03-10T19:00:00+01:00;12870
2019-03-10T20:00:00+01:00;16923
2019-03-10T21:00:00+01:00;18805
2019-03-10T22:00:00+01:00;14349
