Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-30T00:00:00+02:00;234500000;12632195072;65536;99328;1
2019-08-30T00:02:00+02:00;288000000;12643729408;62464;194560;1
2019-08-30T00:04:00+02:00;141500000;12626952192;70144;98816;1
2019-08-30T00:06:00+02:00;238000000;12632719360;64000;2560;1
2019-08-30T00:08:00+02:00;268000000;12630622208;64000;2560;1
2019-08-30T00:10:00+02:00;352500000;12632719360;67072;3072;1
2019-08-30T00:12:00+02:00;1611000000;12628000768;63488;2048;1
2019-08-30T00:14:00+02:00;304500000;12629049344;64512;2560;1
2019-08-30T00:16:00+02:00;439000000;12631146496;64512;2048;1
2019-08-30T00:18:00+02:00;403000000;12630097920;64512;98304;1
2019-08-30T00:20:00+02:00;362000000;12629049344;67072;98816;1
2019-08-30T00:22:00+02:00;338500000;12629049344;58368;2048;1
2019-08-30T00:24:00+02:00;340000000;12629573632;66048;98816;1
2019-08-30T00:26:00+02:00;210000000;12635865088;65024;98304;1
2019-08-30T00:28:00+02:00;245000000;12629049344;64000;2048;1
2019-08-30T00:30:00+02:00;227500000;12631670784;68608;2560;1
2019-08-30T00:32:00+02:00;279000000;12629573632;70656;120832;1
2019-08-30T00:34:00+02:00;245500000;12636389376;62976;61440;1
2019-08-30T00:36:00+02:00;172500000;12632195072;65536;54272;1
2019-08-30T00:38:00+02:00;164000000;12632195072;66048;53760;1
2019-08-30T00:40:00+02:00;265000000;12634292224;67584;40448;1
2019-08-30T00:42:00+02:00;242000000;12634292224;69120;98304;1
2019-08-30T00:44:00+02:00;151500000;12631670784;65536;39424;1
2019-08-30T00:46:00+02:00;375500000;12636913664;69632;2560;1
2019-08-30T00:48:00+02:00;365500000;12635865088;67584;2048;1
2019-08-30T00:50:00+02:00;273500000;12634816512;68608;98304;1
2019-08-30T00:52:00+02:00;310000000;12632719360;69632;98304;1
2019-08-30T00:54:00+02:00;437500000;12635340800;67584;98304;1
2019-08-30T00:56:00+02:00;359000000;12641632256;66048;3072;1
2019-08-30T00:58:00+02:00;336000000;12634816512;70656;194560;1
2019-08-30T01:00:00+02:00;291000000;12637437952;70656;98816;1
2019-08-30T01:02:00+02:00;490000000;12649496576;69120;2048;1
2019-08-30T01:04:00+02:00;241000000;12636389376;78848;2048;1
2019-08-30T01:06:00+02:00;239500000;12641107968;69120;2560;1
2019-08-30T01:08:00+02:00;282000000;12637962240;67584;3072;1
2019-08-30T01:10:00+02:00;298000000;12637437952;71680;98816;1
2019-08-30T01:12:00+02:00;238500000;12637962240;72704;36352;1
2019-08-30T01:14:00+02:00;225000000;12637437952;67072;63488;1
2019-08-30T01:16:00+02:00;209000000;12643205120;79360;40448;1
2019-08-30T01:18:00+02:00;368000000;12638486528;64512;2048;1
2019-08-30T01:20:00+02:00;359000000;12641632256;67584;2560;1
2019-08-30T01:22:00+02:00;393000000;12642156544;67584;2560;1
2019-08-30T01:24:00+02:00;333500000;12639535104;63488;2560;1
2019-08-30T01:26:00+02:00;459500000;12645302272;71680;3072;1
2019-08-30T01:28:00+02:00;376000000;12643729408;71680;194560;1
2019-08-30T01:30:00+02:00;238500000;12643205120;69632;98304;1
2019-08-30T01:32:00+02:00;187500000;12643205120;70656;98816;1
2019-08-30T01:34:00+02:00;268000000;12645302272;60416;2048;1
2019-08-30T01:36:00+02:00;223500000;12651069440;66560;3072;1
2019-08-30T01:38:00+02:00;276000000;12647923712;67072;98304;1
2019-08-30T01:40:00+02:00;156000000;12650545152;70656;54272;1
2019-08-30T01:42:00+02:00;314000000;12644777984;70144;98816;1
2019-08-30T01:44:00+02:00;206000000;12645302272;66560;3072;1
2019-08-30T01:46:00+02:00;226500000;12650545152;63488;4096;1
2019-08-30T01:48:00+02:00;314000000;12645826560;64000;99840;1
2019-08-30T01:50:00+02:00;197000000;12647399424;66560;2048;1
2019-08-30T01:52:00+02:00;315000000;12648972288;67584;3584;1
2019-08-30T01:54:00+02:00;334500000;12645826560;63488;3072;1
2019-08-30T01:56:00+02:00;301500000;12655263744;67072;2560;1
2019-08-30T01:58:00+02:00;368000000;12651069440;67584;3584;1
2019-08-30T02:00:00+02:00;390500000;12654215168;81920;3072;1
2019-08-30T02:02:00+02:00;357000000;12665749504;65024;65024;1
2019-08-30T02:04:00+02:00;143000000;12647923712;65536;39936;1
2019-08-30T02:06:00+02:00;191500000;12658933760;65536;39936;1
2019-08-30T02:08:00+02:00;135000000;12649496576;69632;99328;1
2019-08-30T02:10:00+02:00;256000000;12653166592;61440;2048;1
2019-08-30T02:12:00+02:00;244000000;12650545152;69120;99328;1
2019-08-30T02:14:00+02:00;130500000;12652118016;67072;98816;1
2019-08-30T02:16:00+02:00;356000000;12664700928;66560;2048;1
2019-08-30T02:18:00+02:00;226500000;12653166592;73216;2560;1
2019-08-30T02:20:00+02:00;156000000;12656836608;68096;36352;1
2019-08-30T02:22:00+02:00;330000000;12655263744;73728;2560;1
2019-08-30T02:24:00+02:00;287500000;12656836608;65536;2560;1
2019-08-30T02:26:00+02:00;335500000;12661555200;66560;194560;1
2019-08-30T02:28:00+02:00;303500000;12658409472;73728;98816;1
2019-08-30T02:30:00+02:00;255000000;12661030912;72704;98816;1
2019-08-30T02:32:00+02:00;303000000;12661030912;70656;98304;1
2019-08-30T02:34:00+02:00;205000000;12658933760;68608;99328;1
2019-08-30T02:36:00+02:00;296000000;12673089536;66560;2560;1
2019-08-30T02:38:00+02:00;98500000;12660506624;64512;2560;1
2019-08-30T02:40:00+02:00;130500000;12663652352;71680;97792;1
2019-08-30T02:42:00+02:00;222500000;12665225216;67584;194560;1
2019-08-30T02:44:00+02:00;134000000;12661030912;65536;98304;1
2019-08-30T02:46:00+02:00;142500000;12674662400;71680;39424;1
2019-08-30T02:48:00+02:00;197000000;12668370944;69120;39424;1
2019-08-30T02:50:00+02:00;185500000;12670992384;67072;98816;1
2019-08-30T02:52:00+02:00;132500000;12669419520;67584;153600;1
2019-08-30T02:54:00+02:00;134000000;12670468096;67072;2560;1
2019-08-30T02:56:00+02:00;200000000;12685672448;64512;2560;1
2019-08-30T02:58:00+02:00;169000000;12666798080;66560;98304;1
2019-08-30T03:00:00+02:00;318500000;12664700928;65536;99328;1
2019-08-30T03:02:00+02:00;457000000;12649496576;64512;3072;1
2019-08-30T03:04:00+02:00;338000000;12626427904;69120;98816;1
2019-08-30T03:06:00+02:00;270000000;12625379328;68096;98816;1
2019-08-30T03:08:00+02:00;351500000;12625379328;64512;98304;1
2019-08-30T03:10:00+02:00;237000000;12626427904;69120;3072;1
2019-08-30T03:12:00+02:00;182500000;12626952192;67584;3072;1
2019-08-30T03:14:00+02:00;164000000;12624855040;65024;3072;1
2019-08-30T03:16:00+02:00;247000000;12628525056;66560;51200;1
2019-08-30T03:18:00+02:00;84500000;12624855040;61440;50688;1
2019-08-30T03:20:00+02:00;243500000;12626952192;68608;3072;1
2019-08-30T03:22:00+02:00;225000000;12625903616;63488;2048;1
2019-08-30T03:24:00+02:00;177500000;12626427904;63488;2560;1
2019-08-30T03:26:00+02:00;145000000;12628000768;67072;98816;1
2019-08-30T03:28:00+02:00;113000000;12625903616;64000;2048;1
2019-08-30T03:30:00+02:00;154500000;12628000768;71680;64512;1
2019-08-30T03:32:00+02:00;145500000;12625903616;65536;39424;1
2019-08-30T03:34:00+02:00;282000000;12625903616;65536;40448;1
2019-08-30T03:36:00+02:00;236000000;12626427904;69120;98816;1
2019-08-30T03:38:00+02:00;305500000;12629049344;61440;2048;1
2019-08-30T03:40:00+02:00;260000000;12627476480;61440;3072;1
2019-08-30T03:42:00+02:00;371000000;12625903616;64512;2048;1
2019-08-30T03:44:00+02:00;286500000;12627476480;62976;2048;1
2019-08-30T03:46:00+02:00;231500000;12624855040;79360;99328;1
2019-08-30T03:48:00+02:00;284000000;12625379328;64512;194560;1
2019-08-30T03:50:00+02:00;166500000;12625903616;62976;37888;1
2019-08-30T03:52:00+02:00;259500000;12625903616;65024;2048;1
2019-08-30T03:54:00+02:00;115000000;12625903616;64000;2048;1
2019-08-30T03:56:00+02:00;215000000;12627476480;63488;2560;1
2019-08-30T03:58:00+02:00;94000000;12623806464;70656;2048;1
2019-08-30T04:00:00+02:00;232500000;12629573632;71168;98816;1
2019-08-30T04:02:00+02:00;131000000;12636913664;67584;98304;1
2019-08-30T04:04:00+02:00;180000000;12623806464;71168;98304;1
2019-08-30T04:06:00+02:00;146500000;12625903616;68096;98816;1
2019-08-30T04:08:00+02:00;330500000;12625379328;62464;2048;1
2019-08-30T04:10:00+02:00;249000000;12626952192;65024;36864;1
2019-08-30T04:12:00+02:00;328500000;12627476480;63488;98816;1
2019-08-30T04:14:00+02:00;317500000;12626952192;67072;57344;1
2019-08-30T04:16:00+02:00;251000000;12627476480;68096;98816;1
2019-08-30T04:18:00+02:00;187000000;12624855040;64512;2048;1
2019-08-30T04:20:00+02:00;80500000;12626952192;68096;2560;1
2019-08-30T04:22:00+02:00;297000000;12625379328;60416;2048;1
2019-08-30T04:24:00+02:00;174000000;12627476480;62976;2560;1
2019-08-30T04:26:00+02:00;210500000;12623806464;70656;64000;1
