Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-31T00:00:00+02:00;292000000;12642680832;71680;57856;1
2019-08-31T00:02:00+02:00;260000000;12653690880;72704;195584;1
2019-08-31T00:04:00+02:00;176500000;12640583680;63488;3072;1
2019-08-31T00:06:00+02:00;123000000;12641107968;104448;100352;1
2019-08-31T00:08:00+02:00;862000000;12641632256;108544;100352;1
2019-08-31T00:10:00+02:00;116500000;12644777984;134144;2560;1
2019-08-31T00:12:00+02:00;1659000000;12642680832;66560;3072;1
2019-08-31T00:14:00+02:00;83500000;12643205120;64000;3072;1
2019-08-31T00:16:00+02:00;315000000;12642680832;62976;2560;1
2019-08-31T00:18:00+02:00;317500000;12643729408;70144;98816;1
2019-08-31T00:20:00+02:00;271000000;12643729408;64000;98816;1
2019-08-31T00:22:00+02:00;190500000;12642156544;67072;2048;1
2019-08-31T00:24:00+02:00;315500000;12645302272;62464;3072;1
2019-08-31T00:26:00+02:00;263000000;12643205120;62464;194560;1
2019-08-31T00:28:00+02:00;85000000;12643205120;68096;98816;1
2019-08-31T00:30:00+02:00;134000000;12642156544;65024;98816;1
2019-08-31T00:32:00+02:00;146500000;12641107968;67072;98816;1
2019-08-31T00:34:00+02:00;236500000;12641632256;68608;98304;1
2019-08-31T00:36:00+02:00;222000000;12641632256;60416;75776;1
2019-08-31T00:38:00+02:00;275000000;12642680832;65536;39424;1
2019-08-31T00:40:00+02:00;207500000;12641632256;66560;51200;1
2019-08-31T00:42:00+02:00;240000000;12641632256;65024;51712;1
2019-08-31T00:44:00+02:00;219000000;12641632256;71168;99328;1
2019-08-31T00:46:00+02:00;122500000;12642680832;60416;2048;1
2019-08-31T00:48:00+02:00;219000000;12644253696;65536;2560;1
2019-08-31T00:50:00+02:00;310000000;12642680832;67584;98304;1
2019-08-31T00:52:00+02:00;222500000;12645302272;67072;98304;1
2019-08-31T00:54:00+02:00;223000000;12642156544;64512;98816;1
2019-08-31T00:56:00+02:00;217500000;12640583680;64512;3072;1
2019-08-31T00:58:00+02:00;189500000;12643205120;63488;3072;1
2019-08-31T01:00:00+02:00;217000000;12643729408;70144;2560;1
2019-08-31T01:02:00+02:00;236000000;12656312320;70656;98816;1
2019-08-31T01:04:00+02:00;169500000;12643205120;78336;99328;1
2019-08-31T01:06:00+02:00;150000000;12641632256;74752;3072;1
2019-08-31T01:08:00+02:00;106000000;12642680832;65024;51200;1
2019-08-31T01:10:00+02:00;244000000;12643205120;67584;2560;1
2019-08-31T01:12:00+02:00;268000000;12644253696;70144;98816;1
2019-08-31T01:14:00+02:00;142000000;12640583680;66560;98816;1
2019-08-31T01:16:00+02:00;311000000;12645826560;73728;2048;1
2019-08-31T01:18:00+02:00;304500000;12643729408;66048;3072;1
2019-08-31T01:20:00+02:00;141000000;12642156544;64000;3072;1
2019-08-31T01:22:00+02:00;338000000;12643729408;63488;3072;1
2019-08-31T01:24:00+02:00;342000000;12641632256;61952;2560;1
2019-08-31T01:26:00+02:00;291000000;12643205120;72704;194560;1
2019-08-31T01:28:00+02:00;190000000;12644253696;66048;43520;1
2019-08-31T01:30:00+02:00;280500000;12640583680;65536;98304;1
