Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-29T00:00:00+02:00;81000000;12655788032;69632;3072;1
2019-08-29T00:02:00+02:00;164500000;12655788032;64000;93184;1
2019-08-29T00:04:00+02:00;225000000;12656836608;65024;93184;1
2019-08-29T00:06:00+02:00;321000000;12656312320;62976;2560;1
2019-08-29T00:08:00+02:00;229000000;12656312320;72704;3072;1
2019-08-29T00:10:00+02:00;185500000;12655788032;70144;98816;1
2019-08-29T00:12:00+02:00;270500000;12657360896;65536;98304;1
2019-08-29T00:14:00+02:00;139000000;12655788032;64000;2048;1
2019-08-29T00:16:00+02:00;141500000;12655788032;65536;65024;1
2019-08-29T00:18:00+02:00;202500000;12657360896;63488;2560;1
2019-08-29T00:20:00+02:00;177500000;12655788032;63488;2560;1
2019-08-29T00:22:00+02:00;176000000;12656836608;66560;98816;1
2019-08-29T00:24:00+02:00;172500000;12655263744;72704;194560;1
2019-08-29T00:26:00+02:00;170000000;12655263744;64512;3072;1
2019-08-29T00:28:00+02:00;144000000;12656836608;64000;96768;1
2019-08-29T00:30:00+02:00;206500000;12655263744;65536;96768;1
2019-08-29T00:32:00+02:00;146500000;12655788032;61440;2560;1
2019-08-29T00:34:00+02:00;159500000;12656836608;62464;3072;1
2019-08-29T00:36:00+02:00;351000000;12656312320;70656;99328;1
2019-08-29T00:38:00+02:00;254500000;12655263744;61952;2560;1
2019-08-29T00:40:00+02:00;254000000;12655788032;76800;98816;1
2019-08-29T00:42:00+02:00;218500000;12655263744;67072;99328;1
2019-08-29T00:44:00+02:00;251000000;12656312320;63488;2048;1
2019-08-29T00:46:00+02:00;148000000;12656836608;69632;4096;1
2019-08-29T00:48:00+02:00;114500000;12656312320;67072;2048;1
2019-08-29T00:50:00+02:00;212500000;12656836608;67584;2560;1
2019-08-29T00:52:00+02:00;140000000;12656312320;68608;3072;1
2019-08-29T00:54:00+02:00;173000000;12656312320;67584;2048;1
2019-08-29T00:56:00+02:00;174000000;12656312320;74240;99328;1
2019-08-29T00:58:00+02:00;177000000;12657360896;68608;2048;1
2019-08-29T01:00:00+02:00;209000000;12656836608;80384;2560;1
2019-08-29T01:02:00+02:00;175500000;12657885184;67072;2560;1
2019-08-29T01:04:00+02:00;252500000;12656312320;77824;3072;1
2019-08-29T01:06:00+02:00;364000000;12657885184;77824;3072;1
2019-08-29T01:08:00+02:00;222000000;12658409472;68608;2560;1
2019-08-29T01:10:00+02:00;252500000;12656836608;68096;2560;1
2019-08-29T01:12:00+02:00;316000000;12661030912;74240;3072;1
2019-08-29T01:14:00+02:00;258500000;12657885184;74752;2560;1
2019-08-29T01:16:00+02:00;154500000;12658933760;63488;3072;1
2019-08-29T01:18:00+02:00;118000000;12659458048;61440;2048;1
2019-08-29T01:20:00+02:00;110000000;12657360896;67584;2560;1
2019-08-29T01:22:00+02:00;118500000;12659982336;68096;3072;1
2019-08-29T01:24:00+02:00;114500000;12658409472;66560;2560;1
2019-08-29T01:26:00+02:00;230500000;12662603776;65536;2560;1
2019-08-29T01:28:00+02:00;114500000;12658409472;67584;3072;1
2019-08-29T01:30:00+02:00;149500000;12658409472;72704;2560;1
2019-08-29T01:32:00+02:00;178500000;12661030912;67584;2560;1
2019-08-29T01:34:00+02:00;172500000;12658933760;66048;2048;1
2019-08-29T01:36:00+02:00;279500000;12659982336;67072;98816;1
2019-08-29T01:38:00+02:00;313500000;12661555200;66560;2048;1
2019-08-29T01:40:00+02:00;278000000;12659458048;62464;2560;1
2019-08-29T01:42:00+02:00;411000000;12664176640;65536;98304;1
2019-08-29T01:44:00+02:00;291500000;12661030912;60928;2048;1
2019-08-29T01:46:00+02:00;126500000;12659982336;69632;3072;1
2019-08-29T01:48:00+02:00;216500000;12662603776;66560;194560;1
2019-08-29T01:50:00+02:00;119000000;12659458048;66048;99328;1
2019-08-29T01:52:00+02:00;126000000;12665749504;65024;3072;1
2019-08-29T01:54:00+02:00;120500000;12660506624;66048;99328;1
2019-08-29T01:56:00+02:00;140500000;12661555200;71168;98816;1
2019-08-29T01:58:00+02:00;320000000;12664176640;68608;2048;1
2019-08-29T02:00:00+02:00;156000000;12661555200;69632;2560;1
2019-08-29T02:02:00+02:00;156500000;12668370944;71680;98816;1
2019-08-29T02:04:00+02:00;217500000;12665225216;66560;98304;1
2019-08-29T02:06:00+02:00;122000000;12664700928;73728;99328;1
2019-08-29T02:08:00+02:00;257000000;12662603776;69632;98816;1
2019-08-29T02:10:00+02:00;271500000;12664700928;73728;102400;1
2019-08-29T02:12:00+02:00;305500000;12667322368;70656;3072;1
2019-08-29T02:14:00+02:00;332000000;12664700928;60416;2048;1
2019-08-29T02:16:00+02:00;306000000;12664176640;71168;3072;1
2019-08-29T02:18:00+02:00;208500000;12666798080;63488;2048;1
2019-08-29T02:20:00+02:00;298000000;12665749504;68608;2560;1
2019-08-29T02:22:00+02:00;206000000;12670468096;68096;99328;1
2019-08-29T02:24:00+02:00;207000000;12668370944;57344;2048;1
2019-08-29T02:26:00+02:00;239000000;12670992384;62976;3072;1
2019-08-29T02:28:00+02:00;183000000;12669419520;69632;2560;1
2019-08-29T02:30:00+02:00;179000000;12667322368;68608;2560;1
2019-08-29T02:32:00+02:00;146500000;12672565248;64512;2560;1
2019-08-29T02:34:00+02:00;285000000;12669419520;61440;2048;1
2019-08-29T02:36:00+02:00;196000000;12669419520;64512;2560;1
2019-08-29T02:38:00+02:00;165000000;12670992384;65024;3072;1
2019-08-29T02:40:00+02:00;390000000;12670992384;72192;3072;1
2019-08-29T02:42:00+02:00;293000000;12677283840;66048;3584;1
2019-08-29T02:44:00+02:00;298000000;12669943808;60416;3072;1
2019-08-29T02:46:00+02:00;265500000;12668895232;70144;4608;1
2019-08-29T02:48:00+02:00;266000000;12674138112;65024;3584;1
2019-08-29T02:50:00+02:00;214500000;12672565248;69632;3072;1
2019-08-29T02:52:00+02:00;190000000;12677283840;70144;377344;1
2019-08-29T02:54:00+02:00;300000000;12673089536;65024;3072;1
2019-08-29T02:56:00+02:00;350000000;12675710976;73728;3072;1
2019-08-29T02:58:00+02:00;225000000;12674662400;66560;3072;1
2019-08-29T03:00:00+02:00;254000000;12674662400;78848;3072;1
2019-08-29T03:02:00+02:00;353500000;12680953856;66560;3584;1
2019-08-29T03:04:00+02:00;220500000;12675186688;67584;3072;1
2019-08-29T03:06:00+02:00;198000000;12677283840;66048;2560;1
2019-08-29T03:08:00+02:00;202000000;12679905280;68096;3584;1
2019-08-29T03:10:00+02:00;160500000;12677283840;63488;2048;1
2019-08-29T03:12:00+02:00;354000000;12684623872;68608;3584;1
2019-08-29T03:14:00+02:00;268000000;12677808128;69120;4096;1
2019-08-29T03:16:00+02:00;261000000;12679905280;66560;3584;1
2019-08-29T03:18:00+02:00;365000000;12682002432;64000;3584;1
2019-08-29T03:20:00+02:00;262500000;12680429568;80896;3072;1
2019-08-29T03:22:00+02:00;223000000;12687245312;62464;3072;1
2019-08-29T03:24:00+02:00;125000000;12678332416;71168;3072;1
2019-08-29T03:26:00+02:00;154500000;12680429568;64512;3072;1
2019-08-29T03:28:00+02:00;118500000;12682002432;67584;3584;1
2019-08-29T03:30:00+02:00;154500000;12684623872;67584;3072;1
2019-08-29T03:32:00+02:00;183000000;12693012480;64000;2560;1
2019-08-29T03:34:00+02:00;310500000;12682002432;66560;2560;1
2019-08-29T03:36:00+02:00;176000000;12680953856;62976;2048;1
2019-08-29T03:38:00+02:00;217000000;12684099584;66048;99840;1
2019-08-29T03:40:00+02:00;271500000;12683051008;74752;3072;1
2019-08-29T03:42:00+02:00;179000000;12690915328;65024;3584;1
2019-08-29T03:44:00+02:00;219000000;12685148160;66560;2560;1
2019-08-29T03:46:00+02:00;208500000;12687245312;65024;2048;1
2019-08-29T03:48:00+02:00;302500000;12687245312;64000;3072;1
2019-08-29T03:50:00+02:00;203500000;12687245312;65024;98304;1
2019-08-29T03:52:00+02:00;242000000;12698255360;64512;98816;1
2019-08-29T03:54:00+02:00;330500000;12689866752;64512;2560;1
2019-08-29T03:56:00+02:00;145500000;12688293888;77824;2048;1
2019-08-29T03:58:00+02:00;134000000;12693536768;62976;3072;1
2019-08-29T04:00:00+02:00;136000000;12695109632;64512;2560;1
2019-08-29T04:02:00+02:00;104000000;12705595392;64512;2048;1
2019-08-29T04:04:00+02:00;169000000;12697206784;66048;98816;1
2019-08-29T04:06:00+02:00;101500000;12697731072;62464;194560;1
2019-08-29T04:08:00+02:00;130500000;12697206784;68096;2560;1
