Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-27T00:00:00+02:00;608000000;12623806464;1078272;1631232;1
2019-08-27T00:02:00+02:00;682000000;12625379328;1156608;1850880;1
2019-08-27T00:04:00+02:00;732000000;12625379328;1111040;1773056;1
2019-08-27T00:06:00+02:00;571000000;12624855040;1157632;1758720;1
2019-08-27T00:08:00+02:00;612500000;12624330752;1165312;1768448;1
2019-08-27T00:10:00+02:00;600000000;12625903616;1094656;1631232;1
2019-08-27T00:12:00+02:00;436500000;12625379328;1144320;1744384;1
2019-08-27T00:14:00+02:00;478500000;12626952192;1118208;1700864;1
2019-08-27T00:16:00+02:00;476000000;12626427904;1111552;1779712;1
2019-08-27T00:18:00+02:00;486500000;12625903616;1145856;1740800;1
2019-08-27T00:20:00+02:00;437000000;12626427904;1089536;1629184;1
2019-08-27T00:22:00+02:00;482000000;12625903616;1243136;1907200;1
2019-08-27T00:24:00+02:00;468000000;12625903616;1132544;1724928;1
2019-08-27T00:26:00+02:00;548000000;12626427904;1120256;1701376;1
2019-08-27T00:28:00+02:00;579000000;12625903616;1147904;1747968;1
2019-08-27T00:30:00+02:00;454000000;12625903616;1162240;1774592;1
2019-08-27T00:32:00+02:00;519500000;12627476480;1186304;1813504;1
2019-08-27T00:34:00+02:00;750000000;12625903616;1158144;1757696;1
2019-08-27T00:36:00+02:00;682500000;12625903616;1176576;1792000;1
2019-08-27T00:38:00+02:00;705500000;12628000768;1163264;1768960;1
2019-08-27T00:40:00+02:00;645000000;12625903616;1136640;1722368;1
2019-08-27T00:42:00+02:00;554000000;12626952192;1076736;1637888;1
2019-08-27T00:44:00+02:00;517000000;12625903616;1141248;1729536;1
2019-08-27T00:46:00+02:00;497500000;12626952192;1149952;1746432;1
2019-08-27T00:48:00+02:00;554000000;12625903616;1175552;1788416;1
2019-08-27T00:50:00+02:00;467000000;12625903616;1188352;1798656;1
2019-08-27T00:52:00+02:00;448500000;12626427904;1147392;1748992;1
2019-08-27T00:54:00+02:00;542000000;12629573632;1171456;1769984;1
2019-08-27T00:56:00+02:00;497000000;12626427904;1219584;1855488;1
2019-08-27T00:58:00+02:00;479000000;12626427904;1164800;1767936;1
2019-08-27T01:00:00+02:00;502000000;12625903616;1205248;1828864;1
2019-08-27T01:02:00+02:00;486000000;12626427904;1175040;1773568;1
2019-08-27T01:04:00+02:00;548000000;12626427904;1180160;1783808;1
2019-08-27T01:06:00+02:00;592000000;12626952192;1075200;1633280;1
2019-08-27T01:08:00+02:00;482000000;12627476480;995840;1490432;1
2019-08-27T01:10:00+02:00;666000000;12628525056;1052672;1591808;1
2019-08-27T01:12:00+02:00;556000000;12628000768;1086464;1650688;1
2019-08-27T01:14:00+02:00;543500000;12628525056;1137664;1810432;1
2019-08-27T01:16:00+02:00;602500000;12628000768;1112064;1696768;1
2019-08-27T01:18:00+02:00;532000000;12628000768;1179136;1784832;1
