Time;Number of packets received on interface Network adapter 1
2019-03-01T00:00:00+01:00;317
2019-03-01T01:00:00+01:00;545
2019-03-01T02:00:00+01:00;269
2019-03-01T03:00:00+01:00;290
2019-03-01T04:00:00+01:00;328
2019-03-01T05:00:00+01:00;359
2019-03-01T06:00:00+01:00;975
2019-03-01T07:00:00+01:00;674
2019-03-01T08:00:00+01:00;913
2019-03-01T09:00:00+01:00;1117
2019-03-01T10:00:00+01:00;1091
2019-03-01T11:00:00+01:00;1045
2019-03-01T12:00:00+01:00;1405
2019-03-01T13:00:00+01:00;1086
2019-03-01T14:00:00+01:00;1044
2019-03-01T15:00:00+01:00;1001
2019-03-01T16:00:00+01:00;1134
2019-03-01T17:00:00+01:00;1021
2019-03-01T18:00:00+01:00;944
2019-03-01T19:00:00+01:00;600
2019-03-01T20:00:00+01:00;311
2019-03-01T21:00:00+01:00;302
2019-03-01T22:00:00+01:00;437
2019-03-01T23:00:00+01:00;4301
2019-03-02T00:00:00+01:00;287
2019-03-02T01:00:00+01:00;333
2019-03-02T02:00:00+01:00;280
2019-03-02T03:00:00+01:00;273
2019-03-02T04:00:00+01:00;312
2019-03-02T05:00:00+01:00;334
2019-03-02T06:00:00+01:00;343
2019-03-02T07:00:00+01:00;342
2019-03-02T08:00:00+01:00;418
2019-03-02T09:00:00+01:00;365
2019-03-02T10:00:00+01:00;535
2019-03-02T11:00:00+01:00;385
2019-03-02T12:00:00+01:00;356
2019-03-02T13:00:00+01:00;351
2019-03-02T14:00:00+01:00;587
2019-03-02T15:00:00+01:00;467
2019-03-02T16:00:00+01:00;479
2019-03-02T17:00:00+01:00;376
2019-03-02T18:00:00+01:00;398
2019-03-02T19:00:00+01:00;461
2019-03-02T20:00:00+01:00;553
2019-03-02T21:00:00+01:00;441
2019-03-02T22:00:00+01:00;514
2019-03-02T23:00:00+01:00;4655
2019-03-03T00:00:00+01:00;598
2019-03-03T01:00:00+01:00;426
2019-03-03T02:00:00+01:00;454
2019-03-03T03:00:00+01:00;394
2019-03-03T04:00:00+01:00;384
2019-03-03T05:00:00+01:00;322
2019-03-03T06:00:00+01:00;431
2019-03-03T07:00:00+01:00;272
2019-03-03T08:00:00+01:00;343
2019-03-03T09:00:00+01:00;366
2019-03-03T10:00:00+01:00;544
2019-03-03T11:00:00+01:00;470
2019-03-03T12:00:00+01:00;397
2019-03-03T13:00:00+01:00;408
2019-03-03T14:00:00+01:00;615
2019-03-03T15:00:00+01:00;343
2019-03-03T16:00:00+01:00;454
2019-03-03T17:00:00+01:00;351
2019-03-03T18:00:00+01:00;401
2019-03-03T19:00:00+01:00;460
2019-03-03T20:00:00+01:00;535
2019-03-03T21:00:00+01:00;376
2019-03-03T22:00:00+01:00;493
2019-03-03T23:00:00+01:00;4281
2019-03-04T00:00:00+01:00;544
2019-03-04T01:00:00+01:00;343
2019-03-04T02:00:00+01:00;300
2019-03-04T03:00:00+01:00;344
2019-03-04T04:00:00+01:00;393
2019-03-04T05:00:00+01:00;406
2019-03-04T06:00:00+01:00;1335
2019-03-04T07:00:00+01:00;1019
2019-03-04T08:00:00+01:00;914
2019-03-04T09:00:00+01:00;1081
2019-03-04T10:00:00+01:00;1058
2019-03-04T11:00:00+01:00;1183
2019-03-04T12:00:00+01:00;1159
2019-03-04T13:00:00+01:00;883
2019-03-04T14:00:00+01:00;1177
2019-03-04T15:00:00+01:00;1053
2019-03-04T16:00:00+01:00;916
2019-03-04T17:00:00+01:00;972
2019-03-04T18:00:00+01:00;1257
2019-03-04T19:00:00+01:00;613
2019-03-04T20:00:00+01:00;590
2019-03-04T21:00:00+01:00;374
2019-03-04T22:00:00+01:00;351
2019-03-04T23:00:00+01:00;4269
2019-03-05T00:00:00+01:00;405
2019-03-05T01:00:00+01:00;281
2019-03-05T02:00:00+01:00;260
2019-03-05T03:00:00+01:00;456
2019-03-05T04:00:00+01:00;272
2019-03-05T05:00:00+01:00;482
2019-03-05T06:00:00+01:00;919
2019-03-05T07:00:00+01:00;805
2019-03-05T08:00:00+01:00;918
2019-03-05T09:00:00+01:00;1052
2019-03-05T10:00:00+01:00;1247
2019-03-05T11:00:00+01:00;1034
2019-03-05T12:00:00+01:00;1094
2019-03-05T13:00:00+01:00;1003
2019-03-05T14:00:00+01:00;1094
2019-03-05T15:00:00+01:00;914
2019-03-05T16:00:00+01:00;1021
2019-03-05T17:00:00+01:00;868
2019-03-05T18:00:00+01:00;1290
2019-03-05T19:00:00+01:00;781
2019-03-05T20:00:00+01:00;552
2019-03-05T21:00:00+01:00;682
2019-03-05T22:00:00+01:00;583
2019-03-05T23:00:00+01:00;4141
2019-03-06T00:00:00+01:00;475
2019-03-06T01:00:00+01:00;453
2019-03-06T02:00:00+01:00;567
2019-03-06T03:00:00+01:00;471
2019-03-06T04:00:00+01:00;660
2019-03-06T05:00:00+01:00;718
