Time;Number of bytes received on interface Network adapter 1
2019-03-01T00:00:00+01:00;1672
2019-03-01T01:00:00+01:00;2406
2019-03-01T02:00:00+01:00;1160
2019-03-01T03:00:00+01:00;1177
2019-03-01T04:00:00+01:00;1314
2019-03-01T05:00:00+01:00;1365
2019-03-01T06:00:00+01:00;7560
2019-03-01T07:00:00+01:00;5563
2019-03-01T08:00:00+01:00;8669
2019-03-01T09:00:00+01:00;10120
2019-03-01T10:00:00+01:00;11021
2019-03-01T11:00:00+01:00;11366
2019-03-01T12:00:00+01:00;11059
2019-03-01T13:00:00+01:00;9898
2019-03-01T14:00:00+01:00;9557
2019-03-01T15:00:00+01:00;9710
2019-03-01T16:00:00+01:00;9676
2019-03-01T17:00:00+01:00;8516
2019-03-01T18:00:00+01:00;7918
2019-03-01T19:00:00+01:00;4283
2019-03-01T20:00:00+01:00;1962
2019-03-01T21:00:00+01:00;1706
2019-03-01T22:00:00+01:00;2065
2019-03-01T23:00:00+01:00;20992
2019-03-02T00:00:00+01:00;1638
2019-03-02T01:00:00+01:00;1570
2019-03-02T02:00:00+01:00;1297
2019-03-02T03:00:00+01:00;1092
2019-03-02T04:00:00+01:00;1399
2019-03-02T05:00:00+01:00;1501
2019-03-02T06:00:00+01:00;1553
2019-03-02T07:00:00+01:00;1638
2019-03-02T08:00:00+01:00;1826
2019-03-02T09:00:00+01:00;1996
2019-03-02T10:00:00+01:00;2816
2019-03-02T11:00:00+01:00;2099
2019-03-02T12:00:00+01:00;2048
2019-03-02T13:00:00+01:00;1860
2019-03-02T14:00:00+01:00;2850
2019-03-02T15:00:00+01:00;2679
2019-03-02T16:00:00+01:00;2679
2019-03-02T17:00:00+01:00;2218
2019-03-02T18:00:00+01:00;2116
2019-03-02T19:00:00+01:00;2713
2019-03-02T20:00:00+01:00;2713
2019-03-02T21:00:00+01:00;2082
2019-03-02T22:00:00+01:00;2508
2019-03-02T23:00:00+01:00;22869
2019-03-03T00:00:00+01:00;2525
2019-03-03T01:00:00+01:00;1570
2019-03-03T02:00:00+01:00;1723
2019-03-03T03:00:00+01:00;1501
2019-03-03T04:00:00+01:00;1536
2019-03-03T05:00:00+01:00;1331
2019-03-03T06:00:00+01:00;2218
2019-03-03T07:00:00+01:00;1041
2019-03-03T08:00:00+01:00;1501
2019-03-03T09:00:00+01:00;1809
2019-03-03T10:00:00+01:00;2594
2019-03-03T11:00:00+01:00;2611
2019-03-03T12:00:00+01:00;2440
2019-03-03T13:00:00+01:00;2201
2019-03-03T14:00:00+01:00;3225
2019-03-03T15:00:00+01:00;1996
2019-03-03T16:00:00+01:00;2440
2019-03-03T17:00:00+01:00;2116
2019-03-03T18:00:00+01:00;2611
2019-03-03T19:00:00+01:00;3054
2019-03-03T20:00:00+01:00;2969
2019-03-03T21:00:00+01:00;2355
2019-03-03T22:00:00+01:00;2645
2019-03-03T23:00:00+01:00;21128
2019-03-04T00:00:00+01:00;2440
2019-03-04T01:00:00+01:00;1553
2019-03-04T02:00:00+01:00;1160
2019-03-04T03:00:00+01:00;1399
2019-03-04T04:00:00+01:00;1638
2019-03-04T05:00:00+01:00;1655
2019-03-04T06:00:00+01:00;9779
2019-03-04T07:00:00+01:00;6587
2019-03-04T08:00:00+01:00;9352
2019-03-04T09:00:00+01:00;10240
2019-03-04T10:00:00+01:00;10001
2019-03-04T11:00:00+01:00;10376
2019-03-04T12:00:00+01:00;10291
2019-03-04T13:00:00+01:00;9130
2019-03-04T14:00:00+01:00;12168
2019-03-04T15:00:00+01:00;9233
2019-03-04T16:00:00+01:00;9642
2019-03-04T17:00:00+01:00;8823
2019-03-04T18:00:00+01:00;9352
2019-03-04T19:00:00+01:00;4932
2019-03-04T20:00:00+01:00;3720
2019-03-04T21:00:00+01:00;2440
2019-03-04T22:00:00+01:00;1911
2019-03-04T23:00:00+01:00;21162
2019-03-05T00:00:00+01:00;1757
2019-03-05T01:00:00+01:00;1126
2019-03-05T02:00:00+01:00;1211
2019-03-05T03:00:00+01:00;1783
2019-03-05T04:00:00+01:00;1160
2019-03-05T05:00:00+01:00;2167
2019-03-05T06:00:00+01:00;7901
2019-03-05T07:00:00+01:00;6161
2019-03-05T08:00:00+01:00;8618
2019-03-05T09:00:00+01:00;9676
2019-03-05T10:00:00+01:00;10769
2019-03-05T11:00:00+01:00;9557
2019-03-05T12:00:00+01:00;9369
2019-03-05T13:00:00+01:00;10240
2019-03-05T14:00:00+01:00;12851
2019-03-05T15:00:00+01:00;9454
2019-03-05T16:00:00+01:00;9693
2019-03-05T17:00:00+01:00;8874
2019-03-05T18:00:00+01:00;10086
2019-03-05T19:00:00+01:00;5870
2019-03-05T20:00:00+01:00;3481
2019-03-05T21:00:00+01:00;3652
2019-03-05T22:00:00+01:00;2747
2019-03-05T23:00:00+01:00;19694
2019-03-06T00:00:00+01:00;2184
2019-03-06T01:00:00+01:00;1774
2019-03-06T02:00:00+01:00;2269
2019-03-06T03:00:00+01:00;1774
2019-03-06T04:00:00+01:00;2781
2019-03-06T05:00:00+01:00;2833
2019-03-06T06:00:00+01:00;6468
2019-03-06T07:00:00+01:00;6946
2019-03-06T08:00:00+01:00;7560
2019-03-06T09:00:00+01:00;7731
2019-03-06T10:00:00+01:00;9164
2019-03-06T11:00:00+01:00;8345
2019-03-06T12:00:00+01:00;9267
2019-03-06T13:00:00+01:00;8908
2019-03-06T14:00:00+01:00;10035
2019-03-06T15:00:00+01:00;9762
2019-03-06T16:00:00+01:00;9830
2019-03-06T17:00:00+01:00;8755
2019-03-06T18:00:00+01:00;8430
2019-03-06T19:00:00+01:00;5085
2019-03-06T20:00:00+01:00;2867
2019-03-06T21:00:00+01:00;1996
2019-03-06T22:00:00+01:00;1911
2019-03-06T23:00:00+01:00;17015
2019-03-07T00:00:00+01:00;1723
2019-03-07T01:00:00+01:00;1843
2019-03-07T02:00:00+01:00;1877
2019-03-07T03:00:00+01:00;1706
2019-03-07T04:00:00+01:00;1655
2019-03-07T05:00:00+01:00;2218
2019-03-07T06:00:00+01:00;6041
2019-03-07T07:00:00+01:00;4966
2019-03-07T08:00:00+01:00;7799
2019-03-07T09:00:00+01:00;9386
2019-03-07T10:00:00+01:00;9728
2019-03-07T11:00:00+01:00;10103
2019-03-07T12:00:00+01:00;9728
2019-03-07T13:00:00+01:00;8328
