Time;Number of packets transmitted on interface Network adapter 1
2019-03-01T00:00:00+01:00;219
2019-03-01T01:00:00+01:00;449
2019-03-01T02:00:00+01:00;204
2019-03-01T03:00:00+01:00;189
2019-03-01T04:00:00+01:00;222
2019-03-01T05:00:00+01:00;371
2019-03-01T06:00:00+01:00;1059
2019-03-01T07:00:00+01:00;529
2019-03-01T08:00:00+01:00;830
2019-03-01T09:00:00+01:00;1096
2019-03-01T10:00:00+01:00;1126
2019-03-01T11:00:00+01:00;992
2019-03-01T12:00:00+01:00;1795
2019-03-01T13:00:00+01:00;976
2019-03-01T14:00:00+01:00;1026
2019-03-01T15:00:00+01:00;902
2019-03-01T16:00:00+01:00;954
2019-03-01T17:00:00+01:00;909
2019-03-01T18:00:00+01:00;1088
2019-03-01T19:00:00+01:00;453
2019-03-01T20:00:00+01:00;231
2019-03-01T21:00:00+01:00;226
2019-03-01T22:00:00+01:00;353
2019-03-01T23:00:00+01:00;5334
2019-03-02T00:00:00+01:00;180
2019-03-02T01:00:00+01:00;254
2019-03-02T02:00:00+01:00;220
2019-03-02T03:00:00+01:00;180
2019-03-02T04:00:00+01:00;239
2019-03-02T05:00:00+01:00;332
2019-03-02T06:00:00+01:00;267
2019-03-02T07:00:00+01:00;289
2019-03-02T08:00:00+01:00;368
2019-03-02T09:00:00+01:00;265
2019-03-02T10:00:00+01:00;480
2019-03-02T11:00:00+01:00;321
2019-03-02T12:00:00+01:00;339
2019-03-02T13:00:00+01:00;275
2019-03-02T14:00:00+01:00;552
2019-03-02T15:00:00+01:00;371
2019-03-02T16:00:00+01:00;363
2019-03-02T17:00:00+01:00;287
2019-03-02T18:00:00+01:00;378
2019-03-02T19:00:00+01:00;381
2019-03-02T20:00:00+01:00;485
2019-03-02T21:00:00+01:00;382
2019-03-02T22:00:00+01:00;422
2019-03-02T23:00:00+01:00;5187
2019-03-03T00:00:00+01:00;535
2019-03-03T01:00:00+01:00;338
2019-03-03T02:00:00+01:00;372
2019-03-03T03:00:00+01:00;331
2019-03-03T04:00:00+01:00;320
2019-03-03T05:00:00+01:00;315
2019-03-03T06:00:00+01:00;387
2019-03-03T07:00:00+01:00;180
2019-03-03T08:00:00+01:00;268
2019-03-03T09:00:00+01:00;291
2019-03-03T10:00:00+01:00;559
2019-03-03T11:00:00+01:00;411
2019-03-03T12:00:00+01:00;349
2019-03-03T13:00:00+01:00;320
2019-03-03T14:00:00+01:00;566
2019-03-03T15:00:00+01:00;254
2019-03-03T16:00:00+01:00;355
2019-03-03T17:00:00+01:00;270
2019-03-03T18:00:00+01:00;341
2019-03-03T19:00:00+01:00;339
2019-03-03T20:00:00+01:00;451
2019-03-03T21:00:00+01:00;308
