Time;Average number of bytes written to the disk Hard disk 1
2019-03-01T00:00:00+01:00;22374
2019-03-01T01:00:00+01:00;3754
2019-03-01T02:00:00+01:00;3908
2019-03-01T03:00:00+01:00;3379
2019-03-01T04:00:00+01:00;3140
2019-03-01T05:00:00+01:00;15923
2019-03-01T06:00:00+01:00;78506
2019-03-01T07:00:00+01:00;12629
2019-03-01T08:00:00+01:00;4829
2019-03-01T09:00:00+01:00;5580
2019-03-01T10:00:00+01:00;35998
2019-03-01T11:00:00+01:00;4693
2019-03-01T12:00:00+01:00;9523
2019-03-01T13:00:00+01:00;4659
2019-03-01T14:00:00+01:00;78421
2019-03-01T15:00:00+01:00;7697
2019-03-01T16:00:00+01:00;4864
2019-03-01T17:00:00+01:00;5324
2019-03-01T18:00:00+01:00;34696
2019-03-01T19:00:00+01:00;3805
2019-03-01T20:00:00+01:00;3686
2019-03-01T21:00:00+01:00;78080
2019-03-01T22:00:00+01:00;3037
2019-03-01T23:00:00+01:00;20343
2019-03-02T00:00:00+01:00;2747
2019-03-02T01:00:00+01:00;3464
2019-03-02T02:00:00+01:00;3891
2019-03-02T03:00:00+01:00;1979
2019-03-02T04:00:00+01:00;3157
2019-03-02T05:00:00+01:00;16861
2019-03-02T06:00:00+01:00;78830
2019-03-02T07:00:00+01:00;11520
2019-03-02T08:00:00+01:00;10035
2019-03-02T09:00:00+01:00;3191
2019-03-02T10:00:00+01:00;46523
2019-03-02T11:00:00+01:00;3089
2019-03-02T12:00:00+01:00;26214
2019-03-02T13:00:00+01:00;3891
2019-03-02T14:00:00+01:00;7901
2019-03-02T15:00:00+01:00;3430
2019-03-02T16:00:00+01:00;3515
2019-03-02T17:00:00+01:00;4334
2019-03-02T18:00:00+01:00;40448
2019-03-02T19:00:00+01:00;3822
2019-03-02T20:00:00+01:00;5376
2019-03-02T21:00:00+01:00;4864
2019-03-02T22:00:00+01:00;3020
2019-03-02T23:00:00+01:00;16469
2019-03-03T00:00:00+01:00;4300
2019-03-03T01:00:00+01:00;2696
2019-03-03T02:00:00+01:00;3293
2019-03-03T03:00:00+01:00;3242
2019-03-03T04:00:00+01:00;4522
2019-03-03T05:00:00+01:00;68864
2019-03-03T06:00:00+01:00;170444
2019-03-03T07:00:00+01:00;3191
2019-03-03T08:00:00+01:00;4078
2019-03-03T09:00:00+01:00;3396
2019-03-03T10:00:00+01:00;31914
2019-03-03T11:00:00+01:00;19473
2019-03-03T12:00:00+01:00;21196
2019-03-03T13:00:00+01:00;4078
2019-03-03T14:00:00+01:00;9113
2019-03-03T15:00:00+01:00;3584
2019-03-03T16:00:00+01:00;3942
2019-03-03T17:00:00+01:00;3481
2019-03-03T18:00:00+01:00;36676
2019-03-03T19:00:00+01:00;4164
2019-03-03T20:00:00+01:00;4881
2019-03-03T21:00:00+01:00;47206
2019-03-03T22:00:00+01:00;3345
2019-03-03T23:00:00+01:00;4232
2019-03-04T00:00:00+01:00;3498
2019-03-04T01:00:00+01:00;4044
2019-03-04T02:00:00+01:00;3840
2019-03-04T03:00:00+01:00;3874
2019-03-04T04:00:00+01:00;4403
2019-03-04T05:00:00+01:00;24081
2019-03-04T06:00:00+01:00;79206
2019-03-04T07:00:00+01:00;25565
2019-03-04T08:00:00+01:00;8567
2019-03-04T09:00:00+01:00;4061
2019-03-04T10:00:00+01:00;36556
2019-03-04T11:00:00+01:00;29866
2019-03-04T12:00:00+01:00;19046
2019-03-04T13:00:00+01:00;5939
2019-03-04T14:00:00+01:00;60569
2019-03-04T15:00:00+01:00;3703
2019-03-04T16:00:00+01:00;4505
2019-03-04T17:00:00+01:00;4693
2019-03-04T18:00:00+01:00;17578
2019-03-04T19:00:00+01:00;4147
2019-03-04T20:00:00+01:00;3925
2019-03-04T21:00:00+01:00;48571
2019-03-04T22:00:00+01:00;3993
2019-03-04T23:00:00+01:00;2560
2019-03-05T00:00:00+01:00;3106
2019-03-05T01:00:00+01:00;3771
2019-03-05T02:00:00+01:00;4334
2019-03-05T03:00:00+01:00;4184
2019-03-05T04:00:00+01:00;3037
2019-03-05T05:00:00+01:00;23756
2019-03-05T06:00:00+01:00;80913
2019-03-05T07:00:00+01:00;11059
2019-03-05T08:00:00+01:00;8430
2019-03-05T09:00:00+01:00;3345
2019-03-05T10:00:00+01:00;36283
2019-03-05T11:00:00+01:00;20599
2019-03-05T12:00:00+01:00;15086
2019-03-05T13:00:00+01:00;6314
2019-03-05T14:00:00+01:00;3822
2019-03-05T15:00:00+01:00;4522
2019-03-05T16:00:00+01:00;6144
2019-03-05T17:00:00+01:00;4556
2019-03-05T18:00:00+01:00;34184
2019-03-05T19:00:00+01:00;4932
2019-03-05T20:00:00+01:00;2850
2019-03-05T21:00:00+01:00;8840
2019-03-05T22:00:00+01:00;3362
2019-03-05T23:00:00+01:00;33962
2019-03-06T00:00:00+01:00;4198
2019-03-06T01:00:00+01:00;2833
2019-03-06T02:00:00+01:00;3003
2019-03-06T03:00:00+01:00;3328
2019-03-06T04:00:00+01:00;3771
2019-03-06T05:00:00+01:00;67242
2019-03-06T06:00:00+01:00;88166
2019-03-06T07:00:00+01:00;9301
2019-03-06T08:00:00+01:00;8328
2019-03-06T09:00:00+01:00;4061
2019-03-06T10:00:00+01:00;29371
2019-03-06T11:00:00+01:00;17885
2019-03-06T12:00:00+01:00;8669
2019-03-06T13:00:00+01:00;5273
2019-03-06T14:00:00+01:00;83234
2019-03-06T15:00:00+01:00;11417
2019-03-06T16:00:00+01:00;3840
2019-03-06T17:00:00+01:00;4539
2019-03-06T18:00:00+01:00;11127
2019-03-06T19:00:00+01:00;4642
2019-03-06T20:00:00+01:00;4061
2019-03-06T21:00:00+01:00;78848
2019-03-06T22:00:00+01:00;3362
2019-03-06T23:00:00+01:00;15035
2019-03-07T00:00:00+01:00;2986
2019-03-07T01:00:00+01:00;3669
2019-03-07T02:00:00+01:00;3481
2019-03-07T03:00:00+01:00;4829
2019-03-07T04:00:00+01:00;3669
2019-03-07T05:00:00+01:00;68300
2019-03-07T06:00:00+01:00;7953
2019-03-07T07:00:00+01:00;5529
2019-03-07T08:00:00+01:00;8140
2019-03-07T09:00:00+01:00;5529
2019-03-07T10:00:00+01:00;25856
