Time;CPU usage;Number of bytes received;Number of bytes transmitted;Used memory;Average read latency of the datastore LUN_080;Average write latency of the datastore LUN_080
2019-05-20T02:34:00+02:00;13841000000;7151616;37602304;234568548352;3;7
2019-05-20T02:36:00+02:00;15859000000;5793792;47893504;234569596928;0.5;1
2019-05-20T02:38:00+02:00;13936500000;5102080;32745472;234574839808;5;1
2019-05-20T02:40:00+02:00;14746500000;3897344;24983552;234574315520;3;1
2019-05-20T02:42:00+02:00;12123500000;4566016;30566400;234614685696;1;1.5
2019-05-20T02:44:00+02:00;12735000000;5783552;30699520;234611539968;2.5;1.5
2019-05-20T02:46:00+02:00;13538000000;8617984;32016896;234622550016;15.5;5
2019-05-20T02:48:00+02:00;13636500000;6259712;38507520;234588471296;1.5;2
2019-05-20T02:50:00+02:00;15407500000;4763648;32752128;234581131264;8;2
2019-05-20T02:52:00+02:00;13307000000;5775872;30960640;234579034112;1;1
2019-05-20T02:54:00+02:00;13381500000;5155840;28349440;234573791232;2;1
2019-05-20T02:56:00+02:00;13568500000;5584384;20516864;234575888384;2;1.5
2019-05-20T02:58:00+02:00;12256000000;5404672;24681472;234575888384;3;1.5
2019-05-20T03:00:00+02:00;10224500000;4841984;34596352;234574315520;5.5;8
2019-05-20T03:02:00+02:00;14444500000;4943360;32599552;234586898432;6;2
2019-05-20T03:04:00+02:00;14898000000;4907008;33194496;234583228416;1;1.5
2019-05-20T03:06:00+02:00;17402000000;5611008;32955904;234580082688;1;3
2019-05-20T03:08:00+02:00;13773000000;6913024;36320256;234588471296;0.5;1
2019-05-20T03:10:00+02:00;14109500000;5114368;34194944;234586374144;0;2.5
2019-05-20T03:12:00+02:00;13461500000;4037632;30693376;234584276992;1;3
2019-05-20T03:14:00+02:00;12826500000;5076480;26621440;234585325568;7;1
2019-05-20T03:16:00+02:00;14834500000;5434880;22747136;234592141312;0;6.5
2019-05-20T03:18:00+02:00;11416000000;5041664;29340672;234582179840;8;2.5
2019-05-20T03:20:00+02:00;14074500000;4495872;5789696;234591092736;9;2
2019-05-20T03:22:00+02:00;12353000000;4235776;5211136;234591092736;1;4.5
2019-05-20T03:24:00+02:00;12072000000;5431808;4851200;234588995584;1.5;2
2019-05-20T03:26:00+02:00;12271500000;3870720;3818496;234588995584;7.5;2.5
2019-05-20T03:28:00+02:00;12517000000;4764160;4829696;234587947008;2;1
2019-05-20T03:30:00+02:00;14900500000;4298752;6586368;234586898432;1;1
2019-05-20T03:32:00+02:00;14623000000;4103168;3882496;234587422720;2;1.5
2019-05-20T03:34:00+02:00;13069000000;5886464;6173184;234587947008;0.5;2
2019-05-20T03:36:00+02:00;13349500000;6043648;6274560;234591617024;3.5;1.5
2019-05-20T03:38:00+02:00;13347500000;5767168;5390336;234592665600;0;1
2019-05-20T03:40:00+02:00;12378500000;5061632;4948480;234592141312;1;1
2019-05-20T03:42:00+02:00;13307000000;5561344;5493760;234590568448;0.5;1
2019-05-20T03:44:00+02:00;12029000000;5215744;5147648;234588995584;0.5;2
2019-05-20T03:46:00+02:00;13512500000;4961792;4621312;234586898432;0;2.5
2019-05-20T03:48:00+02:00;14258500000;5009408;5281792;234584801280;0.5;1
2019-05-20T03:50:00+02:00;14264000000;4399616;4217344;234584801280;5;1.5
2019-05-20T03:52:00+02:00;12864000000;4841472;5134336;234581131264;0;1.5
2019-05-20T03:54:00+02:00;13115000000;12781568;13090816;234626744320;2.5;1
2019-05-20T03:56:00+02:00;12853500000;15233024;15839232;234571694080;5;3
2019-05-20T03:58:00+02:00;12873000000;16995840;18973696;234568548352;1.5;1
2019-05-20T04:00:00+02:00;15289000000;18206720;17724416;234565402624;3;8
2019-05-20T04:02:00+02:00;13785500000;17152512;16842240;234569596928;5.5;30.5
2019-05-20T04:04:00+02:00;16003500000;18586624;18018304;234572742656;2.5;20
2019-05-20T04:06:00+02:00;13372000000;18479104;17986048;234573266944;1;18.5
2019-05-20T04:08:00+02:00;13788000000;19785728;19616768;234580082688;3;4
2019-05-20T04:10:00+02:00;14075000000;16163840;15672320;234582704128;2.5;15
2019-05-20T04:12:00+02:00;13026500000;22280192;21952512;234579034112;1;12
2019-05-20T04:14:00+02:00;14070000000;20162560;20084736;234569072640;4;20
2019-05-20T04:16:00+02:00;14293000000;20969984;20946944;234570645504;11;15
2019-05-20T04:18:00+02:00;18395000000;24417792;24164352;234588471296;6.5;10.5
