Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-03-03T13:00:00+01:00;13498800000;2,38123E+11;24021845;23849557;1;10;1
2019-03-03T14:00:00+01:00;14939083333;2,37885E+11;27392512;26844330;1;8;9
2019-03-03T15:00:00+01:00;14315716666;2,37229E+11;24232311;24836096;1;10;3
2019-03-03T16:00:00+01:00;12760900000;2,37117E+11;26259915;37437581;1;11;9
2019-03-03T17:00:00+01:00;12650216666;2,37107E+11;26303590;25961557;1;12;4
2019-03-03T18:00:00+01:00;14566533333;2,37353E+11;24195191;40228386;1;15;14
2019-03-03T19:00:00+01:00;14418116666;2,37409E+11;27878758;44164078;1;17;4
2019-03-03T20:00:00+01:00;13979450000;2,37767E+11;34279031;34204825;1;10;1
2019-03-03T21:00:00+01:00;14606383333;2,37385E+11;37423451;37150962;1;9;3
2019-03-03T22:00:00+01:00;15113750000;2,36102E+11;38579950;38730564;1;13;5
2019-03-03T23:00:00+01:00;12395516666;2,32898E+11;28601702;28288819;1;8;10
2019-03-04T00:00:00+01:00;9641666666;2,36813E+11;17906329;13581090;1;14;8
2019-03-04T01:00:00+01:00;8942683333;2,395E+11;7517409;31615531;1;9;10
2019-03-04T02:00:00+01:00;9087616666;2,41413E+11;2810828;13640618;1;15;16
2019-03-04T03:00:00+01:00;10033916666;2,43381E+11;1592439;10404096;1;14;17
2019-03-04T04:00:00+01:00;8425183333;2,43197E+11;1736439;2342647;1;10;18
2019-03-04T05:00:00+01:00;8562200000;2,43199E+11;1550506;1074227;1;9;2
2019-03-04T06:00:00+01:00;9018266666;2,43124E+11;2620723;2187366;1;11;11
2019-03-04T07:00:00+01:00;9877966666;2,48268E+11;7899511;18503799;1;13;5
2019-03-04T08:00:00+01:00;12298616666;2,45885E+11;7499844;7141051;1;15;6
2019-03-04T09:00:00+01:00;13273533333;2,43803E+11;7472264;7607432;1;14;6
2019-03-04T10:00:00+01:00;17929516666;2,44156E+11;16794368;17941828;1;22;7
2019-03-04T11:00:00+01:00;15907266666;2,44567E+11;15882240;14987554;1;21;10
2019-03-04T12:00:00+01:00;12544616666;2,45243E+11;19715379;31099067;1;14;9
2019-03-04T13:00:00+01:00;13981200000;2,45405E+11;23118131;23124855;1;23;9
2019-03-04T14:00:00+01:00;12518150000;2,45633E+11;11096337;6827929;1;23;16
2019-03-04T15:00:00+01:00;11373783333;2,40172E+11;6475144;10982673;1;14;9
2019-03-04T16:00:00+01:00;13604633333;2,36782E+11;10049109;16873318;1;16;11
2019-03-04T17:00:00+01:00;14159600000;2,36851E+11;10434542;9900967;1;17;5
2019-03-04T18:00:00+01:00;14503333333;2,36921E+11;13922321;16931379;1;11;6
2019-03-04T19:00:00+01:00;18277566666;2,3674E+11;19848942;22330470;1;13;4
2019-03-04T20:00:00+01:00;18213616666;2,35957E+11;27982404;27277380;1;12;7
2019-03-04T21:00:00+01:00;19370250000;2,35545E+11;29557248;29896021;1;13;4
