Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-01-03T15:00:00+01:00;9681383333;2,33287E+11;2000435;1547793;1;10;13
2019-01-03T16:00:00+01:00;10860900000;2,38348E+11;4251801;2108023;1;12;18
2019-01-03T17:00:00+01:00;11174083333;2,40675E+11;1390097;1607560;1;7;12
2019-01-03T18:00:00+01:00;11617783333;2,40894E+11;1279214;1073783;1;10;5
2019-01-03T19:00:00+01:00;12671066666;2,4088E+11;1286820;1426432;1;9;3
2019-01-03T20:00:00+01:00;11210550000;2,40563E+11;1673597;4344363;1;8;0
2019-01-03T21:00:00+01:00;11276266666;2,38735E+11;1226439;1376759;1;8;6
2019-01-03T22:00:00+01:00;11577716666;2,38754E+11;1187225;2806033;1;6;3
2019-01-03T23:00:00+01:00;12060233333;2,38758E+11;1169476;6552200;1;9;17
2019-01-04T00:00:00+01:00;11385033333;2,38749E+11;983688;990156;1;13;9
2019-01-04T01:00:00+01:00;10547666666;2,38753E+11;1445546;26646869;1;9;11
2019-01-04T02:00:00+01:00;7410166666;2,45156E+11;5274009;12071662;1;10;15
2019-01-04T03:00:00+01:00;7835716666;2,40064E+11;1105322;10792021;1;11;13
2019-01-04T04:00:00+01:00;7079833333;2,39508E+11;861808;496657;1;10;29
2019-01-04T05:00:00+01:00;7158516666;2,4095E+11;834993;351023;1;5;3
2019-01-04T06:00:00+01:00;7331433333;2,43864E+11;912554;508142;1;7;4
2019-01-04T07:00:00+01:00;7273183333;2,43863E+11;1019153;742638;1;10;6
2019-01-04T08:00:00+01:00;8149766666;2,43879E+11;1389499;2647261;1;12;3
2019-01-04T09:00:00+01:00;9721400000;2,43873E+11;2222301;2565358;1;10;5
2019-01-04T10:00:00+01:00;10774983333;2,43885E+11;1971916;3488477;1;10;8
2019-01-04T11:00:00+01:00;12769533333;2,40738E+11;2510694;10020164;1;11;5
2019-01-04T12:00:00+01:00;12704333333;2,39616E+11;1449489;6201617;1;10;18
2019-01-04T13:00:00+01:00;12587616666;2,39606E+11;1632631;1945292;1;12;4
2019-01-04T14:00:00+01:00;12074033333;2,39585E+11;2079539;2777395;1;11;8
2019-01-04T15:00:00+01:00;13182666666;2,39711E+11;1693627;1493111;1;11;5
2019-01-04T16:00:00+01:00;13141866666;2,39893E+11;2755089;1810670;1;8;14
2019-01-04T17:00:00+01:00;12306000000;2,39957E+11;1768396;2049587;1;9;7
2019-01-04T18:00:00+01:00;11591183333;2,3986E+11;1399961;1682688;1;9;5
2019-01-04T19:00:00+01:00;9180616666;2,39817E+11;1230414;1803992;1;7;2
2019-01-04T20:00:00+01:00;10156100000;2,39834E+11;1189905;1799424;1;9;13
2019-01-04T21:00:00+01:00;10896016666;2,39856E+11;1775803;1736482;1;8;6
2019-01-04T22:00:00+01:00;12187016666;2,39877E+11;1273497;9338709;1;7;4
2019-01-04T23:00:00+01:00;11729183333;2,39874E+11;1203592;815445;1;8;4
2019-01-05T00:00:00+01:00;10782416666;2,3986E+11;1042739;2882730;1;10;8
2019-01-05T01:00:00+01:00;10789350000;2,41454E+11;4745915;29553868;1;12;10
2019-01-05T02:00:00+01:00;9134550000;2,47323E+11;11148851;21813265;1;10;16
2019-01-05T03:00:00+01:00;8213966666;2,46393E+11;1130849;16733625;1;7;8
2019-01-05T04:00:00+01:00;7688383333;2,46369E+11;841011;617762;1;17;65
2019-01-05T05:00:00+01:00;7098866666;2,46367E+11;813329;881339;1;5;1
2019-01-05T06:00:00+01:00;8088966666;2,46387E+11;884957;727074;1;6;14
2019-01-05T07:00:00+01:00;7782650000;2,46424E+11;821039;542928;1;9;8
2019-01-05T08:00:00+01:00;8669316666;2,46434E+11;855466;1558852;1;10;3
2019-01-05T09:00:00+01:00;9932366666;2,40126E+11;1086839;2654395;1;10;3
2019-01-05T10:00:00+01:00;11457250000;2,37857E+11;1262882;1097762;1;12;8
2019-01-05T11:00:00+01:00;11694133333;2,37884E+11;1087163;1593497;1;9;13
2019-01-05T12:00:00+01:00;12842666666;2,37907E+11;1093137;722670;1;9;7
2019-01-05T13:00:00+01:00;12434650000;2,37901E+11;1305019;986675;1;7;2
2019-01-05T14:00:00+01:00;12650850000;2,3788E+11;1369035;1438060;1;10;21
2019-01-05T15:00:00+01:00;12497683333;2,37898E+11;1223509;969301;1;8;5
2019-01-05T16:00:00+01:00;12973916666;2,37916E+11;1355281;1256755;1;13;3
2019-01-05T17:00:00+01:00;10653333333;2,37933E+11;1581721;1594538;1;7;3
2019-01-05T18:00:00+01:00;10796316666;2,37907E+11;1568068;1902813;1;8;7
2019-01-05T19:00:00+01:00;10680433333;2,39153E+11;5805824;5084074;1;11;4
2019-01-05T20:00:00+01:00;13513283333;2,41429E+11;13399517;22425924;1;8;2
2019-01-05T21:00:00+01:00;12485383333;2,37919E+11;3574254;5528012;1;7;3
2019-01-05T22:00:00+01:00;12249033333;2,37939E+11;1224226;1031338;1;9;8
2019-01-05T23:00:00+01:00;11566283333;2,37907E+11;1490056;3769173;1;9;6
2019-01-06T00:00:00+01:00;11370583333;2,37902E+11;1233766;994764;1;11;7
2019-01-06T01:00:00+01:00;11315700000;2,3791E+11;1260544;21184580;1;11;15
2019-01-06T02:00:00+01:00;8515383333;2,37914E+11;2976443;596309;1;11;17
2019-01-06T03:00:00+01:00;7306783333;2,51721E+11;5094816;662718;1;7;9
2019-01-06T04:00:00+01:00;7846066666;2,50578E+11;948814;573197;1;12;45
2019-01-06T05:00:00+01:00;6845850000;2,44383E+11;867874;1604437;1;5;4
2019-01-06T06:00:00+01:00;7888200000;2,42121E+11;747953;479127;1;8;9
2019-01-06T07:00:00+01:00;7330550000;2,42136E+11;904038;602982;1;7;2
2019-01-06T08:00:00+01:00;8353433333;2,42127E+11;841710;693623;1;6;1
2019-01-06T09:00:00+01:00;9499383333;2,421E+11;954282;714769;1;9;8
2019-01-06T10:00:00+01:00;9016500000;2,42092E+11;1456366;4486348;1;10;1
2019-01-06T11:00:00+01:00;9960400000;2,30608E+11;1186781;4247995;1;8;8
2019-01-06T12:00:00+01:00;11553533333;2,28714E+11;1374884;2123185;1;7;4
2019-01-06T13:00:00+01:00;11191716666;2,28524E+11;1548629;1332736;1;7;1
2019-01-06T14:00:00+01:00;11284000000;2,28667E+11;1552605;1318997;1;10;13
2019-01-06T15:00:00+01:00;10574450000;2,29307E+11;1545523;1220352;1;7;13
2019-01-06T16:00:00+01:00;11445716666;2,29297E+11;1588036;1471129;1;11;7
2019-01-06T17:00:00+01:00;10887083333;2,29323E+11;5631539;5327206;1;10;5
2019-01-06T18:00:00+01:00;11543650000;2,29293E+11;1497088;1272371;1;8;5
2019-01-06T19:00:00+01:00;10469366666;2,30291E+11;6674432;6570376;1;17;2
2019-01-06T20:00:00+01:00;10077550000;2,3213E+11;1929454;11119104;1;8;2
2019-01-06T21:00:00+01:00;9789666666;2,33889E+11;3262839;5310617;1;10;6
2019-01-06T22:00:00+01:00;12299683333;2,33588E+11;1351458;1207415;1;10;4
2019-01-06T23:00:00+01:00;10155733333;2,33564E+11;1185638;4550075;1;11;4
2019-01-07T00:00:00+01:00;9624583333;2,33579E+11;1154338;1110698;1;10;7
2019-01-07T01:00:00+01:00;10924466666;2,3356E+11;1439931;28508177;1;11;11
2019-01-07T02:00:00+01:00;10177633333;2,33577E+11;1105920;14111249;1;16;15
2019-01-07T03:00:00+01:00;7747366666;2,47887E+11;4343586;1528081;1;10;10
2019-01-07T04:00:00+01:00;8435833333;2,38797E+11;975974;2658440;1;11;37
2019-01-07T05:00:00+01:00;7154150000;2,37741E+11;829610;627592;1;7;10
2019-01-07T06:00:00+01:00;7762833333;2,37748E+11;795752;546920;1;9;5
2019-01-07T07:00:00+01:00;11416366666;2,37781E+11;1465463;4436582;1;13;10
2019-01-07T08:00:00+01:00;12369483333;2,33885E+11;2602782;14515807;1;15;13
2019-01-07T09:00:00+01:00;11907500000;2,33479E+11;3270468;12562278;1;13;13
2019-01-07T10:00:00+01:00;9991566666;2,35594E+11;4632473;8947148;1;15;10
2019-01-07T11:00:00+01:00;12361166666;2,39056E+11;6841565;12483020;1;14;10
2019-01-07T12:00:00+01:00;12181216666;2,31318E+11;5462571;7168555;1;13;5
2019-01-07T13:00:00+01:00;11346250000;2,30178E+11;2865305;5343419;1;20;25
2019-01-07T14:00:00+01:00;11040550000;2,30473E+11;5208964;7200203;1;17;6
2019-01-07T15:00:00+01:00;11101916666;2,30184E+11;3217100;5209292;1;17;6
2019-01-07T16:00:00+01:00;11825666666;2,33683E+11;9162266;11635590;1;22;7
2019-01-07T17:00:00+01:00;11556200000;2,33556E+11;12579891;20707225;1;12;8
2019-01-07T18:00:00+01:00;12139783333;2,31361E+11;5983863;11703620;1;13;16
2019-01-07T19:00:00+01:00;11045533333;2,30148E+11;1782801;1901158;1;14;7
2019-01-07T20:00:00+01:00;10944250000;2,30149E+11;1976733;3880223;1;14;9
2019-01-07T21:00:00+01:00;11231933333;2,30121E+11;2148010;2916164;1;14;9
2019-01-07T22:00:00+01:00;11174066666;2,30121E+11;1983812;1839581;1;13;14
2019-01-07T23:00:00+01:00;8994183333;2,37196E+11;3873501;3270058;1;11;6
2019-01-08T00:00:00+01:00;7903500000;2,37842E+11;1304957;831019;1;11;7
2019-01-08T01:00:00+01:00;9409816666;2,37858E+11;1494579;26629529;1;10;10
2019-01-08T02:00:00+01:00;7711900000;2,44446E+11;4149879;7340356;1;12;14
2019-01-08T03:00:00+01:00;7790933333;2,46208E+11;1061870;4461568;1;12;10
2019-01-08T04:00:00+01:00;7944066666;2,46363E+11;1021081;1078323;1;9;21
2019-01-08T05:00:00+01:00;7514283333;2,38551E+11;995566;2800657;1;5;8
2019-01-08T06:00:00+01:00;7742650000;2,41562E+11;996631;628624;1;9;4
2019-01-08T07:00:00+01:00;11701483333;2,40852E+11;1509700;6416401;1;16;5
2019-01-08T08:00:00+01:00;10595583333;2,36353E+11;2247389;5846852;1;14;6
2019-01-08T09:00:00+01:00;11513683333;2,40979E+11;5514188;8998161;1;22;11
2019-01-08T10:00:00+01:00;11266383333;2,35842E+11;6076296;7421678;1;26;12
2019-01-08T11:00:00+01:00;12933483333;2,32626E+11;7290668;8621832;1;33;20
2019-01-08T12:00:00+01:00;11827000000;2,30096E+11;6820727;6415172;1;24;12
2019-01-08T13:00:00+01:00;11267166666;2,27938E+11;2249984;9930564;1;19;11
2019-01-08T14:00:00+01:00;10958250000;2,31818E+11;4624469;5298534;1;19;7
2019-01-08T15:00:00+01:00;12117966666;2,32159E+11;3135556;7122534;1;15;7
2019-01-08T16:00:00+01:00;11780266666;2,32172E+11;2734839;3769238;1;18;12
2019-01-08T17:00:00+01:00;11132500000;2,32175E+11;2872832;4786244;1;17;9
2019-01-08T18:00:00+01:00;12107416666;2,32154E+11;2172074;2276693;1;15;6
2019-01-08T19:00:00+01:00;12168950000;2,30836E+11;2240043;2586658;1;14;4
2019-01-08T20:00:00+01:00;12122950000;2,29969E+11;2007876;4073949;1;13;9
2019-01-08T21:00:00+01:00;12123000000;2,29928E+11;1885440;2234794;1;12;5
2019-01-08T22:00:00+01:00;11446933333;2,30983E+11;4102758;3024435;1;36;23
2019-01-08T23:00:00+01:00;13090366666;2,34124E+11;1679308;2695185;1;38;31
2019-01-09T00:00:00+01:00;10541250000;2,34064E+11;1391827;912136;1;21;14
2019-01-09T01:00:00+01:00;9775216666;2,3423E+11;1980603;17721036;1;17;14
2019-01-09T02:00:00+01:00;11279250000;2,46093E+11;5389190;2911006;1;16;18
2019-01-09T03:00:00+01:00;7998966666;2,45078E+11;3081676;691456;1;14;15
2019-01-09T04:00:00+01:00;9216900000;2,38669E+11;7169621;45069363;1;12;28
2019-01-09T05:00:00+01:00;8515900000;2,32109E+11;1577472;73150361;1;11;14
2019-01-09T06:00:00+01:00;8684466666;2,32227E+11;1786965;63521621;1;11;11
2019-01-09T07:00:00+01:00;11821550000;2,32302E+11;2761284;75061964;1;14;6
2019-01-09T08:00:00+01:00;11113333333;2,33876E+11;4657373;55678993;1;15;9
2019-01-09T09:00:00+01:00;12067366666;2,37021E+11;7136955;31340014;1;16;12
2019-01-09T10:00:00+01:00;11562500000;2,36067E+11;7562240;21311140;1;19;14
2019-01-09T11:00:00+01:00;10622150000;2,34603E+11;3038818;9575873;1;14;5
2019-01-09T12:00:00+01:00;12135883333;2,3354E+11;2337587;10331989;1;15;11
2019-01-09T13:00:00+01:00;9935533333;2,33922E+11;2364319;9516862;1;18;6
2019-01-09T14:00:00+01:00;9476516666;2,38584E+11;3427754;8222822;1;16;8
2019-01-09T15:00:00+01:00;10153466666;2,38948E+11;2803609;6257220;1;15;6
2019-01-09T16:00:00+01:00;12597700000;2,37616E+11;2781440;9026679;1;19;15
2019-01-09T17:00:00+01:00;12402350000;2,34651E+11;2558668;5377809;1;14;6
2019-01-09T18:00:00+01:00;19617133333;2,37037E+11;17725269;19812437;1;39;67
2019-01-09T19:00:00+01:00;12283950000;2,37379E+11;18166425;18667008;1;16;7
2019-01-09T20:00:00+01:00;10787716666;2,34533E+11;1813077;3595520;1;14;8
2019-01-09T21:00:00+01:00;11268000000;2,34425E+11;2561570;2465160;1;10;6
2019-01-09T22:00:00+01:00;12729116666;2,32489E+11;2096781;3906789;1;12;4
2019-01-09T23:00:00+01:00;11268700000;2,34187E+11;5309387;7321617;1;10;5
2019-01-10T00:00:00+01:00;9875216666;2,3429E+11;1775969;1595533;1;13;11
2019-01-10T01:00:00+01:00;9646766666;2,34242E+11;1414912;15246728;1;9;6
2019-01-10T02:00:00+01:00;8715283333;2,42829E+11;2847061;2125226;1;15;16
2019-01-10T03:00:00+01:00;9677533333;2,45469E+11;1096968;1896924;1;19;30
2019-01-10T04:00:00+01:00;10176133333;2,43323E+11;1110135;4981248;1;13;26
2019-01-10T05:00:00+01:00;8353800000;2,43375E+11;1117413;9227052;1;9;3
2019-01-10T06:00:00+01:00;8220416666;2,43372E+11;1117374;1120984;1;13;10
2019-01-10T07:00:00+01:00;10668850000;2,43334E+11;1502190;5093444;1;15;4
2019-01-10T08:00:00+01:00;10669733333;2,36155E+11;2550118;11537612;1;15;5
2019-01-10T09:00:00+01:00;10842700000;2,3474E+11;3992849;9376221;1;20;10
2019-01-10T10:00:00+01:00;11433216666;2,34784E+11;3230896;8915862;1;19;6
2019-01-10T11:00:00+01:00;11497600000;2,34791E+11;2852742;4115855;1;17;9
2019-01-10T12:00:00+01:00;11752133333;2,34794E+11;2133162;4138171;1;17;6
2019-01-10T13:00:00+01:00;11071600000;2,34781E+11;2109815;7473169;1;17;16
2019-01-10T14:00:00+01:00;10515566666;2,34904E+11;2678903;5242931;1;16;6
2019-01-10T15:00:00+01:00;11263150000;2,35562E+11;2973337;5618483;1;14;7
2019-01-10T16:00:00+01:00;11139600000;2,35177E+11;2989363;4096938;1;21;22
2019-01-10T17:00:00+01:00;10698783333;2,32877E+11;3558826;5852740;1;12;9
2019-01-10T18:00:00+01:00;10201333333;2,32892E+11;2344550;2763622;1;15;4
2019-01-10T19:00:00+01:00;10800033333;2,32893E+11;2523665;3436066;1;12;5
2019-01-10T20:00:00+01:00;9320216666;2,32906E+11;1771349;4030685;1;9;3
2019-01-10T21:00:00+01:00;10158066666;2,3291E+11;2059895;2847214;1;14;4
2019-01-10T22:00:00+01:00;10480900000;2,32834E+11;3657386;3587942;1;11;6
2019-01-10T23:00:00+01:00;9429683333;2,32803E+11;1649789;1662185;1;12;0
2019-01-11T00:00:00+01:00;8291850000;2,34567E+11;1225847;1137544;1;12;12
2019-01-11T01:00:00+01:00;9321800000;2,32839E+11;1600921;25509649;1;13;6
2019-01-11T02:00:00+01:00;7518266666;2,38508E+11;6251997;12309128;1;11;24
2019-01-11T03:00:00+01:00;8706916666;2,38997E+11;1266551;14281898;1;16;17
2019-01-11T04:00:00+01:00;8322000000;2,32903E+11;1217416;1897642;1;11;29
2019-01-11T05:00:00+01:00;7596916666;2,32903E+11;904379;1251515;1;7;3
2019-01-11T06:00:00+01:00;7772850000;2,32929E+11;1080524;2301525;1;11;8
2019-01-11T07:00:00+01:00;11789700000;2,32947E+11;1355229;1261209;1;14;3
2019-01-11T08:00:00+01:00;9877733333;2,32956E+11;2049280;3856878;1;14;6
2019-01-11T09:00:00+01:00;10042066666;2,3297E+11;2482939;4839424;1;14;7
2019-01-11T10:00:00+01:00;12907266666;2,30575E+11;2254119;3096263;1;18;10
2019-01-11T11:00:00+01:00;10625916666;2,28578E+11;2913713;5102106;1;12;10
2019-01-11T12:00:00+01:00;10275500000;2,28458E+11;2022485;3907686;1;12;6
2019-01-11T13:00:00+01:00;11790866666;2,28485E+11;2287598;3594569;1;12;3
2019-01-11T14:00:00+01:00;10317933333;2,28611E+11;4581222;8468633;1;14;5
2019-01-11T15:00:00+01:00;9696250000;2,31222E+11;3599667;4375654;1;14;6
2019-01-11T16:00:00+01:00;10552483333;2,32606E+11;4797713;4101563;1;11;6
2019-01-11T17:00:00+01:00;9574966666;2,32609E+11;2958301;2163404;1;10;4
