Time;Free disk space on /
2019-05-20T13:14:34+02:00;18590040064
2019-05-20T13:15:34+02:00;116943622144
2019-05-20T13:16:34+02:00;116943622144
2019-05-20T13:17:34+02:00;116943622144
2019-05-20T13:18:34+02:00;116943622144
2019-05-20T13:19:34+02:00;116943622144
2019-05-20T13:20:34+02:00;116943622144
2019-05-20T13:21:34+02:00;116943622144
2019-05-20T13:22:34+02:00;116943622144
2019-05-20T13:23:34+02:00;116943622144
2019-05-20T13:24:34+02:00;116943622144
2019-05-20T13:25:34+02:00;116943622144
2019-05-20T13:26:34+02:00;116943622144
2019-05-20T13:27:34+02:00;116943622144
2019-05-20T13:28:34+02:00;116943622144
2019-05-20T13:29:34+02:00;116943622144
2019-05-20T13:30:34+02:00;116943622144
2019-05-20T13:31:34+02:00;116943622144
2019-05-20T13:32:34+02:00;116943622144
2019-05-20T13:33:34+02:00;116943622144
2019-05-20T13:34:34+02:00;116943622144
2019-05-20T13:35:34+02:00;116943622144
2019-05-20T13:36:34+02:00;116943622144
2019-05-20T13:37:34+02:00;116943622144
2019-05-20T13:38:34+02:00;116943622144
2019-05-20T13:39:34+02:00;116943622144
2019-05-20T13:40:34+02:00;116943622144
2019-05-20T13:41:34+02:00;116943622144
2019-05-20T13:42:34+02:00;116943622144
2019-05-20T13:43:34+02:00;116943622144
2019-05-20T13:44:34+02:00;116943622144
2019-05-20T13:45:34+02:00;116943622144
2019-05-20T13:46:34+02:00;116943622144
2019-05-20T13:47:34+02:00;116943622144
2019-05-20T13:48:34+02:00;116943622144
2019-05-20T13:49:34+02:00;116943622144
2019-05-20T13:50:34+02:00;116943622144
2019-05-20T13:51:34+02:00;116943622144
2019-05-20T13:52:34+02:00;116943622144
2019-05-20T13:53:34+02:00;116943622144
2019-05-20T13:54:34+02:00;116943622144
2019-05-20T13:55:34+02:00;116943622144
2019-05-20T13:56:34+02:00;116943622144
2019-05-20T13:57:34+02:00;116943622144
2019-05-20T13:58:34+02:00;116943622144
2019-05-20T13:59:34+02:00;116943622144
2019-05-20T14:00:34+02:00;116943622144
2019-05-20T14:01:34+02:00;116943622144
2019-05-20T14:02:34+02:00;116943622144
2019-05-20T14:03:34+02:00;116943622144
2019-05-20T14:04:34+02:00;116943622144
2019-05-20T14:05:34+02:00;116943622144
2019-05-20T14:06:34+02:00;116943622144
2019-05-20T14:07:34+02:00;116943622144
