Time	Free disk space on C:\ (percentage)
2019-05-20T10:45:51+02:00	3.7781
2019-05-20T10:46:51+02:00	3.7781
2019-05-20T10:47:51+02:00	3.5739
2019-05-20T10:48:51+02:00	3.5739
2019-05-20T10:49:51+02:00	3.5739
2019-05-20T10:50:51+02:00	3.5739
2019-05-20T10:51:51+02:00	3.5739
2019-05-20T10:52:51+02:00	3.5739
2019-05-20T10:53:51+02:00	3.5739
2019-05-20T10:54:51+02:00	3.5739
2019-05-20T10:55:51+02:00	3.5739
2019-05-20T10:56:51+02:00	3.5739
2019-05-20T10:57:51+02:00	3.5739
2019-05-20T10:58:51+02:00	3.5739
2019-05-20T10:59:51+02:00	3.5739
2019-05-20T11:00:51+02:00	3.5739
2019-05-20T11:01:51+02:00	3.5739
2019-05-20T11:02:51+02:00	3.5739
2019-05-20T11:03:51+02:00	3.5739
2019-05-20T11:04:51+02:00	3.5739
2019-05-20T11:05:51+02:00	3.5739
2019-05-20T11:06:51+02:00	3.5739
2019-05-20T11:07:51+02:00	3.5739
2019-05-20T11:08:51+02:00	3.5739
2019-05-20T11:09:51+02:00	3.5739
2019-05-20T11:10:51+02:00	3.5739
2019-05-20T11:11:51+02:00	3.5739
2019-05-20T11:12:51+02:00	3.5739
2019-05-20T11:13:51+02:00	3.5739
