Time;CPU usage
2019-06-06T00:00:00+02:00;554000000
2019-06-06T00:01:00+02:00;1491000000
2019-06-06T00:02:00+02:00;561000000
2019-06-06T00:03:00+02:00;625000000
2019-06-06T00:04:00+02:00;370000000
2019-06-06T00:05:00+02:00;517000000
2019-06-06T00:06:00+02:00;563000000
2019-06-06T00:07:00+02:00;611000000
2019-06-06T00:08:00+02:00;506000000
2019-06-06T00:09:00+02:00;731000000
2019-06-06T00:10:00+02:00;692000000
2019-06-06T00:11:00+02:00;478000000
2019-06-06T00:12:00+02:00;600000000
2019-06-06T00:13:00+02:00;850000000
2019-06-06T00:14:00+02:00;850000000
2019-06-06T00:15:00+02:00;440000000
2019-06-06T00:16:00+02:00;645000000
2019-06-06T00:17:00+02:00;633000000
2019-06-06T00:18:00+02:00;728000000
2019-06-06T00:19:00+02:00;519000000
2019-06-06T00:20:00+02:00;479000000
2019-06-06T00:21:00+02:00;549000000
2019-06-06T00:22:00+02:00;934000000
2019-06-06T00:23:00+02:00;553000000
2019-06-06T00:24:00+02:00;489000000
2019-06-06T00:25:00+02:00;513000000
2019-06-06T00:26:00+02:00;537000000
2019-06-06T00:27:00+02:00;515000000
2019-06-06T00:28:00+02:00;837000000
2019-06-06T00:29:00+02:00;439000000
2019-06-06T00:30:00+02:00;630000000
2019-06-06T00:31:00+02:00;542000000
2019-06-06T00:32:00+02:00;464000000
2019-06-06T00:33:00+02:00;427000000
2019-06-06T00:34:00+02:00;427000000
2019-06-06T00:35:00+02:00;649000000
2019-06-06T00:36:00+02:00;628000000
2019-06-06T00:37:00+02:00;746000000
2019-06-06T00:38:00+02:00;429000000
2019-06-06T00:39:00+02:00;465000000
2019-06-06T00:40:00+02:00;641000000
2019-06-06T00:41:00+02:00;601000000
2019-06-06T00:42:00+02:00;542000000
2019-06-06T00:43:00+02:00;457000000
2019-06-06T00:44:00+02:00;712000000
2019-06-06T00:45:00+02:00;610000000
2019-06-06T00:46:00+02:00;729000000
2019-06-06T00:47:00+02:00;295000000
2019-06-06T00:48:00+02:00;428000000
2019-06-06T00:49:00+02:00;581000000
2019-06-06T00:50:00+02:00;780000000
2019-06-06T00:51:00+02:00;641000000
2019-06-06T00:52:00+02:00;462000000
2019-06-06T00:53:00+02:00;462000000
2019-06-06T00:54:00+02:00;550000000
2019-06-06T00:55:00+02:00;550000000
2019-06-06T00:56:00+02:00;541000000
2019-06-06T00:57:00+02:00;466000000
