Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-09-09T00:00:00+02:00;2934500000;75553570816;1156608;223232;1
2019-09-09T00:02:00+02:00;2854000000;75577688064;901632;266240;1
2019-09-09T00:04:00+02:00;2472000000;75552522240;1042432;1862144;1
2019-09-09T00:06:00+02:00;1946000000;75523686400;942592;441856;1
2019-09-09T00:08:00+02:00;2408500000;75787927552;4726272;537088;1
2019-09-09T00:10:00+02:00;2907500000;75590270976;1007616;278528;1
2019-09-09T00:12:00+02:00;2504500000;75564580864;948736;273920;1
2019-09-09T00:14:00+02:00;1924000000;75553046528;1014272;275968;1
2019-09-09T00:16:00+02:00;2880500000;75543609344;891904;218112;1
2019-09-09T00:18:00+02:00;2200500000;75580833792;985600;289792;1
2019-09-09T00:20:00+02:00;3031000000;75572969472;822272;290816;1
2019-09-09T00:22:00+02:00;1997000000;75500093440;871424;313344;1
2019-09-09T00:24:00+02:00;2843000000;75543085056;1068544;297984;1
2019-09-09T00:26:00+02:00;2858500000;75577163776;774144;230912;1
2019-09-09T00:28:00+02:00;3061000000;75636408320;886784;616960;1
2019-09-09T00:30:00+02:00;3448000000;75508482048;879616;248832;1
2019-09-09T00:32:00+02:00;2217500000;75551473664;857600;391680;1
2019-09-09T00:34:00+02:00;2282500000;75589222400;1040896;255488;1
2019-09-09T00:36:00+02:00;3137500000;75570348032;774656;613376;1
2019-09-09T00:38:00+02:00;2071500000;75526307840;779264;262656;1
2019-09-09T00:40:00+02:00;2580500000;75524210688;1176064;282624;1
2019-09-09T00:42:00+02:00;2558500000;75554619392;782336;287744;1
2019-09-09T00:44:00+02:00;2020500000;75581358080;1048576;358912;1
2019-09-09T00:46:00+02:00;2851500000;75536269312;1049088;322560;1
2019-09-09T00:48:00+02:00;1989500000;75526832128;760832;267264;1
2019-09-09T00:50:00+02:00;3361000000;75527880704;1011200;266752;1
2019-09-09T00:52:00+02:00;2535000000;75579260928;854016;206848;1
2019-09-09T00:54:00+02:00;2838000000;75536269312;932352;382464;1
2019-09-09T00:56:00+02:00;2433500000;75507957760;891392;325120;1
2019-09-09T00:58:00+02:00;2453500000;75561959424;801280;326656;1
2019-09-09T01:00:00+02:00;2856000000;75590270976;1031680;384512;1
2019-09-09T01:02:00+02:00;2193500000;75560386560;1000448;263680;1
2019-09-09T01:04:00+02:00;2531000000;75555143680;1002496;705536;1
2019-09-09T01:06:00+02:00;2226000000;75566678016;874496;403968;1
2019-09-09T01:08:00+02:00;2927500000;75833540608;3890688;723968;1
2019-09-09T01:10:00+02:00;2505500000;75504287744;1067008;344576;1
2019-09-09T01:12:00+02:00;1816500000;75524210688;892416;309760;1
2019-09-09T01:14:00+02:00;3383000000;75559862272;1069056;276992;1
2019-09-09T01:16:00+02:00;2221500000;75598659584;925696;327168;1
2019-09-09T01:18:00+02:00;2461000000;75518443520;842240;230912;1
2019-09-09T01:20:00+02:00;2522000000;75522637824;2422784;347648;1
2019-09-09T01:22:00+02:00;2527500000;75562483712;776192;273408;1
2019-09-09T01:24:00+02:00;2341000000;75599183872;976384;193024;1
2019-09-09T01:26:00+02:00;1897000000;75559337984;942080;301568;1
2019-09-09T01:28:00+02:00;1870000000;75564580864;786432;215552;1
2019-09-09T01:30:00+02:00;2940000000;75560910848;1061376;283136;1
2019-09-09T01:32:00+02:00;1957500000;75581882368;1024000;304640;1
2019-09-09T01:34:00+02:00;2980500000;75545706496;1005056;305152;1
2019-09-09T01:36:00+02:00;1951500000;75536269312;828928;289280;1
2019-09-09T01:38:00+02:00;1916000000;75566153728;790016;209408;1
2019-09-09T01:40:00+02:00;3180000000;75589222400;1058304;282112;1
2019-09-09T01:42:00+02:00;2899000000;75565629440;939008;286720;1
2019-09-09T01:44:00+02:00;2356000000;75526307840;1015808;308736;1
2019-09-09T01:46:00+02:00;3033500000;75572969472;969216;644096;1
2019-09-09T01:48:00+02:00;2370000000;75602853888;832000;265728;1
2019-09-09T01:50:00+02:00;2708000000;75551997952;1058304;334336;1
2019-09-09T01:52:00+02:00;1999000000;75534172160;766976;221696;1
2019-09-09T01:54:00+02:00;2895000000;75552522240;1133568;348672;1
2019-09-09T01:56:00+02:00;1991000000;75589746688;892416;267264;1
2019-09-09T01:58:00+02:00;2026500000;75553570816;754176;279552;1
2019-09-09T02:00:00+02:00;2559500000;75522637824;1119744;400384;1
2019-09-09T02:02:00+02:00;2085000000;75538890752;844288;311296;1
2019-09-09T02:04:00+02:00;2860000000;75588698112;944640;257024;1
2019-09-09T02:06:00+02:00;2007000000;75542560768;884224;462848;1
2019-09-09T02:08:00+02:00;2832500000;75759616000;814592;355840;1
2019-09-09T02:10:00+02:00;2910500000;75788451840;2785280;215653376;1
2019-09-09T02:12:00+02:00;3063500000;75825152000;813568;350720;1
2019-09-09T02:14:00+02:00;2716500000;75822530560;3139072;226218496;1
2019-09-09T02:16:00+02:00;2407000000;75795267584;1093632;423424;1
2019-09-09T02:18:00+02:00;2056000000;75806277632;895488;296448;1
2019-09-09T02:20:00+02:00;2896500000;75847696384;2795520;225076736;1
2019-09-09T02:22:00+02:00;2571000000;75836162048;769024;272384;1
2019-09-09T02:24:00+02:00;1664000000;75741790208;3005952;228860928;1
2019-09-09T02:26:00+02:00;2671000000;75808374784;884224;1367552;1
2019-09-09T02:28:00+02:00;2872000000;75802607616;834560;376320;1
2019-09-09T02:30:00+02:00;2600500000;75814666240;2990592;227461120;1
2019-09-09T02:32:00+02:00;2479500000;75741790208;749056;295936;1
2019-09-09T02:34:00+02:00;1994000000;75773771776;2968064;227699200;1
2019-09-09T02:36:00+02:00;2817500000;75793170432;806912;346112;1
2019-09-09T02:38:00+02:00;2912500000;75841404928;771584;357376;1
2019-09-09T02:40:00+02:00;2625500000;75738120192;2936320;230618624;1
2019-09-09T02:42:00+02:00;2835000000;75767480320;889856;314880;1
2019-09-09T02:44:00+02:00;2028500000;75823054848;8485888;209826816;1
2019-09-09T02:46:00+02:00;3025500000;75873386496;899072;312320;1
2019-09-09T02:48:00+02:00;2020000000;75745984512;787968;239616;1
2019-09-09T02:50:00+02:00;2436000000;75762237440;2915328;229332480;1
2019-09-09T02:52:00+02:00;2046500000;75791597568;646656;351232;1
2019-09-09T02:54:00+02:00;1946000000;75821481984;2904064;230475264;1
2019-09-09T02:56:00+02:00;2660000000;75751227392;885760;480768;1
2019-09-09T02:58:00+02:00;1818000000;75767480320;747520;262144;1
2019-09-09T03:00:00+02:00;2875000000;75771150336;3125760;232447488;1
2019-09-09T03:02:00+02:00;3267000000;75856084992;910848;317440;1
2019-09-09T03:04:00+02:00;1641000000;75754373120;3181056;233001984;1
2019-09-09T03:06:00+02:00;2911500000;75765907456;800768;840704;1
2019-09-09T03:08:00+02:00;2208000000;75804180480;863232;271872;1
2019-09-09T03:10:00+02:00;2890000000;75831443456;7744000;233045504;1
2019-09-09T03:12:00+02:00;2196500000;75835637760;782848;380416;1
2019-09-09T03:14:00+02:00;1800500000;75761713152;3147264;232862208;1
