Time;dsi-openmanage: CPU usage;IF-MSSQL-TESTS: CPU usage;PCT-QRC-TEAM: CPU usage;MATEIS-CHIMITHEQUE: CPU usage;MSIF2018-WEB: CPU usage;MSIF2018-MID: CPU usage;CETHIL-FLEXLM2: CPU usage;HEBERGEMENTS: CPU usage;MOUVINSA-PRIV: CPU usage;MOUVINSA: CPU usage;TC-NET3: CPU usage
2019-06-06T12:00:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T12:01:00+02:00;334000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:02:00+02:00;93000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:03:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:04:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:05:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T12:06:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:07:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:08:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:09:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T12:10:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:11:00+02:00;55000000;0;0;0;0;0;0;0;0;0;0
2019-06-06T12:12:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:13:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T12:14:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:15:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:16:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:17:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:18:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:19:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:20:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:21:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:22:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:23:00+02:00;74000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T12:24:00+02:00;55000000;0;0;241000000;0;0;0;0;0;0;18000000
2019-06-06T12:25:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:26:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:27:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:28:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:29:00+02:00;55000000;0;0;0;0;0;260000000;0;0;0;18000000
2019-06-06T12:30:00+02:00;74000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:31:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
2019-06-06T12:32:00+02:00;55000000;0;0;0;0;0;0;0;0;0;18000000
