Time;Free disk space on C:\
2019-05-20T10:19:50+02:00;4092895232
2019-05-20T10:20:50+02:00;4688637952
2019-05-20T10:21:50+02:00;4663848960
2019-05-20T10:22:50+02:00;4663259136
2019-05-20T10:23:50+02:00;4663259136
2019-05-20T10:24:50+02:00;4663259136
2019-05-20T10:25:50+02:00;4663259136
2019-05-20T10:26:50+02:00;4663259136
2019-05-20T10:27:50+02:00;4663259136
2019-05-20T10:28:50+02:00;4974280704
2019-05-20T10:29:50+02:00;4974280704
2019-05-20T10:30:50+02:00;4974280704
2019-05-20T10:31:50+02:00;4974280704
2019-05-20T10:32:50+02:00;4974280704
2019-05-20T10:33:50+02:00;4974280704
2019-05-20T10:34:50+02:00;4974280704
2019-05-20T10:35:50+02:00;4974280704
2019-05-20T10:36:50+02:00;4974280704
2019-05-20T10:37:50+02:00;4974280704
2019-05-20T10:38:50+02:00;4974280704
2019-05-20T10:39:50+02:00;4974280704
2019-05-20T10:40:50+02:00;4974280704
2019-05-20T10:41:50+02:00;4974280704
2019-05-20T10:42:50+02:00;4974280704
2019-05-20T10:43:50+02:00;4867952640
2019-05-20T10:44:50+02:00;4867952640
2019-05-20T10:45:50+02:00;4867952640
2019-05-20T10:46:50+02:00;4867952640
2019-05-20T10:47:50+02:00;4604846080
2019-05-20T10:48:50+02:00;4604846080
2019-05-20T10:49:50+02:00;4604846080
2019-05-20T10:50:50+02:00;4604846080
2019-05-20T10:51:50+02:00;4604846080
2019-05-20T10:52:50+02:00;4604846080
2019-05-20T10:53:50+02:00;4604846080
2019-05-20T10:54:50+02:00;4604846080
2019-05-20T10:55:50+02:00;4604846080
2019-05-20T10:56:50+02:00;4604846080
2019-05-20T10:57:50+02:00;4604846080
2019-05-20T10:58:50+02:00;4604846080
2019-05-20T10:59:50+02:00;4604846080
2019-05-20T11:00:50+02:00;4604846080
2019-05-20T11:01:50+02:00;4604846080
2019-05-20T11:02:50+02:00;4604846080
2019-05-20T11:03:50+02:00;4604846080
2019-05-20T11:04:50+02:00;4604846080
2019-05-20T11:05:50+02:00;4604846080
2019-05-20T11:06:50+02:00;4604846080
