TimeT,CPU usage,Used memory,Number of bytes received,Number of bytes transmitted,Overall status
09-07T02:52,2837500000.0,75624349696.0,864256.0,323072.0,1.0
09-07T02:54,2846500000.0,75555143680.0,2845696.0,225195008.0,1.0
09-07T02:56,2573000000.0,75562483712.0,867840.0,491520.0,1.0
09-07T02:58,2371000000.0,75581882368.0,899072.0,529920.0,1.0
09-07T03:00,3480000000.0,75581358080.0,3232768.0,230324736.0,1.0
09-07T03:02,2357000000.0,75527880704.0,817664.0,357888.0,1.0
09-07T03:04,2619000000.0,75547279360.0,3075072.0,230935040.0,1.0
09-07T03:06,3835000000.0,75585552384.0,1007616.0,848384.0,1.0
09-07T03:08,2838000000.0,75697750016.0,817664.0,268288.0,1.0
09-07T03:10,3994500000.0,75540463616.0,3091456.0,230648832.0,1.0
09-07T03:12,2576000000.0,75565105152.0,833024.0,386048.0,1.0
09-07T03:14,2923000000.0,75618058240.0,3019776.0,231056896.0,1.0
09-07T03:16,3379000000.0,75596038144.0,990208.0,507392.0,1.0
09-07T03:18,2419000000.0,75554619392.0,809984.0,262656.0,1.0
09-07T03:20,3239500000.0,75588698112.0,2947584.0,231967232.0,1.0
09-07T03:22,3012500000.0,75600232448.0,920064.0,310272.0,1.0
09-07T03:24,2503500000.0,75577163776.0,2982912.0,233115648.0,1.0
09-07T03:26,2921000000.0,75546230784.0,1026560.0,643072.0,1.0
09-07T03:28,2393500000.0,75566678016.0,814592.0,443392.0,1.0
09-07T03:30,3447000000.0,75611242496.0,3380224.0,226824704.0,1.0
09-07T03:32,2750000000.0,75611242496.0,827904.0,312832.0,1.0
09-07T03:34,2314000000.0,75542036480.0,2881536.0,234170368.0,1.0
09-07T03:36,3971000000.0,75566153728.0,940032.0,357376.0,1.0
09-07T03:38,2250000000.0,75582406656.0,754176.0,353280.0,1.0
09-07T03:40,3989000000.0,75644272640.0,2996736.0,235624960.0,1.0
09-07T03:42,2866500000.0,75619106816.0,955392.0,382976.0,1.0
09-07T03:44,2388500000.0,75569299456.0,8687616.0,223291904.0,1.0
09-07T03:46,3571000000.0,75615436800.0,937472.0,361472.0,1.0
09-07T03:48,2352500000.0,75613339648.0,870912.0,359424.0,1.0
09-07T03:50,2969000000.0,75573493760.0,3113984.0,232138752.0,1.0
09-07T03:52,2585500000.0,75559862272.0,846336.0,300032.0,1.0
09-07T03:54,2388500000.0,75587649536.0,3041792.0,236930048.0,1.0
09-07T03:56,3550000000.0,75607572480.0,862208.0,420352.0,1.0
09-07T03:58,2453500000.0,75566153728.0,910336.0,307712.0,1.0
09-07T04:00,3676000000.0,75535745024.0,3229184.0,235462144.0,1.0
09-07T04:02,2673500000.0,75559862272.0,844288.0,355328.0,1.0
09-07T04:04,3333500000.0,75590270976.0,3014144.0,233844736.0,1.0
09-07T04:06,2859500000.0,75571396608.0,959488.0,387072.0,1.0
09-07T04:08,3043000000.0,75630116864.0,962048.0,1009664.0,1.0
09-07T04:10,3758000000.0,75650039808.0,2918400.0,221564928.0,1.0
09-07T04:12,2654000000.0,75609669632.0,880128.0,336384.0,1.0
09-07T04:14,2501000000.0,75567202304.0,3084800.0,230592000.0,1.0
09-07T04:16,2929500000.0,75520016384.0,961536.0,660480.0,1.0
09-07T04:18,2271500000.0,75551997952.0,756736.0,274432.0,1.0
09-07T04:20,3118500000.0,75595513856.0,2994176.0,237761024.0,1.0
09-07T04:22,2653000000.0,75570348032.0,864256.0,401920.0,1.0
09-07T04:24,3330000000.0,75525259264.0,3001344.0,230113280.0,1.0
09-07T04:26,2534000000.0,75541512192.0,891904.0,1432064.0,1.0
09-07T04:28,3279500000.0,75599708160.0,832000.0,316416.0,1.0
09-07T04:30,2807000000.0,75562483712.0,3242496.0,239115264.0,1.0
09-07T04:32,2780000000.0,75540463616.0,802304.0,317440.0,1.0
09-07T04:34,3190000000.0,75580309504.0,2971136.0,238896128.0,1.0
09-07T04:36,2444000000.0,75654234112.0,989184.0,376320.0,1.0
09-07T04:38,2004500000.0,75553570816.0,809472.0,353280.0,1.0
09-07T04:40,2681000000.0,75526307840.0,3138048.0,237721088.0,1.0
09-07T04:42,2366000000.0,75535220736.0,917504.0,392192.0,1.0
09-07T04:44,3173000000.0,75581358080.0,1475584.0,9225216.0,1.0
09-07T04:46,2263500000.0,75612291072.0,969216.0,1240576.0,1.0
09-07T04:48,2080000000.0,75522113536.0,1375744.0,367616.0,1.0
09-07T04:50,2585500000.0,75550949376.0,945152.0,8286720.0,1.0
09-07T04:52,2380500000.0,75588173824.0,967168.0,316416.0,1.0
09-07T04:54,3641000000.0,75578736640.0,3966976.0,7969280.0,1.0
09-07T04:56,2063000000.0,75549376512.0,915968.0,364032.0,1.0
09-07T04:58,3476500000.0,75564580864.0,1375744.0,364032.0,1.0
09-07T05:00,3156500000.0,75597086720.0,950272.0,7554048.0,1.0
09-07T05:02,2533000000.0,75580833792.0,828928.0,240640.0,1.0
09-07T05:04,2725000000.0,75530502144.0,1618944.0,23436800.0,1.0
09-07T05:06,2235000000.0,75559337984.0,1033728.0,5180928.0,1.0
09-07T05:08,2786000000.0,75712954368.0,3014144.0,346112.0,1.0
09-07T05:10,3195000000.0,75571396608.0,1572864.0,23350272.0,1.0
09-07T05:12,2492500000.0,75533647872.0,820736.0,327680.0,1.0
09-07T05:14,3123500000.0,75574542336.0,1475584.0,23398400.0,1.0
09-07T05:16,2287500000.0,75591843840.0,1022464.0,260096.0,1.0
09-07T05:18,2926500000.0,75568775168.0,741376.0,414720.0,1.0
09-07T05:20,2838000000.0,75540463616.0,1671680.0,22476288.0,1.0
09-07T05:22,3313000000.0,75589222400.0,820736.0,306688.0,1.0
09-07T05:24,3160000000.0,75644272640.0,1341952.0,23121408.0,1.0
09-07T05:26,2681500000.0,75619106816.0,1065472.0,22093824.0,1.0
09-07T05:28,2306500000.0,75538890752.0,829440.0,311808.0,1.0
09-07T05:30,2921000000.0,75558289408.0,2243072.0,43273216.0,1.0
09-07T05:32,2420500000.0,75581358080.0,838656.0,617472.0,1.0
09-07T05:34,3016500000.0,75619631104.0,1628672.0,353792.0,1.0
09-07T05:36,1943500000.0,75524734976.0,945152.0,21685760.0,1.0
09-07T05:38,2353500000.0,75564580864.0,787968.0,285696.0,1.0
09-07T05:40,3214500000.0,75599708160.0,1439744.0,21150720.0,1.0
