 ;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-07-05T21:00:00+02:00;9953833333;2,35954E+11;824584;13439664;1;13;5
2019-07-05T22:00:00+02:00;12673466666;2,35931E+11;713813;2683016;1;15;10
2019-07-05T23:00:00+02:00;10579216666;2,31762E+11;648618;4755473;1;14;9
2019-07-06T00:00:00+02:00;10563333333;2,25088E+11;308309;1176712;1;17;12
2019-07-06T01:00:00+02:00;9627816666;2,24925E+11;604726;17578130;1;18;14
2019-07-06T02:00:00+02:00;11320600000;2,24877E+11;4473480;23475404;1;22;24
2019-07-06T03:00:00+02:00;11401833333;2,24936E+11;2473864;22623163;1;23;36
2019-07-06T04:00:00+02:00;11056850000;2,24401E+11;4499985;16682410;1;15;30
2019-07-06T05:00:00+02:00;11263783333;2,22942E+11;5016302;4643054;1;13;8
2019-07-06T06:00:00+02:00;10402316666;2,2303E+11;3653649;1422097;1;13;10
2019-07-06T07:00:00+02:00;9717866666;2,23006E+11;5913975;6330453;1;9;5
2019-07-06T08:00:00+02:00;9764100000;2,23033E+11;7066658;5216733;1;18;4
2019-07-06T09:00:00+02:00;9939483333;2,22973E+11;2836855;10070732;1;15;6
2019-07-06T10:00:00+02:00;9019200000;2,22913E+11;5435921;19670988;1;12;10
2019-07-06T11:00:00+02:00;9085033333;2,22903E+11;6087748;25826065;1;10;4
2019-07-06T12:00:00+02:00;9305850000;2,2297E+11;17037897;25863149;1;13;3
2019-07-06T13:00:00+02:00;9487666666;2,22974E+11;2521088;5088563;1;12;2
2019-07-06T14:00:00+02:00;8692000000;2,23013E+11;9446724;8598135;1;11;6
2019-07-06T15:00:00+02:00;9351616666;2,23016E+11;1014033;8740761;1;11;5
2019-07-06T16:00:00+02:00;14150500000;2,23005E+11;572155;1707337;1;10;5
2019-07-06T17:00:00+02:00;12997516666;2,23023E+11;364202;780424;1;10;4
2019-07-06T18:00:00+02:00;13137800000;2,23042E+11;394888;3002419;1;11;9
2019-07-06T19:00:00+02:00;12715700000;2,23058E+11;319641;822493;1;8;6
2019-07-06T20:00:00+02:00;13311850000;2,23041E+11;365533;1835008;1;10;2
2019-07-06T21:00:00+02:00;13178516666;2,23117E+11;376346;12108747;1;9;10
2019-07-06T22:00:00+02:00;13235096153;2,23083E+11;377354;894694;1;11;14
2019-07-06T23:00:00+02:00;null;null;null;null;null;0;0
2019-07-07T00:00:00+02:00;null;null;null;null;null;0;0
2019-07-07T01:00:00+02:00;13263739130;2,2302E+11;624733;22209442;1;14;15
2019-07-07T02:00:00+02:00;14857616666;2,21282E+11;3096098;24550604;1;10;42
2019-07-07T03:00:00+02:00;13192283333;2,20725E+11;541219;17597492;1;14;16
2019-07-07T04:00:00+02:00;13159950000;2,20736E+11;318498;2902988;1;12;42
2019-07-07T05:00:00+02:00;9991766666;2,2076E+11;230451;569275;1;9;3
2019-07-07T06:00:00+02:00;8102566666;2,20839E+11;323515;862924;1;10;10
2019-07-07T07:00:00+02:00;7170083333;2,20704E+11;270028;661794;1;9;4
2019-07-07T08:00:00+02:00;7508816666;2,20723E+11;234649;583441;1;9;5
2019-07-07T09:00:00+02:00;6993750000;2,20729E+11;236356;646604;1;9;7
2019-07-07T10:00:00+02:00;7238566666;2,20704E+11;318651;1675673;1;9;7
