 ;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status;RLATE;WLATE
2019-07-07T11:00:00+02:00;8344666666;2,24073E+11;1864072;867396;1;13;14
2019-07-07T12:00:00+02:00;8162916666;2,25063E+11;624726;2305405;1;12;3
2019-07-07T13:00:00+02:00;8326683333;2,25067E+11;399308;10163592;1;10;6
2019-07-07T14:00:00+02:00;8098133333;2,28977E+11;2493787;742226;1;13;5
2019-07-07T15:00:00+02:00;8601666666;2,28287E+11;1277525;5842329;1;12;3
2019-07-07T16:00:00+02:00;8752616666;2,22266E+11;1358967;1007854;1;12;3
2019-07-07T17:00:00+02:00;8194533333;2,24017E+11;1417304;3390622;1;20;9
2019-07-07T18:00:00+02:00;9204150000;2,25789E+11;401698;7343462;1;21;16
2019-07-07T19:00:00+02:00;9103283333;2,21799E+11;409992;9712964;1;21;71
2019-07-07T20:00:00+02:00;9093016666;2,12942E+11;319300;1545420;1;35;215
2019-07-07T21:00:00+02:00;8921900000;2,13013E+11;373947;10814720;1;17;7
2019-07-07T22:00:00+02:00;9054250000;2,1306E+11;308002;1343897;1;20;10
2019-07-07T23:00:00+02:00;8958533333;2,15933E+11;716100;2503731;1;13;6
2019-07-08T00:00:00+02:00;9647666666;2,20015E+11;265881;834048;1;20;10
2019-07-08T01:00:00+02:00;9343566666;2,19945E+11;557346;17307989;1;17;9
2019-07-08T02:00:00+02:00;10982566666;2,18467E+11;4439705;20172270;1;15;14
2019-07-08T03:00:00+02:00;9730966666;2,15613E+11;636459;17411644;1;17;27
2019-07-08T04:00:00+02:00;9973433333;2,15599E+11;418252;4241664;1;20;35
2019-07-08T05:00:00+02:00;10437250000;2,15573E+11;295901;600268;1;14;5
2019-07-08T06:00:00+02:00;11061550000;2,15607E+11;401544;819080;1;18;5
2019-07-08T07:00:00+02:00;8454950000;2,15581E+11;809591;2164940;1;14;6
2019-07-08T08:00:00+02:00;11026016666;2,15545E+11;907673;1723801;1;15;5
2019-07-08T09:00:00+02:00;11887550000;2,15568E+11;1000123;2100974;1;23;15
2019-07-08T10:00:00+02:00;12589300000;2,1561E+11;966707;2614306;1;23;14
2019-07-08T11:00:00+02:00;11172633333;2,1569E+11;1186491;2227609;1;22;18
2019-07-08T12:00:00+02:00;12106700000;2,15771E+11;1984963;2656308;1;20;6
2019-07-08T13:00:00+02:00;10628016666;2,1557E+11;1562502;37991424;1;19;9
2019-07-08T14:00:00+02:00;11333266666;2,12566E+11;2461627;73680162;1;24;13
2019-07-08T15:00:00+02:00;12365666666;2,08694E+11;854852;4329113;1;19;9
2019-07-08T16:00:00+02:00;12359183333;2,08493E+11;750557;1612800;1;21;12
2019-07-08T17:00:00+02:00;9473066666;2,08548E+11;536645;2594798;1;14;5
2019-07-08T18:00:00+02:00;11603683333;2,08631E+11;469616;2354054;1;21;13
2019-07-08T19:00:00+02:00;8379583333;2,10466E+11;1241804;2703479;1;14;19
2019-07-08T20:00:00+02:00;8661133333;2,12891E+11;366370;1077521;1;16;5
2019-07-08T21:00:00+02:00;8273500000;2,1291E+11;556117;11069764;1;14;11
2019-07-08T22:00:00+02:00;11339300000;2,11745E+11;904550;6509056;1;20;8
2019-07-08T23:00:00+02:00;8897350000;2,06352E+11;429653;1318792;1;14;10
2019-07-09T00:00:00+02:00;8976133333;2,06433E+11;410988;1357285;1;16;12
2019-07-09T01:00:00+02:00;8803200000;2,06345E+11;715140;19345460;1;13;10
2019-07-09T02:00:00+02:00;10664500000;2,0637E+11;4824752;21539204;1;17;27
2019-07-09T03:00:00+02:00;9120316666;2,06334E+11;503552;11351210;1;19;23
2019-07-09T04:00:00+02:00;11742516666;2,06956E+11;388130;1544362;1;19;33
2019-07-09T05:00:00+02:00;11886800000;2,04099E+11;411821;5063870;1;14;11
2019-07-09T06:00:00+02:00;8524166666;2,03627E+11;651639;2193203;1;17;15
2019-07-09T07:00:00+02:00;8353183333;2,03543E+11;588322;1687005;1;16;3
2019-07-09T08:00:00+02:00;9944183333;2,0355E+11;926907;2119099;1;18;13
2019-07-09T09:00:00+02:00;11068333333;2,03844E+11;1282065;16930850;1;19;10
2019-07-09T10:00:00+02:00;11200733333;2,03839E+11;1511065;41951266;1;18;10
2019-07-09T11:00:00+02:00;10598600000;2,03796E+11;1864379;58039005;1;20;9
2019-07-09T12:00:00+02:00;9600383333;2,03996E+11;1572603;48569274;1;15;6
2019-07-09T13:00:00+02:00;9545516666;2,00967E+11;732381;11012539;1;17;15
2019-07-09T14:00:00+02:00;9777366666;1,95449E+11;616016;1593703;1;18;8
2019-07-09T15:00:00+02:00;9370400000;1,9513E+11;870604;7315950;1;18;27
2019-07-09T16:00:00+02:00;10914600000;1,94784E+11;1123191;7510084;1;19;7
2019-07-09T17:00:00+02:00;8020566666;1,9478E+11;558011;1844138;1;17;9
2019-07-09T18:00:00+02:00;7069383333;1,94716E+11;485289;1026134;1;16;5
2019-07-09T19:00:00+02:00;7049983333;1,94718E+11;497817;1698662;1;18;5
2019-07-09T20:00:00+02:00;7328633333;1,99986E+11;4834133;1445222;1;14;15
2019-07-09T21:00:00+02:00;7177916666;2,00716E+11;964386;4471466;1;19;5
2019-07-09T22:00:00+02:00;9892666666;2,00637E+11;422894;3545036;1;14;6
2019-07-09T23:00:00+02:00;7844933333;2,00689E+11;373469;1205828;1;12;16
2019-07-10T00:00:00+02:00;8672800000;2,00769E+11;459963;1835349;1;20;12
2019-07-10T01:00:00+02:00;8635566666;2,0073E+11;662818;19057595;1;19;11
2019-07-10T02:00:00+02:00;9565883333;2,00773E+11;5326865;19080874;1;17;13
2019-07-10T03:00:00+02:00;8787133333;2,00768E+11;519918;2423398;1;17;55
2019-07-10T04:00:00+02:00;8630300000;2,00799E+11;280090;1768187;1;15;39
2019-07-10T05:00:00+02:00;9040966666;2,01012E+11;1900526;3028036;1;14;8
2019-07-10T06:00:00+02:00;8333450000;2,03158E+11;985548;719138;1;17;10
2019-07-10T07:00:00+02:00;8190783333;2,03505E+11;979447;905944;1;16;6
2019-07-10T08:00:00+02:00;11034400000;2,00663E+11;1132844;1938432;1;18;14
2019-07-10T09:00:00+02:00;10953333333;1,9784E+11;1764316;46604711;1;20;53
2019-07-10T10:00:00+02:00;9587800000;1,96304E+11;1956369;59635217;1;20;9
2019-07-10T11:00:00+02:00;9493500000;1,92149E+11;1208785;23827456;1;20;11
2019-07-10T12:00:00+02:00;10669983333;1,86774E+11;1239786;31083224;1;17;4
2019-07-10T13:00:00+02:00;12040766666;1,81582E+11;1402279;26632386;1;16;4
2019-07-10T14:00:00+02:00;11746050000;1,76751E+11;1134114;29247880;1;10;6
2019-07-10T15:00:00+02:00;9557116666;1,7422E+11;1281928;29670638;1;14;7
2019-07-10T16:00:00+02:00;11838050000;1,72245E+11;1133209;26195524;1;15;18
2019-07-10T17:00:00+02:00;7019466666;1,72301E+11;781400;14417672;1;11;8
2019-07-10T18:00:00+02:00;11187916666;1,72316E+11;461753;1577595;1;18;25
2019-07-10T19:00:00+02:00;6173500000;1,7217E+11;316849;825170;1;11;3
2019-07-10T20:00:00+02:00;7100700000;1,72186E+11;309213;1561429;1;10;7
2019-07-10T21:00:00+02:00;6162100000;1,72205E+11;366250;5424981;1;10;6
2019-07-10T22:00:00+02:00;8845783333;1,72268E+11;313890;3149021;1;10;20
2019-07-10T23:00:00+02:00;6363550000;1,73986E+11;1809355;2877301;1;8;9
2019-07-11T00:00:00+02:00;7577383333;1,74785E+11;312320;5366731;1;14;11
2019-07-11T01:00:00+02:00;7063466666;1,74642E+11;553540;15664571;1;11;15
2019-07-11T02:00:00+02:00;9008266666;1,7472E+11;3734067;19458867;1;13;23
2019-07-11T03:00:00+02:00;10514116666;1,7721E+11;317509;2915102;1;13;16
2019-07-11T04:00:00+02:00;8562900000;1,77547E+11;337681;4372514;1;12;38
2019-07-11T05:00:00+02:00;10170733333;1,74988E+11;309094;2798318;1;11;7
2019-07-11T06:00:00+02:00;7535483333;1,73236E+11;337032;840055;1;13;21
2019-07-11T07:00:00+02:00;6935366666;1,72813E+11;333704;791278;1;11;5
2019-07-11T08:00:00+02:00;9105466666;1,7241E+11;2026632;7302365;1;12;12
2019-07-11T09:00:00+02:00;8666516666;1,70163E+11;845442;13815634;1;17;14
2019-07-11T10:00:00+02:00;7230800000;1,68258E+11;700624;5978840;1;35;22
2019-07-11T11:00:00+02:00;6848616666;1,68124E+11;561510;1415526;1;35;19
2019-07-11T12:00:00+02:00;6822366666;1,71775E+11;2533546;1500706;1;33;16
2019-07-11T13:00:00+02:00;7163266666;1,72604E+11;513475;7024466;1;37;106
2019-07-11T14:00:00+02:00;7441533333;1,72241E+11;1852586;15049489;1;40;37
2019-07-11T15:00:00+02:00;8016583333;1,71571E+11;12296413;7213875;1;28;25
2019-07-11T16:00:00+02:00;8787383333;1,71168E+11;1085730;2715750;1;23;30
2019-07-11T17:00:00+02:00;7012900000;1,71836E+11;851742;2384531;1;23;7
2019-07-11T18:00:00+02:00;6312466666;1,71982E+11;621429;7429588;1;26;9
2019-07-11T19:00:00+02:00;5675216666;1,71985E+11;362274;832409;1;19;7
2019-07-11T20:00:00+02:00;6295783333;1,71988E+11;617898;1216631;1;19;7
2019-07-11T21:00:00+02:00;5793416666;1,72025E+11;429515;15407757;1;18;6
2019-07-11T22:00:00+02:00;8843650000;1,72027E+11;476819;3770992;1;19;41
2019-07-11T23:00:00+02:00;6419716666;1,72039E+11;348350;1774713;1;27;38
2019-07-12T00:00:00+02:00;6627566666;1,7203E+11;346606;1013026;1;28;40
2019-07-12T01:00:00+02:00;6228433333;1,71864E+11;607675;21449011;1;18;35
2019-07-12T02:00:00+02:00;7486800000;1,71806E+11;4624520;24025924;1;20;27
2019-07-12T03:00:00+02:00;6760933333;1,71869E+11;548027;16986094;1;21;49
2019-07-12T04:00:00+02:00;7172683333;1,71873E+11;345309;6274884;1;21;48
2019-07-12T05:00:00+02:00;7821166666;1,71874E+11;265608;1608294;1;14;2
2019-07-12T06:00:00+02:00;5894600000;1,71889E+11;372582;840345;1;20;180
2019-07-12T07:00:00+02:00;5982033333;1,71807E+11;437994;1150819;1;24;14
2019-07-12T08:00:00+02:00;7805800000;1,70719E+11;772113;13790416;1;21;7
2019-07-12T09:00:00+02:00;10503766666;1,64812E+11;930474;13756842;1;36;15
2019-07-12T10:00:00+02:00;11489616666;1,64732E+11;1341320;32856644;1;40;9
2019-07-12T11:00:00+02:00;10451416666;1,64202E+11;1001693;18872541;1;33;12
2019-07-12T12:00:00+02:00;9390066666;1,60351E+11;749431;12684305;1;30;13
2019-07-12T13:00:00+02:00;7647033333;1,58353E+11;530500;5444608;1;17;5
2019-07-12T14:00:00+02:00;6993433333;1,58178E+11;2031667;8964983;1;30;23
2019-07-12T15:00:00+02:00;6443666666;1,50423E+11;853469;14363545;1;23;13
2019-07-12T16:00:00+02:00;6244950000;1,49566E+11;433920;1843012;1;23;67
2019-07-12T17:00:00+02:00;6890550000;1,49586E+11;474811;6100514;1;21;80
2019-07-12T18:00:00+02:00;5659483333;1,49582E+11;380569;830668;1;32;18
2019-07-12T19:00:00+02:00;5437983333;1,49565E+11;320785;1830382;1;29;12
2019-07-12T20:00:00+02:00;6245283333;1,49577E+11;269312;974387;1;16;77
2019-07-12T21:00:00+02:00;5691483333;1,49689E+11;321689;6209433;1;14;15
2019-07-12T22:00:00+02:00;8048933333;1,49711E+11;284006;857685;1;24;122
2019-07-12T23:00:00+02:00;5438300000;1,49695E+11;270438;1031987;1;15;49
2019-07-13T00:00:00+02:00;5730066666;1,49805E+11;240571;1285307;1;19;39
2019-07-13T01:00:00+02:00;6006283333;1,497E+11;492509;17638673;1;19;42
2019-07-13T02:00:00+02:00;7604083333;1,49691E+11;4299008;23085806;1;20;49
2019-07-13T03:00:00+02:00;6529366666;1,49746E+11;1575460;24128256;1;15;62
2019-07-13T04:00:00+02:00;6391433333;1,49731E+11;7130316;17359974;1;16;59
2019-07-13T05:00:00+02:00;8049466666;1,49686E+11;1423342;2067763;1;21;36
2019-07-13T06:00:00+02:00;9264483333;1,49357E+11;6963097;3367526;1;15;9
2019-07-13T07:00:00+02:00;6308116666;1,49404E+11;1445427;1149457;1;18;76
2019-07-13T08:00:00+02:00;6227683333;1,49432E+11;10229452;11259118;1;31;7
2019-07-13T09:00:00+02:00;6345650000;1,49411E+11;2136337;8997120;1;18;49
2019-07-13T10:00:00+02:00;6182966666;1,49399E+11;5824273;30127342;1;21;28
2019-07-13T11:00:00+02:00;6729833333;1,49399E+11;3534455;27602670;1;16;24
2019-07-13T12:00:00+02:00;6179733333;1,49517E+11;12496520;20204987;1;16;15
2019-07-13T13:00:00+02:00;5755866666;1,49563E+11;4433761;3564844;1;15;11
2019-07-13T14:00:00+02:00;5864533333;1,49506E+11;4669661;4063214;1;12;6
2019-07-13T15:00:00+02:00;5999566666;1,494E+11;3979451;2840524;1;17;45
2019-07-13T16:00:00+02:00;6010550000;1,49416E+11;9704499;11973273;1;16;10
2019-07-13T17:00:00+02:00;5221983333;1,49431E+11;2589064;2369245;1;13;5
2019-07-13T18:00:00+02:00;5321133333;1,49454E+11;314965;3479244;1;10;2
2019-07-13T19:00:00+02:00;5301150000;1,49429E+11;274727;726085;1;21;6
2019-07-13T20:00:00+02:00;5740633333;1,49437E+11;282624;657920;1;7;4
2019-07-13T21:00:00+02:00;5256700000;1,49459E+11;310784;3961997;1;9;3
2019-07-13T22:00:00+02:00;5302600000;1,49483E+11;291140;965461;1;13;12
2019-07-13T23:00:00+02:00;5840900000;1,49492E+11;258116;1107148;1;12;30
2019-07-14T00:00:00+02:00;5467466666;1,49566E+11;262894;924467;1;24;53
2019-07-14T01:00:00+02:00;5497400000;1,49528E+11;575283;19281408;1;18;13
2019-07-14T02:00:00+02:00;6874250000;1,49446E+11;4181845;21754692;1;12;16
2019-07-14T03:00:00+02:00;6575000000;1,49461E+11;511300;18679978;1;16;24
2019-07-14T04:00:00+02:00;5794800000;1,49476E+11;246681;1098581;1;19;67
2019-07-14T05:00:00+02:00;7899166666;1,49538E+11;248973;617048;1;18;17
2019-07-14T06:00:00+02:00;9283200000;1,49681E+11;300441;742758;1;15;10
2019-07-14T07:00:00+02:00;5511283333;1,49701E+11;244172;605184;1;17;14
2019-07-14T08:00:00+02:00;5448616666;1,49718E+11;385655;944110;1;11;21
