Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Overall status
2019-08-24T00:00:00+02:00;2417500000;75527356416;9073152;160304128;1
2019-08-24T00:02:00+02:00;2454500000;75554619392;3628544;709120;1
2019-08-24T00:04:00+02:00;2423000000;75536269312;5835264;233100288;1
2019-08-24T00:06:00+02:00;2398500000;75491180544;4387328;504832;1
2019-08-24T00:08:00+02:00;2265000000;75618058240;3928064;343552;1
2019-08-24T00:10:00+02:00;2548000000;75660001280;9179136;232809472;1
2019-08-24T00:12:00+02:00;2657000000;75507433472;4025344;324096;1
2019-08-24T00:14:00+02:00;2058000000;75486986240;6260736;217780224;1
2019-08-24T00:16:00+02:00;3464500000;75522113536;7803392;497152;1
2019-08-24T00:18:00+02:00;2414000000;75533647872;1420288;326656;1
2019-08-24T00:20:00+02:00;3062000000;75491180544;3561472;232306176;1
2019-08-24T00:22:00+02:00;2085000000;75486461952;840192;324096;1
2019-08-24T00:24:00+02:00;2647500000;75505336320;2903040;237250048;1
2019-08-24T00:26:00+02:00;2783500000;75501666304;2283520;437248;1
2019-08-24T00:28:00+02:00;2191000000;75462868992;945152;353280;1
2019-08-24T00:30:00+02:00;2117000000;75440324608;3718144;228964864;1
2019-08-24T00:32:00+02:00;2362500000;75472830464;900096;355840;1
2019-08-24T00:34:00+02:00;2288000000;75492753408;2952192;233652736;1
2019-08-24T00:36:00+02:00;2382500000;75466014720;1624064;363008;1
2019-08-24T00:38:00+02:00;1990000000;75439276032;833024;245248;1
2019-08-24T00:40:00+02:00;2503000000;75490131968;3585536;240809984;1
2019-08-24T00:42:00+02:00;3511500000;75526832128;1097728;535552;1
2019-08-24T00:44:00+02:00;2398500000;75502714880;8225792;229049344;1
2019-08-24T00:46:00+02:00;3190500000;75459198976;1505280;471552;1
2019-08-24T00:48:00+02:00;2738500000;75495374848;903680;271872;1
2019-08-24T00:50:00+02:00;2857000000;75513200640;3510784;238297600;1
2019-08-24T00:52:00+02:00;2292000000;75475451904;962560;312832;1
2019-08-24T00:54:00+02:00;2053500000;75443994624;3098624;242922496;1
2019-08-24T00:56:00+02:00;2562500000;75455004672;1579008;337408;1
2019-08-24T00:58:00+02:00;2464000000;75494850560;3783680;267264;1
2019-08-24T01:00:00+02:00;2686500000;75517919232;9914368;238374400;1
2019-08-24T01:02:00+02:00;2555500000;75452383232;3624960;268288;1
2019-08-24T01:04:00+02:00;2497000000;75482267648;5708800;243371008;1
2019-08-24T01:06:00+02:00;3435500000;75488559104;3978240;752128;1
2019-08-24T01:08:00+02:00;2473500000;75736023040;3474432;318976;1
2019-08-24T01:10:00+02:00;3410000000;75463393280;9775616;243203072;1
2019-08-24T01:12:00+02:00;2435000000;75513200640;8501760;1392128;1
2019-08-24T01:14:00+02:00;3183500000;75503763456;5662720;242589696;1
2019-08-24T01:16:00+02:00;2666500000;75495899136;1556992;465408;1
2019-08-24T01:18:00+02:00;2273500000;75448713216;960512;422912;1
2019-08-24T01:20:00+02:00;2408500000;75467587584;3274752;239029248;1
2019-08-24T01:22:00+02:00;3005000000;75539939328;902656;424448;1
2019-08-24T01:24:00+02:00;2434500000;75515297792;3013120;243835392;1
2019-08-24T01:26:00+02:00;2163000000;75455004672;1144320;429056;1
2019-08-24T01:28:00+02:00;2508500000;75478073344;954368;397312;1
2019-08-24T01:30:00+02:00;2480500000;75507957760;3707904;240977408;1
2019-08-24T01:32:00+02:00;2934500000;75545182208;1026048;326656;1
2019-08-24T01:34:00+02:00;2373000000;75481743360;2996224;241445888;1
2019-08-24T01:36:00+02:00;3411000000;75505860608;1256960;260608;1
2019-08-24T01:38:00+02:00;2305000000;75515822080;1013248;280064;1
2019-08-24T01:40:00+02:00;3209000000;75521589248;3322880;237485056;1
2019-08-24T01:42:00+02:00;2370000000;75494850560;983552;274944;1
2019-08-24T01:44:00+02:00;2215500000;75480694784;8350720;224528896;1
