Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-19T02:26:00+02:00;9548000000;1,21878E+11;727040;39705088;10,5;6
2019-07-19T02:28:00+02:00;7173000000;1,21871E+11;935424;44930048;15,5;2,5
2019-07-19T02:30:00+02:00;7804000000;1,21865E+11;906752;45488640;10;6
2019-07-19T02:32:00+02:00;9699500000;1,21866E+11;645632;29104128;7,5;4,5
2019-07-19T02:34:00+02:00;7397000000;1,21861E+11;794624;40445952;8;4,5
2019-07-19T02:36:00+02:00;7212000000;1,21857E+11;954880;48558592;8,5;11,5
2019-07-19T02:38:00+02:00;8397000000;1,21851E+11;775680;36935168;16,5;5
2019-07-19T02:40:00+02:00;5938000000;1,21846E+11;697344;38056448;9,5;7,5
2019-07-19T02:42:00+02:00;6580000000;1,21841E+11;1003520;37901824;12,5;8
2019-07-19T02:44:00+02:00;7310500000;1,2184E+11;906752;44505600;9;16
2019-07-19T02:46:00+02:00;7486500000;1,21846E+11;723968;36151296;17;9
2019-07-19T02:48:00+02:00;6398000000;1,21847E+11;633856;29246464;11,5;9,5
2019-07-19T02:50:00+02:00;7129500000;1,21847E+11;688128;31531520;12;5,5
2019-07-19T02:52:00+02:00;6852000000;1,2185E+11;619520;26262528;8,5;4,5
2019-07-19T02:54:00+02:00;7859500000;1,21849E+11;1632768;33011200;5,5;9
2019-07-19T02:56:00+02:00;6413500000;1,21852E+11;925696;40662016;8,5;5,5
2019-07-19T02:58:00+02:00;6022000000;1,21851E+11;633344;30070784;8,5;4,5
2019-07-19T03:00:00+02:00;8273500000;1,21853E+11;889344;35330560;8;9
2019-07-19T03:02:00+02:00;7893500000;1,21858E+11;764928;24486400;15,5;15
2019-07-19T03:04:00+02:00;8509000000;1,2186E+11;701952;28741632;14;13,5
2019-07-19T03:06:00+02:00;9991500000;1,21868E+11;952320;47576064;11,5;8
2019-07-19T03:08:00+02:00;9627500000;1,21868E+11;712704;28163584;13;6,5
2019-07-19T03:10:00+02:00;9420500000;1,21875E+11;710144;32496640;12;4
2019-07-19T03:12:00+02:00;9928000000;1,21866E+11;843776;31107072;12;3
2019-07-19T03:14:00+02:00;8424000000;1,21866E+11;1675776;36336640;9;19,5
2019-07-19T03:16:00+02:00;9179500000;1,21865E+11;813056;41094144;10,5;4
2019-07-19T03:18:00+02:00;9604000000;1,21862E+11;949760;47318528;14;11
2019-07-19T03:20:00+02:00;8083000000;1,21866E+11;750080;33584640;13,5;42
2019-07-19T03:22:00+02:00;6533000000;1,21869E+11;676352;28997632;11;9,5
2019-07-19T03:24:00+02:00;7682000000;1,2187E+11;671232;28255744;6,5;10,5
2019-07-19T03:26:00+02:00;5829500000;1,21876E+11;533504;21500928;7;9
2019-07-19T03:28:00+02:00;7622000000;1,21872E+11;798208;38301696;10;6
2019-07-19T03:30:00+02:00;6986000000;1,21871E+11;646656;26169344;13;7,5
2019-07-19T03:32:00+02:00;5965000000;1,21865E+11;548864;24402944;17,5;8,5
2019-07-19T03:34:00+02:00;7159000000;1,21871E+11;694272;31826432;8,5;6,5
2019-07-19T03:36:00+02:00;6311500000;1,21877E+11;783360;39585280;15,5;8
2019-07-19T03:38:00+02:00;6719000000;1,21873E+11;1051648;63379456;7,5;8
2019-07-19T03:40:00+02:00;7750500000;1,21874E+11;1155072;63794688;9,5;4
2019-07-19T03:42:00+02:00;6919500000;1,21871E+11;1028608;60698112;11;2,5
2019-07-19T03:44:00+02:00;6221000000;1,21878E+11;1289728;49943552;12,5;7,5
2019-07-19T03:46:00+02:00;7873500000;1,21874E+11;939008;53274112;15;5,5
2019-07-19T03:48:00+02:00;6965500000;1,21874E+11;1009664;45943296;14;5,5
2019-07-19T03:50:00+02:00;6857500000;1,21873E+11;584704;34295808;9;4,5
2019-07-19T03:52:00+02:00;6867500000;1,21879E+11;629760;36602880;12,5;5
2019-07-19T03:54:00+02:00;6328500000;1,21873E+11;645120;37050368;9;5,5
2019-07-19T03:56:00+02:00;6812500000;1,21869E+11;905728;58436608;10;3,5
2019-07-19T03:58:00+02:00;7258500000;1,2187E+11;210432;5210624;6,5;11,5
2019-07-19T04:00:00+02:00;6859500000;1,2185E+11;191488;3884032;5,5;7,5
2019-07-19T04:02:00+02:00;6639500000;1,21854E+11;328704;3274240;4;4
2019-07-19T04:04:00+02:00;8291500000;1,21834E+11;158208;1566720;5,5;1
2019-07-19T04:06:00+02:00;6622000000;1,21834E+11;204800;2295808;9;6
2019-07-19T04:08:00+02:00;6846000000;1,21832E+11;163328;2552832;15,5;18,5
2019-07-19T04:10:00+02:00;5599000000;1,21835E+11;142336;3385344;6,5;4
2019-07-19T04:12:00+02:00;6734500000;1,21858E+11;175616;3747328;5;3
2019-07-19T04:14:00+02:00;6421500000;1,21879E+11;241152;2890240;9,5;1
2019-07-19T04:16:00+02:00;5836500000;1,21874E+11;165888;3542016;12;6,5
2019-07-19T04:18:00+02:00;6564500000;1,21869E+11;163328;2855936;7,5;3
2019-07-19T04:20:00+02:00;6544000000;1,21866E+11;208384;2503680;8;3
2019-07-19T04:22:00+02:00;6846500000;1,21866E+11;169984;1874432;13;7
2019-07-19T04:24:00+02:00;7150000000;1,21865E+11;167424;1836032;7;1,5
2019-07-19T04:26:00+02:00;6737000000;1,21866E+11;182784;1351680;8;2
2019-07-19T04:28:00+02:00;5929000000;1,21867E+11;165888;1071104;7,5;5,5
2019-07-19T04:30:00+02:00;6104000000;1,21862E+11;159744;2000384;9,5;4,5
2019-07-19T04:32:00+02:00;8088500000;1,21864E+11;163840;1625088;10;6
2019-07-19T04:34:00+02:00;7692000000;1,21868E+11;154112;1883648;11;6
2019-07-19T04:36:00+02:00;8409000000;1,21863E+11;164864;1221632;13;6
2019-07-19T04:38:00+02:00;7750500000;1,21868E+11;211968;1181696;13;9
2019-07-19T04:40:00+02:00;7810000000;1,21877E+11;181248;1350144;13;8
2019-07-19T04:42:00+02:00;8342000000;1,21884E+11;154624;1359360;7,5;10
2019-07-19T04:44:00+02:00;6773000000;1,21886E+11;158208;1908736;9,5;6,5
2019-07-19T04:46:00+02:00;6053500000;1,21893E+11;164864;936448;18,5;6,5
2019-07-19T04:48:00+02:00;6402500000;1,21885E+11;146944;1016320;9,5;8
2019-07-19T04:50:00+02:00;5520000000;1,21886E+11;171008;1178112;7,5;4,5
2019-07-19T04:52:00+02:00;5955000000;1,21885E+11;343040;18947072;8;28,5
2019-07-19T04:54:00+02:00;6361500000;1,21886E+11;109568;165888;3,5;27
2019-07-19T04:56:00+02:00;6584500000;1,21891E+11;1054720;318976;6;1
2019-07-19T04:58:00+02:00;5620000000;1,21887E+11;181248;259584;5;0
2019-07-19T05:00:00+02:00;4944000000;1,21884E+11;143360;149504;9,5;3
2019-07-19T05:02:00+02:00;9888500000;1,21879E+11;341504;407552;6;4,5
2019-07-19T05:04:00+02:00;9860500000;1,21858E+11;241152;486912;10;0
2019-07-19T05:06:00+02:00;8533500000;1,21845E+11;123904;181248;7,5;4,5
2019-07-19T05:08:00+02:00;8960000000;1,21844E+11;298496;367104;7;2
2019-07-19T05:10:00+02:00;8557000000;1,2185E+11;145920;190464;8;3
2019-07-19T05:12:00+02:00;10344000000;1,21853E+11;135680;193536;9;16
2019-07-19T05:14:00+02:00;7958000000;1,21852E+11;167936;699904;8;2
2019-07-19T05:16:00+02:00;7774500000;1,21852E+11;171008;445440;11;1,5
2019-07-19T05:18:00+02:00;10251000000;1,21857E+11;125440;169472;8,5;1,5
2019-07-19T05:20:00+02:00;8033500000;1,21855E+11;152064;252416;10,5;9,5
2019-07-19T05:22:00+02:00;6257500000;1,21852E+11;161792;235520;6,5;2,5
2019-07-19T05:24:00+02:00;4675000000;1,21852E+11;139776;204288;8;10,5
2019-07-19T05:26:00+02:00;5919000000;1,21852E+11;153088;437248;7,5;3,5
2019-07-19T05:28:00+02:00;6041500000;1,21853E+11;213504;446976;15,5;14
2019-07-19T05:30:00+02:00;7152500000;1,21854E+11;118272;197632;9,5;2,5
2019-07-19T05:32:00+02:00;6749000000;1,21853E+11;126976;320512;10;2,5
2019-07-19T05:34:00+02:00;7298500000;1,21853E+11;236032;316928;8;1,5
2019-07-19T05:36:00+02:00;5353500000;1,21868E+11;145920;254464;8;4
2019-07-19T05:38:00+02:00;6520500000;1,21856E+11;152576;387072;5,5;2,5
2019-07-19T05:40:00+02:00;6102500000;1,21867E+11;222208;404992;9,5;5
2019-07-19T05:42:00+02:00;5639000000;1,21856E+11;145408;160768;9;2
2019-07-19T05:44:00+02:00;6522000000;1,21855E+11;123904;599040;8;10,5
2019-07-19T05:46:00+02:00;7564500000;1,21839E+11;204288;307200;15;5,5
2019-07-19T05:48:00+02:00;6550500000;1,2183E+11;163328;197632;8,5;4,5
2019-07-19T05:50:00+02:00;6019500000;1,21822E+11;128512;119808;7;5,5
2019-07-19T05:52:00+02:00;5793500000;1,21789E+11;178688;525824;2;18
2019-07-19T05:54:00+02:00;6964500000;1,2178E+11;150528;316416;6,5;1,5
2019-07-19T05:56:00+02:00;5959000000;1,2175E+11;282624;207360;6;3,5
2019-07-19T05:58:00+02:00;5974000000;1,21744E+11;164352;316416;10,5;1,5
2019-07-19T06:00:00+02:00;5916500000;1,21722E+11;182272;20227584;3;1
2019-07-19T06:02:00+02:00;7904000000;1,21797E+11;315904;20469760;7,5;3,5
2019-07-19T06:04:00+02:00;6760500000;1,218E+11;150528;340992;8;1,5
2019-07-19T06:06:00+02:00;7466500000;1,21803E+11;266240;337920;8;2
2019-07-19T06:08:00+02:00;6684000000;1,21789E+11;168448;207360;7,5;1,5
2019-07-19T06:10:00+02:00;6021500000;1,21783E+11;196096;353280;8;3
2019-07-19T06:12:00+02:00;5365000000;1,21783E+11;204800;352256;8,5;116,5
2019-07-19T06:14:00+02:00;7150000000;1,21783E+11;126976;217600;6;3,5
2019-07-19T06:16:00+02:00;6771000000;1,21783E+11;165376;288768;8,5;2
2019-07-19T06:18:00+02:00;6338500000;1,21779E+11;196096;319488;11,5;3,5
2019-07-19T06:20:00+02:00;6224000000;1,21774E+11;155136;249344;7;8,5
2019-07-19T06:22:00+02:00;6686500000;1,21773E+11;154112;222208;6,5;2,5
2019-07-19T06:24:00+02:00;6537500000;1,21774E+11;177664;396288;9;1,5
2019-07-19T06:26:00+02:00;6332000000;1,21773E+11;271360;560640;9;6
2019-07-19T06:28:00+02:00;6045000000;1,21774E+11;130048;221184;9;4
2019-07-19T06:30:00+02:00;7952000000;1,21774E+11;195584;266752;8,5;9,5
2019-07-19T06:32:00+02:00;6086500000;1,21775E+11;282624;590848;12;7
2019-07-19T06:34:00+02:00;6660500000;1,21775E+11;135168;461824;10,5;49,5
2019-07-19T06:36:00+02:00;6862000000;1,21779E+11;148992;570880;9,5;1
2019-07-19T06:38:00+02:00;6211000000;1,21776E+11;211456;435712;8,5;1,5
