Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-07-20T00:00:00+02:00;6995000000;1,17698E+11;928768;4658176;6,5;4
2019-07-20T00:02:00+02:00;7558000000;1,17694E+11;165888;2396160;19;12
2019-07-20T00:04:00+02:00;7016500000;1,17681E+11;151552;765952;17;9
2019-07-20T00:06:00+02:00;5410000000;1,17647E+11;165376;3683328;11,5;6,5
2019-07-20T00:08:00+02:00;6476500000;1,17558E+11;173568;3596800;15;8,5
2019-07-20T00:10:00+02:00;7644000000;1,17559E+11;164352;3127808;45,5;87
2019-07-20T00:12:00+02:00;5928000000;1,17586E+11;154624;2328064;47,5;133
2019-07-20T00:14:00+02:00;8204500000;1,17632E+11;152064;2063872;89,5;256,5
2019-07-20T00:16:00+02:00;6015000000;1,17632E+11;115712;491520;18;74
2019-07-20T00:18:00+02:00;5916500000;1,17635E+11;154624;239104;22;130
2019-07-20T00:20:00+02:00;4435000000;1,17642E+11;156160;384000;17,5;134,5
2019-07-20T00:22:00+02:00;6868500000;1,17636E+11;181248;448512;38,5;77,5
2019-07-20T00:24:00+02:00;6750000000;1,17635E+11;145920;317952;38;68,5
2019-07-20T00:26:00+02:00;5037000000;1,17638E+11;168448;429568;11;39,5
2019-07-20T00:28:00+02:00;5551500000;1,17639E+11;178688;387072;6,5;6,5
2019-07-20T00:30:00+02:00;5656500000;1,17641E+11;156672;299008;11;1
2019-07-20T00:32:00+02:00;6137500000;1,17642E+11;179200;437248;8;3
2019-07-20T00:34:00+02:00;5859500000;1,17637E+11;160768;381440;5;6
2019-07-20T00:36:00+02:00;6394500000;1,17642E+11;153600;266752;8;5,5
2019-07-20T00:38:00+02:00;6030000000;1,17644E+11;225280;408576;15,5;6
2019-07-20T00:40:00+02:00;4945000000;1,17651E+11;177664;299008;8;7
2019-07-20T00:42:00+02:00;5902500000;1,1764E+11;176128;835072;6,5;2,5
2019-07-20T00:44:00+02:00;6037500000;1,1765E+11;151552;353280;5,5;3
2019-07-20T00:46:00+02:00;6998500000;1,17648E+11;137216;276480;9;6
2019-07-20T00:48:00+02:00;5073000000;1,17648E+11;274432;374272;7;4
2019-07-20T00:50:00+02:00;7087500000;1,17658E+11;279040;416256;7,5;7,5
2019-07-20T00:52:00+02:00;6736000000;1,1765E+11;163328;630784;6;3,5
2019-07-20T00:54:00+02:00;6156500000;1,17649E+11;136192;215040;4,5;4,5
2019-07-20T00:56:00+02:00;5354000000;1,17652E+11;129536;291328;6;2,5
2019-07-20T00:58:00+02:00;6472500000;1,17652E+11;143872;223232;6,5;2,5
2019-07-20T01:00:00+02:00;6865000000;1,17664E+11;219136;212992;7,5;2
2019-07-20T01:02:00+02:00;7403000000;1,17658E+11;423424;15577088;11,5;13
2019-07-20T01:04:00+02:00;5099000000;1,17651E+11;381440;17397760;10;8,5
2019-07-20T01:06:00+02:00;5909500000;1,17641E+11;451072;22639616;13;4,5
2019-07-20T01:08:00+02:00;6384500000;1,17619E+11;437248;20308992;13,5;5
2019-07-20T01:10:00+02:00;6919500000;1,17599E+11;421888;19005440;7,5;5,5
