Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T00:32:00+02:00;12589000000;2,25E+11;5592064;5842432;3;0;0,5;0;0;7;1;0;2;0;1;0,5
2019-06-27T00:34:00+02:00;10414000000;2,25E+11;4825088;5331968;5,5;0;1;0;0;6,5;0;0;1;0;1;0
2019-06-27T00:36:00+02:00;9201500000;2,25E+11;3442176;3969024;6;0;1;0;0;7;0,5;0;4;0;1,5;0,5
2019-06-27T00:38:00+02:00;8879000000;2,25E+11;2281472;2536448;6;0;1,5;0;0;5,5;0;0,5;1;0;1;0
2019-06-27T00:40:00+02:00;9932500000;2,25E+11;4221440;4824576;8,5;0;0;0;3,5;6,5;0,5;0,5;6;2;1,5;0,5
2019-06-27T00:42:00+02:00;9594000000;2,25E+11;3568640;4151296;8;0;0;0;1;6;0;0,5;0,5;1,5;2;0
2019-06-27T00:44:00+02:00;8237000000;2,25E+11;2969088;3534848;2,5;0;1;0;8,5;5,5;0,5;0,5;1;0;1;0
2019-06-27T00:46:00+02:00;9373500000;2,25E+11;2779136;2550272;12;0;1;0;1,5;10;5;1;6;4;5;1
2019-06-27T00:48:00+02:00;8388000000;2,25E+11;1705472;1948672;1,5;0;1;0;0;7;0,5;1,5;0,5;0;1;0
2019-06-27T00:50:00+02:00;8263500000;2,25E+11;2249216;1977856;0;0;1;0;0;4,5;0;1;2;0;2;0,5
2019-06-27T00:52:00+02:00;10321000000;2,25E+11;2271232;2379776;4,5;2,5;2;0;0;4,5;0;1;1,5;0;2,5;0,5
2019-06-27T00:54:00+02:00;7628500000;2,25E+11;2970112;4635648;0;1;0,5;0;2;5,5;0;0,5;1;0,5;0,5;0
2019-06-27T00:56:00+02:00;8900500000;2,25E+11;4047872;3985920;3,5;0;0,5;0;2,5;3;1,5;4;2,5;0;1,5;5
2019-06-27T00:58:00+02:00;7590500000;2,25E+11;3987968;4367872;3,5;0;0,5;0;0;4,5;0,5;0;1;0;0,5;0
2019-06-27T01:00:00+02:00;12049500000;2,25E+11;5260288;20267520;3,5;0;0;0;1;4;0;0;1;0;0;2,5
2019-06-27T01:02:00+02:00;12096000000;2,25E+11;5711872;25553920;1,5;4;0,5;0;0;11;4,5;4,5;5,5;7,5;15,5;3
2019-06-27T01:04:00+02:00;13504500000;2,25E+11;4373504;25716224;3;0;1;0;0;7,5;2;0;2,5;0;2;3
2019-06-27T01:06:00+02:00;10057000000;2,25E+11;3350528;25145344;1,5;0;1;0;0;11,5;5,5;1,5;5,5;0;6,5;5
2019-06-27T01:08:00+02:00;8511500000;2,25E+11;3107328;22136832;0;1;2;4,5;0,5;5,5;1;0;1,5;0;1;0,5
2019-06-27T01:10:00+02:00;9200000000;2,25E+11;7735296;25029120;0;0;1;0;0,5;6;1;0,5;1;0;1;1
