Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;Average read latency of the datastore LUN_080;Average read latency of the datastore LUN_081;Average read latency of the datastore LUN_082;Average read latency of the datastore LUN_083;Average read latency of the datastore LUN_084;Average read latency of the datastore LUN_085;Average write latency of the datastore LUN_080;Average write latency of the datastore LUN_081;Average write latency of the datastore LUN_082;Average write latency of the datastore LUN_083;Average write latency of the datastore LUN_084;Average write latency of the datastore LUN_085
2019-06-27T05:58:00+02:00;6048500000;2,25E+11;858112;633856;5;2,5;0,5;0;0;6,5;0,5;0;2;0;0,5;0
2019-06-27T06:00:00+02:00;9383500000;2,25E+11;528384;275968;6;6;20;0;3;5,5;1;0,5;1,5;0;14;1
2019-06-27T06:02:00+02:00;10424000000;2,25E+11;994304;490496;4,5;0;0,5;0;0;6;1,5;2,5;1,5;1;1,5;0
2019-06-27T06:04:00+02:00;8892500000;2,25E+11;562176;609280;6;1;2;0;4,5;7;0,5;0,5;1;0;0,5;0,5
2019-06-27T06:06:00+02:00;8188500000;2,25E+11;1001984;860672;10;1;1,5;0;3,5;20;2;32,5;4;0;3;6
2019-06-27T06:08:00+02:00;8090000000;2,25E+11;1101312;825344;4,5;0;1;1,5;0;4;0,5;0;0,5;0;1,5;0,5
2019-06-27T06:10:00+02:00;7086000000;2,25E+11;596480;548352;5,5;1,5;0,5;1,5;0;1;1;0;4;0;1;2,5
2019-06-27T06:12:00+02:00;6284500000;2,25E+11;904192;568320;8;0;2;0;0;8,5;1,5;0;2,5;0,5;2;2
2019-06-27T06:14:00+02:00;9117500000;2,25E+11;499712;583168;5;0;0;2;0;4;0;0;1,5;0;1;0,5
2019-06-27T06:16:00+02:00;5309000000;2,25E+11;773120;646144;7;1;0,5;6;0;3,5;2;0;1;0;6,5;1,5
2019-06-27T06:18:00+02:00;6716500000;2,25E+11;1044480;637440;3;0;1;0;0;2;0;0;1;0;1;2,5
2019-06-27T06:20:00+02:00;7141500000;2,25E+11;391168;711680;6;0;0,5;0;0,5;4,5;0;1;1,5;0;1;0
2019-06-27T06:22:00+02:00;7812000000;2,25E+11;1073152;448512;3;1,5;1;0;0;6,5;6,5;0;1,5;0;3;1,5
2019-06-27T06:24:00+02:00;7078000000;2,25E+11;574976;7866368;5,5;0;0,5;0;0;5;3,5;5,5;9;0;10;3
2019-06-27T06:26:00+02:00;6456000000;2,25E+11;1020416;8135680;7,5;1;5,5;0;1;3,5;15,5;0,5;8;0;3,5;2
2019-06-27T06:28:00+02:00;10149000000;2,25E+11;477696;698368;8,5;1;3;0;8;8;15;3;4;0;16;1
2019-06-27T06:30:00+02:00;8521500000;2,25E+11;510976;5473792;7;0;0,5;0;4,5;4,5;2,5;0,5;2,5;0;1;0,5
2019-06-27T06:32:00+02:00;8772000000;2,25E+11;1385984;1077760;4;2;2;0;2;4;0,5;0;0,5;4;0,5;2
2019-06-27T06:34:00+02:00;6232000000;2,25E+11;479232;817152;3,5;1,5;1;0;0,5;4;0,5;0;0,5;0;1;0
2019-06-27T06:36:00+02:00;8542000000;2,25E+11;1481728;914432;5;1;3;1;1,5;25,5;10,5;4,5;12;0;14;4,5
2019-06-27T06:38:00+02:00;9695500000;2,25E+11;687104;726528;19;0;2,5;0;1;24;10;5;12;0,5;15;1
2019-06-27T06:40:00+02:00;6442500000;2,25E+11;1028608;677376;3;1;1,5;0;1,5;4;1;1,5;2;0;1,5;1,5
2019-06-27T06:42:00+02:00;9383500000;2,25E+11;643584;547840;3,5;1;2;0;0;6;0;0;1;0;0;0
2019-06-27T06:44:00+02:00;9138500000;2,27E+11;762880;684032;5;1;1;0;0;4;0;0,5;0,5;0;0;0,5
2019-06-27T06:46:00+02:00;10755500000;2,28E+11;1142784;824832;4;0;3;0;1;16,5;2,5;0;5;3,5;1;1,5
2019-06-27T06:48:00+02:00;8381000000;2,28E+11;776192;622592;3,5;1;1;0;1;4,5;0;0;0,5;0;0;0,5
2019-06-27T06:50:00+02:00;10513500000;2,28E+11;905728;611328;4;0;0,5;0;0;4,5;0,5;0,5;1,5;0,5;1;0,5
2019-06-27T06:52:00+02:00;10731000000;2,28E+11;746496;526336;8,5;0;74;0;0;7;1;1;2,5;0,5;1,5;1
2019-06-27T06:54:00+02:00;8070500000;2,28E+11;1075712;625152;9;2;1,5;0;1;3;0;0;1,5;0;0;0,5
2019-06-27T06:56:00+02:00;10744500000;2,28E+11;902656;1463808;8;0;2;0;0;4;1;1;1;0;1;0,5
2019-06-27T06:58:00+02:00;8595500000;2,28E+11;1238528;1582080;10;0;0,5;4,5;0;5;6;0;1;0;0,5;0
2019-06-27T07:00:00+02:00;13124500000;2,28E+11;1085952;1083904;4;3;1;0;0;7;1;0;4;0;3;3
2019-06-27T07:02:00+02:00;8421000000;2,28E+11;848896;718848;11;1;7;1,5;0,5;7;1,5;1,5;4;0;2,5;2,5
2019-06-27T07:04:00+02:00;9099000000;2,28E+11;586752;718848;6;9;2,5;0;1;5,5;0;0;1,5;1,5;1;0
2019-06-27T07:06:00+02:00;10559000000;2,28E+11;1322496;1083904;12;1;2;0;0;3,5;1,5;0,5;2,5;1,5;4,5;4
2019-06-27T07:08:00+02:00;11052000000;2,28E+11;1231360;1205248;5,5;0;6;0;0;5,5;0;0;0,5;0;0;0
2019-06-27T07:10:00+02:00;11458500000;2,28E+11;1008640;839168;6,5;1;4;0;1,5;2;0;3;1;0;1;2
2019-06-27T07:12:00+02:00;8341500000;2,28E+11;1303552;848384;2,5;1,5;3,5;0;0;10;1,5;2;10;6,5;2;2
2019-06-27T07:14:00+02:00;10489500000;2,28E+11;1021440;1378816;6;0;1;0;0;6;1;0;2;0;0,5;0,5
2019-06-27T07:16:00+02:00;9615000000;2,28E+11;2351104;1984512;1,5;1;2;6,5;1;5,5;0;0;0,5;0,5;1;0
2019-06-27T07:18:00+02:00;13734000000;2,28E+11;576512;486912;2;0;6;0;1;3;1;0;1;0;1,5;0,5
2019-06-27T07:20:00+02:00;11447500000;2,28E+11;869376;1110016;1;0;3;1;0;3;0,5;0;2;0;1,5;0
2019-06-27T07:22:00+02:00;14041000000;2,28E+11;1195520;847872;5;0;1;0;0;5,5;1;0;2;0;0,5;0
2019-06-27T07:24:00+02:00;13791500000;2,28E+11;1065984;1072128;7;0;1;1;0;4;0;1;0;0;0;0
2019-06-27T07:26:00+02:00;12008500000;2,28E+11;1379328;1276416;7;1;3,5;0;1;6;0,5;0;0;0;1;0,5
2019-06-27T07:28:00+02:00;13910500000;2,28E+11;1465856;1415168;5,5;0;4;0;0;3;0;0;1;0;1;0
2019-06-27T07:30:00+02:00;13550000000;2,28E+11;1636352;1268736;6;0;3,5;0;1,5;6;0;0;1;0;2;0
2019-06-27T07:32:00+02:00;12391500000;2,28E+11;1104384;1088000;7;1;5;0;3;4,5;0;0,5;1;0;0,5;0,5
2019-06-27T07:34:00+02:00;10517500000;2,25E+11;1672192;11764736;4,5;0;1,5;0;0;5,5;0;0;0,5;0;0,5;0
2019-06-27T07:36:00+02:00;12133000000;2,25E+11;1626112;1562112;7;1;4;0;1;5,5;1;0,5;1;0,5;1;0,5
2019-06-27T07:38:00+02:00;11358000000;2,25E+11;1076736;1230848;6;2;2,5;0;1;4;0;0;0;0;1;1
2019-06-27T07:40:00+02:00;8761000000;2,25E+11;1331200;1148416;5,5;0;4;4;0;6;0;0,5;0,5;0;0,5;0
2019-06-27T07:42:00+02:00;12510500000;2,25E+11;999424;16572416;5,5;0;2;0;0;5;0;0;1;0;0;0
2019-06-27T07:44:00+02:00;8982000000;2,25E+11;1595392;1444864;4,5;0;1,5;0;0;5;0;0;1;0;0;0
2019-06-27T07:46:00+02:00;11110000000;2,25E+11;1015296;928768;10;0;0;0;0;7;0,5;1,5;1;0;0,5;1
2019-06-27T07:48:00+02:00;8294000000;2,25E+11;1064960;633856;4;5;1;0;4,5;2,5;0,5;1;1;0;0,5;1
2019-06-27T07:50:00+02:00;8952000000;2,25E+11;1488384;1571840;8,5;2,5;2;0;0;6,5;1;0,5;1,5;1;2;0,5
2019-06-27T07:52:00+02:00;10345000000;2,25E+11;1222656;981504;7;1;1,5;0;0;1;1,5;0;1;6;1;1
2019-06-27T07:54:00+02:00;9268000000;2,25E+11;1446400;1098752;4;1,5;1;0;4,5;4,5;0;0,5;1;0;1;0
2019-06-27T07:56:00+02:00;11815500000;2,25E+11;1457152;1585152;2;1;1;0;0;9;1;0;1;0;1;0,5
2019-06-27T07:58:00+02:00;9044500000;2,25E+11;1581056;1105920;2;2;2;0;1,5;5,5;0,5;0;1,5;0;2;0
2019-06-27T08:00:00+02:00;13879000000;2,25E+11;1658368;2077696;4;1;3;0;0;6;5,5;2,5;11;4;8,5;2,5
2019-06-27T08:02:00+02:00;9634500000;2,25E+11;1909760;9361408;4,5;0;2;0;2,5;5,5;5,5;2,5;11;3,5;8;0
2019-06-27T08:04:00+02:00;9708500000;2,25E+11;1655296;1817088;1,5;0;1;0;3;6;0;0;2;0;3;0,5
2019-06-27T08:06:00+02:00;9926000000;2,25E+11;1412608;1516032;9,5;0;1,5;0;7;19;2,5;1,5;5;1;4;1
2019-06-27T08:08:00+02:00;10782500000;2,25E+11;1795584;1858560;4,5;0,5;1;1,5;0;5;0;0;1,5;0;1;0
2019-06-27T08:10:00+02:00;11358000000;2,25E+11;2296832;1957888;3,5;0,5;3;0;1;6;0;2;0;0;1;0,5
2019-06-27T08:12:00+02:00;11800000000;2,25E+11;2360832;1654784;2;0;6,5;0;1;6;1,5;0,5;1,5;7;2;0,5
2019-06-27T08:14:00+02:00;12856500000;2,25E+11;1971200;5912064;0;0;0;0;0;6;1;1;2;0;1,5;0
2019-06-27T08:16:00+02:00;10664000000;2,25E+11;1471488;1132544;5,5;32;1,5;94,5;4;7,5;5,5;2,5;8;12;6,5;15
2019-06-27T08:18:00+02:00;16875500000;2,25E+11;1810944;3148288;1;0;1;0;0,5;5;0,5;0,5;1;1;0,5;0,5
2019-06-27T08:20:00+02:00;10909000000;2,25E+11;1678848;1606144;2,5;1,5;2;0;2;5,5;1;0,5;1;1;0,5;1
2019-06-27T08:22:00+02:00;10435500000;2,25E+11;1779712;1742336;0,5;0;2,5;0;0;7;0,5;0;1;0;0,5;1
2019-06-27T08:24:00+02:00;11529500000;2,25E+11;2406912;2253824;0;0;2,5;0;0;12;1;1;2;0;2;0
2019-06-27T08:26:00+02:00;10575500000;2,25E+11;2444288;2755584;0,5;4,5;2;0;0,5;7;1;1,5;2;1;1,5;0,5
2019-06-27T08:28:00+02:00;10771000000;2,25E+11;2438656;2363904;0;5;0;0;0;6;0;1;1;1;1;0
2019-06-27T08:30:00+02:00;12381000000;2,25E+11;3387392;3209216;3,5;1;1;1;3;4;1,5;0,5;1,5;0;2,5;0,5
2019-06-27T08:32:00+02:00;12276000000;2,25E+11;4155392;8325120;4;3;2;0;0;8,5;2,5;1;3;0;1,5;1
2019-06-27T08:34:00+02:00;10267000000;2,25E+11;3829760;3628032;2;0;0;0;0,5;4,5;0,5;0;1,5;0,5;0,5;0
2019-06-27T08:36:00+02:00;12410000000;2,25E+11;2260480;2219008;1;0;0;0;0;6,5;0;0;1;0;1,5;0
2019-06-27T08:38:00+02:00;10178500000;2,25E+11;2216448;2145280;1;0;0,5;0;0;5,5;0;0;1;0;1;0
2019-06-27T08:40:00+02:00;11207000000;2,25E+11;2069504;1740800;3;1;1;0;2,5;5;1,5;0,5;2;0;0,5;0,5
2019-06-27T08:42:00+02:00;13122500000;2,25E+11;2830336;7506432;3;1;0,5;0;0;7;1;1;2;0;3;1
2019-06-27T08:44:00+02:00;10289500000;2,25E+11;2761728;2537472;2;2,5;0,5;0;0,5;4,5;0,5;0,5;1;1,5;2;0,5
2019-06-27T08:46:00+02:00;12712500000;2,25E+11;2974208;2592256;6;6;0;0;1;10;6;7;5;5;8;3,5
2019-06-27T08:48:00+02:00;12539500000;2,25E+11;2978816;2663424;2;2;2;2,5;1,5;4,5;0,5;0,5;0;0;1;0
2019-06-27T08:50:00+02:00;11621000000;2,25E+11;4818432;1824256;3;1;1;0;0;6;0,5;0;2;0;1,5;0,5
2019-06-27T08:52:00+02:00;9934000000;2,25E+11;2706432;2554880;4,5;2;3;0;1,5;5;1;0,5;2,5;0;1,5;0
2019-06-27T08:54:00+02:00;11130500000;2,25E+11;1442816;1260544;3;1,5;1,5;0;2;5;1;0,5;1;0;1;1
2019-06-27T08:56:00+02:00;11741500000;2,25E+11;1692672;1974272;18;4,5;1,5;2,5;8;6;3,5;2,5;3,5;2;5;4
2019-06-27T08:58:00+02:00;9784000000;2,25E+11;2121728;1973248;1;0,5;0,5;0;0;4,5;0;0,5;2,5;0;0,5;0,5
2019-06-27T09:00:00+02:00;13522500000;2,25E+11;1748992;5584896;1;0,5;1;0;0;6;1;0;2;0;0;0,5
2019-06-27T09:02:00+02:00;10132000000;2,25E+11;2135552;5696512;12;0;7;0,5;10,5;6,5;8;1;8,5;3,5;18;1
2019-06-27T09:04:00+02:00;11620500000;2,25E+11;1113088;1334272;6;0;6;0;0;5,5;0;0;1;0,5;1;0
2019-06-27T09:06:00+02:00;10524000000;2,25E+11;1093632;1095680;3,5;0;0;0;0;8;1;1,5;3;0,5;1;0,5
2019-06-27T09:08:00+02:00;10246500000;2,25E+11;2486784;3357696;11;0;1;0;0,5;6;0,5;0;1;0;1,5;0,5
2019-06-27T09:10:00+02:00;10322500000;2,25E+11;1629184;1604608;1;1;1;0;0,5;5,5;0;0;1;0;1;0
2019-06-27T09:12:00+02:00;11031000000;2,25E+11;1806336;1730048;4;9,5;1,5;0;3;9,5;2,5;31,5;4;0,5;4,5;13
2019-06-27T09:14:00+02:00;12851000000;2,25E+11;1434624;1352704;2,5;0,5;1,5;0;3;18;3;12;6;0;15;3,5
2019-06-27T09:16:00+02:00;10528000000;2,25E+11;1659904;1476096;4;4;0;0;0;10;2;28,5;3,5;0;3;8,5
2019-06-27T09:18:00+02:00;13919000000;2,25E+11;1463808;3211264;1;0;0;0;0;12;0;0;1;0;1;0
2019-06-27T09:20:00+02:00;10085500000;2,25E+11;3891200;3758080;4;1;4;0;0;12;0,5;0;2,5;0;0,5;0,5
2019-06-27T09:22:00+02:00;11242000000;2,25E+11;2580480;2735616;3;0;1;0;0;6,5;1,5;3;1,5;0,5;12;1
2019-06-27T09:24:00+02:00;12105500000;2,25E+11;2758656;2914816;2,5;0,5;0;0;0,5;5;3;6,5;1,5;0;5,5;12
2019-06-27T09:26:00+02:00;12834000000;2,25E+11;2774016;2694144;1;0;0;0;0;7;0;0;1;0;1;0
2019-06-27T09:28:00+02:00;14225500000;2,25E+11;3476480;3479040;0;0;1;0;0;5;0;0;1;0;1;0
2019-06-27T09:30:00+02:00;10510500000;2,25E+11;3092992;2673664;4,5;0;3,5;0;0;6;1;1,5;2;0;1,5;0,5
2019-06-27T09:32:00+02:00;11648000000;2,25E+11;1692160;2057728;1;2;0;0;0;7;0;1,5;1;0,5;0,5;1,5
2019-06-27T09:34:00+02:00;9773500000;2,25E+11;2039808;2446336;2;0;1;0;1;5,5;0,5;1;1;0;1;1
2019-06-27T09:36:00+02:00;12828000000;2,25E+11;1744896;1806336;0;8;2;0;1;4,5;0;0,5;1;0;2;0
2019-06-27T09:38:00+02:00;9832500000;2,25E+11;2377728;2580992;0,5;2;0;0;0;5,5;0,5;1,5;4,5;1;2,5;0
2019-06-27T09:40:00+02:00;12945000000;2,25E+11;1938432;6198272;2;1;0,5;0;2;5;1,5;0,5;1,5;5;1;0
2019-06-27T09:42:00+02:00;12230500000;2,25E+11;1404416;1060352;0,5;0;1;0;0;7;0;4;1;1;1;0
2019-06-27T09:44:00+02:00;9978000000;2,25E+11;1676288;1428992;2,5;8,5;0,5;1;0;8,5;2;44,5;5;1;2,5;25,5
2019-06-27T09:46:00+02:00;10864000000;2,25E+11;1746944;1825792;1;0;1;0;0;12;4;11;5;0,5;2,5;3
2019-06-27T09:48:00+02:00;10649000000;2,25E+11;1915904;1437696;3,5;3,5;0,5;0;0;7;1;0,5;2;0;1;0,5
2019-06-27T09:50:00+02:00;12136000000;2,25E+11;2439680;2595328;1;0;0;0;0;6;23;1,5;12,5;0;11,5;0,5
2019-06-27T09:52:00+02:00;11241000000;2,25E+11;1644544;1766400;2,5;2,5;1,5;0;0;6;23;2;12;0;11;0
2019-06-27T09:54:00+02:00;12419000000;2,25E+11;1829376;1625088;4,5;0,5;3,5;0;3;7;0,5;1;1;0;1;0
2019-06-27T09:56:00+02:00;12694000000;2,25E+11;2429440;3119616;1,5;5;5,5;0,5;3;11;5;3;4;10;5;1,5
2019-06-27T09:58:00+02:00;9348000000;2,25E+11;2280960;2092544;3,5;4,5;1,5;0;0,5;4,5;0;0,5;0,5;9;0,5;0,5
2019-06-27T10:00:00+02:00;14071500000;2,25E+11;3330048;3298816;6;0;2;0;3;6;5;1;4;2;1;0,5
2019-06-27T10:02:00+02:00;11675000000;2,25E+11;4587520;4257792;2,5;0,5;20,5;121;1;6,5;3,5;8,5;5;145,5;3,5;1,5
2019-06-27T10:04:00+02:00;12444000000;2,25E+11;3775488;3260416;2;1;1;0;0;6,5;2,5;10;2;0;3,5;6
2019-06-27T10:06:00+02:00;7684000000;2,25E+11;5423104;4984832;1;16;0,5;1,5;0;7;2,5;1,5;2;4,5;2;3
2019-06-27T10:08:00+02:00;8928500000;2,25E+11;4019200;10635264;1,5;1,5;3;0,5;0;7,5;1;0,5;1;16;1,5;1
2019-06-27T10:10:00+02:00;9549000000;2,25E+11;2956288;7490048;0,5;1;1;0,5;0;7;0,5;1;1,5;16;1;0
2019-06-27T10:12:00+02:00;11142000000;2,25E+11;2163200;6647296;8,5;1;1,5;1;0;14;2;0,5;9,5;0;5;1
2019-06-27T10:14:00+02:00;14733000000;2,25E+11;3038208;6535168;4;1,5;0,5;0;0;7;1;1;2;0;1;0
2019-06-27T10:16:00+02:00;12492000000;2,25E+11;4196864;7395840;7;3,5;1,5;0;1;14,5;0,5;2;5,5;2,5;4;0,5
2019-06-27T10:18:00+02:00;12796500000;2,25E+11;3804160;4258304;5;0;1;0;0;7,5;0;0,5;1;0,5;1;0
2019-06-27T10:20:00+02:00;11909000000;2,25E+11;5107712;4703232;6,5;1,5;3;0;4;9;0;0;1;0,5;1;0
2019-06-27T10:22:00+02:00;13079500000;2,25E+11;4411392;4844544;24;0;12;0;1;15,5;2;3,5;6,5;5,5;9,5;1,5
2019-06-27T10:24:00+02:00;10242000000;2,25E+11;3218432;3069952;6;1;6;0,5;2,5;5;0;0,5;1,5;2,5;1;0
2019-06-27T10:26:00+02:00;13372500000;2,25E+11;2857984;2682880;1,5;3;4;0;0;4;0;2,5;1;0;1;0
2019-06-27T10:28:00+02:00;15041500000;2,25E+11;2765824;9373696;2;0,5;3;0;0;6;0;0;1;0;1;0
2019-06-27T10:30:00+02:00;12872500000;2,25E+11;3064832;8977408;3,5;0;0;0;0;5,5;0,5;0;2;0;3,5;0,5
2019-06-27T10:32:00+02:00;13162500000;2,25E+11;2106368;6094336;3;1;0;0;0;5;1;0;1;0;1;0,5
2019-06-27T10:34:00+02:00;11862500000;2,25E+11;3622912;3293184;0,5;1,5;1;1,5;0;5;0,5;3,5;0,5;0;1,5;0,5
2019-06-27T10:36:00+02:00;14598500000;2,25E+11;2787328;2653696;1;0;0;0;0;8;1;0;1,5;1;2;1
2019-06-27T10:38:00+02:00;11311500000;2,25E+11;4050944;3601408;2;0;0,5;0;0;7,5;1;0;1;6;1;0
2019-06-27T10:40:00+02:00;10844000000;2,25E+11;3723264;9323520;2;0,5;0,5;0;2;5,5;0,5;1;1,5;0;1;0,5
2019-06-27T10:42:00+02:00;11340000000;2,25E+11;3957760;3963904;1,5;0,5;0,5;0;0;3,5;1;0,5;1;0;1;0
2019-06-27T10:44:00+02:00;11358500000;2,25E+11;3831296;3845632;3;0;0,5;0;0;11;0,5;0;1;0;1,5;0,5
2019-06-27T10:46:00+02:00;14328500000;2,25E+11;4768768;4773888;2;1,5;3,5;0;3,5;8;19;5;29;0;16;1,5
2019-06-27T10:48:00+02:00;11417000000;2,25E+11;3711488;3517952;2,5;0;7,5;0;6,5;11,5;17;0,5;11,5;0;4,5;0,5
2019-06-27T10:50:00+02:00;14617000000;2,25E+11;2847744;3633152;5,5;0;0;0;0;16;1;3;1;0;1;1
2019-06-27T10:52:00+02:00;11416500000;2,25E+11;3145728;3414016;3;1;4;0;8;11;3;1,5;5,5;1,5;5;4,5
2019-06-27T10:54:00+02:00;13590000000;2,25E+11;3397632;12374016;3;0;2;0;42;4;1;3;2;0;1;0
2019-06-27T10:56:00+02:00;10756000000;2,25E+11;2277376;2281472;14;1;2;0;1;8;7;2;5;0;3;4
2019-06-27T10:58:00+02:00;13890000000;2,25E+11;3447808;3210752;1;2;2;0;0,5;5;0,5;1;1;1,5;0;0
2019-06-27T11:00:00+02:00;12103500000;2,25E+11;2391040;2341888;3;4;0,5;1,5;0;5,5;0,5;0,5;1;1;0;1
2019-06-27T11:02:00+02:00;12115000000;2,25E+11;2744320;3127296;3;0;1,5;0;0;12,5;0,5;1;1,5;0;1;0,5
2019-06-27T11:04:00+02:00;11913000000;2,25E+11;3044352;3063296;1,5;0,5;0,5;0;0;7;0;0;0;0;1;0
2019-06-27T11:06:00+02:00;9980000000;2,25E+11;3574272;3633664;0,5;1;0,5;0;0;5,5;0,5;0;0,5;0;0,5;0
2019-06-27T11:08:00+02:00;16989500000;2,25E+11;2555392;3599360;0;1;1;0;0;5;1;0;2;0;2;2
2019-06-27T11:10:00+02:00;11922500000;2,25E+11;2225664;2099712;7,5;1;1;0;4,5;5,5;1;1;2;0,5;1,5;0,5
2019-06-27T11:12:00+02:00;13405500000;2,25E+11;3524608;2915328;0;0;1;0;0;3,5;1;0;1,5;0;0,5;0
2019-06-27T11:14:00+02:00;11636000000;2,25E+11;null;null;0;0;1;0;0;4;0;0;1;0;0;0
2019-06-27T11:16:00+02:00;12276000000;2,25E+11;4313600;3858944;9;0;0;0;0;7;1,5;2;1,5;0;1,5;1
2019-06-27T11:18:00+02:00;12313500000;2,25E+11;2746368;2866176;5;1,5;3;0;4;10;1;2;1;8;1;0
2019-06-27T11:20:00+02:00;11768000000;2,25E+11;4295680;4825088;3,5;0;1,5;0;0;4;0,5;0;1,5;0;2,5;0,5
2019-06-27T11:22:00+02:00;12202500000;2,25E+11;3449856;3579904;2,5;0;1;0;0;4,5;0,5;0;1;0;1,5;0
2019-06-27T11:24:00+02:00;13264500000;2,25E+11;2510848;3048448;2,5;1;2,5;0;1;6;0,5;0;1;0;2;0,5
2019-06-27T11:26:00+02:00;13620000000;2,25E+11;3087872;2913280;0;0;0,5;0;0;9;1;1;3;0;2;0,5
2019-06-27T11:28:00+02:00;11616500000;2,25E+11;2630656;2549248;2,5;0;0;1,5;0;5,5;1;1;1;0;2,5;0,5
2019-06-27T11:30:00+02:00;13847000000;2,25E+11;3533312;3217408;3;0;0;0;0;10;1;0;2;0,5;4;2,5
2019-06-27T11:32:00+02:00;13105500000;2,25E+11;2179072;2840576;2;1;0,5;1;0;11;4;2,5;4,5;0,5;3,5;2
2019-06-27T11:34:00+02:00;12120000000;2,25E+11;3578880;27211776;0;0;0;0;0;4;1;0,5;1,5;0;2;0,5
2019-06-27T11:36:00+02:00;12842000000;2,25E+11;2387968;42983424;4;0;2;0;0;5,5;5;4;6;0;9;5
2019-06-27T11:38:00+02:00;11977500000;2,25E+11;5183488;32973824;0;0;0,5;0;2;3;1;0;2;0;1,5;1
2019-06-27T11:40:00+02:00;12448500000;2,25E+11;2627584;30587392;0;0;0,5;0;0;7;2;0,5;1,5;13;3;1
2019-06-27T11:42:00+02:00;11597000000;2,25E+11;3469824;26075648;3;0;0;0;0;9;1;0,5;2;0,5;1;0
2019-06-27T11:44:00+02:00;14351500000;2,25E+11;4505088;19952128;4;0;0,5;0;0;6;1;1;1;0;0;0
2019-06-27T11:46:00+02:00;10639000000;2,25E+11;3789824;5058560;4,5;2;2;0;3;35,5;2;2;2;0;2,5;0,5
2019-06-27T11:48:00+02:00;11714500000;2,25E+11;3851264;3442176;2;0;1;0;0;15;2,5;1;2;0;4,5;3,5
2019-06-27T11:50:00+02:00;10815000000;2,25E+11;3371008;4773888;0,5;0;0;1;0;5;0,5;0;1;0;1;0
2019-06-27T11:52:00+02:00;12610000000;2,25E+11;4921856;3896832;0,5;0,5;0;0;0;5,5;0;0;1;0;0,5;0
2019-06-27T11:54:00+02:00;13244500000;2,25E+11;2619392;3062272;2;0;0,5;2;0;5;0,5;0;1;0;1;1
2019-06-27T11:56:00+02:00;11572000000;2,25E+11;3232768;3574272;2;0;0,5;0;9,5;7;1;0;1;0;3;0
2019-06-27T11:58:00+02:00;14945000000;2,25E+11;2296320;2664960;7;0;0,5;0;9;3;1;0;1;0;2;0
2019-06-27T12:00:00+02:00;13485500000;2,25E+11;2426880;3230720;11;0;2,5;0;15,5;7;4,5;2;2,5;0;3,5;1,5
2019-06-27T12:02:00+02:00;13664500000;2,25E+11;2525696;3128832;0;0;3;0;0;6;1;1;2;0;1;0,5
2019-06-27T12:04:00+02:00;11114000000;2,25E+11;5252096;2634752;0,5;0;1,5;0;0;5;0,5;0,5;1;0;1;0,5
2019-06-27T12:06:00+02:00;10439000000;2,25E+11;2885632;2853376;3;0;1;0;0;4,5;0,5;2,5;1;0;1;0,5
2019-06-27T12:08:00+02:00;11738000000;2,25E+11;1763328;2292736;3,5;1;2,5;0;1,5;3,5;0;0,5;1;0;1;0
2019-06-27T12:10:00+02:00;10194000000;2,25E+11;2556928;2422784;3;0;2;0;0;5,5;1,5;0,5;4;0;1,5;0,5
2019-06-27T12:12:00+02:00;12651000000;2,25E+11;2361344;2332160;0,5;1;2,5;0;1,5;4;1;0,5;4;0;2;0
2019-06-27T12:14:00+02:00;10179500000;2,25E+11;2903040;2834944;1;2;1,5;0;0;5;0,5;0;1,5;0;1;0
2019-06-27T12:16:00+02:00;12494500000;2,25E+11;3777024;3366400;0,5;0;3,5;1,5;0;5;1;5;3;1;2;0,5
2019-06-27T12:18:00+02:00;13272000000;2,25E+11;4134912;4071424;1,5;0;2,5;0;22,5;4;0;0;1;0;1;0
2019-06-27T12:20:00+02:00;12296500000;2,25E+11;3836416;3792896;3;0;1;0;0;9,5;0;2;2;1,5;2,5;1
2019-06-27T12:22:00+02:00;11173500000;2,25E+11;3402752;3737600;2;0,5;2;1;0;9,5;2,5;2;2;1,5;2,5;1
2019-06-27T12:24:00+02:00;10622500000;2,25E+11;3423744;3147264;0;0;1;0;0;4,5;0;0;1;0;0;0
2019-06-27T12:26:00+02:00;11771500000;2,25E+11;2973696;3292160;8,5;2,5;1,5;0;0;13;1;0,5;1,5;0,5;1;2
2019-06-27T12:28:00+02:00;10701500000;2,25E+11;4263424;4095488;1;0;2,5;0;0;15;0;1;1;0;1;0
2019-06-27T12:30:00+02:00;11848500000;2,25E+11;4240896;4434944;0,5;0;2;0;0;5;1;0;1;0;0;1,5
2019-06-27T12:32:00+02:00;10407000000;2,25E+11;4130816;4536832;4,5;0;1,5;0;0;9,5;5,5;2;7,5;4;7;1,5
2019-06-27T12:34:00+02:00;11787000000;2,25E+11;3978240;3513344;0;2;2;0;2;7;0;0;1;0;0;0
2019-06-27T12:36:00+02:00;10466500000;2,25E+11;2210816;2483200;5,5;0;0;0;0;3,5;0;0;0,5;0;1;0
2019-06-27T12:38:00+02:00;9157000000;2,25E+11;4180480;4074496;0;2;1;4;0;4;0;1;1;0;0;0
2019-06-27T12:40:00+02:00;11165500000;2,25E+11;3672064;5267456;1;0;1;0;0;4,5;0;0,5;1;0;0;0
2019-06-27T12:42:00+02:00;10061000000;2,25E+11;3142656;3015168;1,5;0;1;1,5;0;4,5;0;0;1;0;1;0
