Time;CPU usage;Used memory;Number of bytes received;Number of bytes transmitted;RLATE;WLATE
2019-06-27T02:26:00+02:00;8200000000;2,25E+11;1825792;28695552;8,5;6,5
2019-06-27T02:28:00+02:00;6736500000;2,25E+11;1558528;21727232;13,5;7,5
2019-06-27T02:30:00+02:00;6815000000;2,25E+11;1211904;22202880;22,5;40
2019-06-27T02:32:00+02:00;8401000000;2,25E+11;2102272;28461568;13,5;18,5
2019-06-27T02:34:00+02:00;8168000000;2,25E+11;1602560;31395840;9;5
2019-06-27T02:36:00+02:00;7864000000;2,25E+11;1207808;33894912;7;6
2019-06-27T02:38:00+02:00;7773000000;2,25E+11;2313216;30521344;14;5
2019-06-27T02:40:00+02:00;7953000000;2,25E+11;1681408;22152704;16,5;59,5
2019-06-27T02:42:00+02:00;7562500000;2,25E+11;1750016;29355008;7,5;59
2019-06-27T02:44:00+02:00;6458000000;2,25E+11;1216000;28830720;9;5,5
2019-06-27T02:46:00+02:00;9228500000;2,25E+11;1677312;27457536;5,5;21
2019-06-27T02:48:00+02:00;7848500000;2,25E+11;1152000;28423680;9,5;20
2019-06-27T02:50:00+02:00;8332500000;2,24E+11;1114624;18292736;28;19
2019-06-27T02:52:00+02:00;8040500000;2,24E+11;1753088;31653888;22;39
2019-06-27T02:54:00+02:00;7122500000;2,24E+11;922112;12457472;7,5;6,5
2019-06-27T02:56:00+02:00;8011000000;2,24E+11;1532928;17391104;22,5;25,5
2019-06-27T02:58:00+02:00;7131500000;2,24E+11;1122304;13350400;5;8
2019-06-27T03:00:00+02:00;10331500000;2,24E+11;1657856;21535232;4;7,5
2019-06-27T03:02:00+02:00;12751500000;2,24E+11;3293696;16596480;31,5;35
2019-06-27T03:04:00+02:00;12626000000;2,25E+11;8742912;28048384;5,5;5,5
2019-06-27T03:06:00+02:00;9729000000;2,25E+11;5184000;23403520;19,5;26,5
2019-06-27T03:08:00+02:00;7933000000;2,25E+11;1172480;21898752;15,5;4,5
2019-06-27T03:10:00+02:00;7942500000;2,25E+11;1470464;20071424;8;8
2019-06-27T03:12:00+02:00;8289500000;2,25E+11;980992;16599040;13,5;8,5
2019-06-27T03:14:00+02:00;7032500000;2,25E+11;1387520;14487552;13,5;7,5
2019-06-27T03:16:00+02:00;7217500000;2,25E+11;1447936;26788352;12;11,5
2019-06-27T03:18:00+02:00;9472500000;2,25E+11;1333760;22175232;8,5;17
2019-06-27T03:20:00+02:00;6502000000;2,25E+11;1380352;21453824;7;6
2019-06-27T03:22:00+02:00;7659000000;2,25E+11;995328;23907328;7,5;9,5
2019-06-27T03:24:00+02:00;9293000000;2,25E+11;1134592;21210624;38,5;45,5
2019-06-27T03:26:00+02:00;7782500000;2,25E+11;1118720;21631488;7;9,5
2019-06-27T03:28:00+02:00;8736000000;2,25E+11;1412096;13794304;8;9
2019-06-27T03:30:00+02:00;7511500000;2,25E+11;5681152;27041280;12;41
2019-06-27T03:32:00+02:00;8371500000;2,25E+11;12402688;33303552;11;43,5
2019-06-27T03:34:00+02:00;10455500000;2,25E+11;6309376;26626048;14;12,5
2019-06-27T03:36:00+02:00;8604500000;2,25E+11;1341440;24434688;11,5;21,5
2019-06-27T03:38:00+02:00;9731000000;2,25E+11;1155584;20754432;8;5,5
2019-06-27T03:40:00+02:00;8360500000;2,25E+11;860160;25566720;7,5;9
2019-06-27T03:42:00+02:00;8983500000;2,25E+11;1278464;22472192;12;19
2019-06-27T03:44:00+02:00;9284500000;2,25E+11;1073152;26680832;9;13,5
2019-06-27T03:46:00+02:00;6991500000;2,25E+11;823296;13364224;23;14
2019-06-27T03:48:00+02:00;5961500000;2,25E+11;1184768;21189632;26;12,5
2019-06-27T03:50:00+02:00;9833500000;2,25E+11;1173504;13554688;10,5;10
2019-06-27T03:52:00+02:00;7549500000;2,25E+11;1496064;25122304;13;14,5
2019-06-27T03:54:00+02:00;9029000000;2,25E+11;1173504;18022400;9;7
2019-06-27T03:56:00+02:00;8799500000;2,25E+11;960512;12010496;14,5;9
2019-06-27T03:58:00+02:00;8397500000;2,25E+11;1160192;31288320;10,5;11
2019-06-27T04:00:00+02:00;9569000000;2,25E+11;1232384;23911424;21;13
2019-06-27T04:02:00+02:00;10371500000;2,25E+11;980992;16866816;21,5;201
2019-06-27T04:04:00+02:00;10939500000;2,25E+11;578560;1183744;21,5;59,5
2019-06-27T04:06:00+02:00;11376000000;2,25E+11;993792;903168;18,5;139,5
2019-06-27T04:08:00+02:00;8937000000;2,25E+11;521216;663552;24;105
2019-06-27T04:10:00+02:00;9523500000;2,25E+11;1662976;1668608;11,5;67,5
2019-06-27T04:12:00+02:00;10647000000;2,25E+11;529920;805376;27,5;168,5
2019-06-27T04:14:00+02:00;8950000000;2,25E+11;498176;1973760;21,5;84
2019-06-27T04:16:00+02:00;8867500000;2,25E+11;925696;1677312;14,5;62
2019-06-27T04:18:00+02:00;10542500000;2,25E+11;587264;1498112;24;104
2019-06-27T04:20:00+02:00;10805000000;2,25E+11;799232;3365888;16,5;72,5
2019-06-27T04:22:00+02:00;7863000000;2,25E+11;451584;3566592;19,5;54
2019-06-27T04:24:00+02:00;7846500000;2,25E+11;1127936;4174848;9,5;32
2019-06-27T04:26:00+02:00;8392000000;2,25E+11;830464;2863104;12;99
2019-06-27T04:28:00+02:00;9749500000;2,25E+11;636928;1932288;9;3,5
2019-06-27T04:30:00+02:00;8051500000;2,25E+11;515072;601088;19;14,5
2019-06-27T04:32:00+02:00;6564500000;2,25E+11;569344;689664;16;4
2019-06-27T04:34:00+02:00;7025000000;2,25E+11;595456;561152;9,5;3
2019-06-27T04:36:00+02:00;7233500000;2,25E+11;352256;294912;10;4
2019-06-27T04:38:00+02:00;9791000000;2,25E+11;726016;430592;10,5;2,5
2019-06-27T04:40:00+02:00;6791000000;2,25E+11;333824;236544;9,5;1,5
2019-06-27T04:42:00+02:00;7768500000;2,25E+11;738816;631296;23;3,5
